Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
ёлка	ёлка	be-decl-noun	NOUN	Case=Nom;Number=Sing				ёлка
ёлка	ёлкі	be-decl-noun	NOUN	Case=Nom;Number=Plur				ёлкі
ёлка	ёлкі	be-decl-noun	NOUN	Case=Acc;Number=Sing				ёлкі
ёлка	ёлак	be-decl-noun	NOUN	Case=Acc;Number=Plur				ёлак
ёлка	ёлцы	be-decl-noun	NOUN	Case=Dat;Number=Sing				ёлцы
ёлка	ёлкам	be-decl-noun	NOUN	Case=Ins;Number=Sing				ёлкам
ёлка	ёлку	be-decl-noun	NOUN	Case=Acc;Number=Sing				ёлку
ёлка	ёлкі	be-decl-noun	NOUN	Case=Acc;Number=Plur				ёлкі
ёлка	ёлкай	be-decl-noun	NOUN	Case=Ins;Number=Sing				ёлкай
ёлка	ёлкамі	be-decl-noun	NOUN	Case=Ins;Number=Plur				ёлкамі
ёлка	ёлцы	be-decl-noun	NOUN	Case=Loc;Number=Sing				ёлцы
ёлка	ёлках	be-decl-noun	NOUN	Case=Loc;Number=Plur				ёлках
хуй	хуй	be-decl-noun	NOUN	Case=Nom;Number=Sing				хуй
хуй	хуйі	be-decl-noun	NOUN	Case=Nom;Number=Plur				хуйі
хуй	хуя	be-decl-noun	NOUN	Case=Acc;Number=Sing				хуя
хуй	хуяў	be-decl-noun	NOUN	Case=Acc;Number=Plur				хуяў
хуй	хую	be-decl-noun	NOUN	Case=Dat;Number=Sing				хую
хуй	хуям	be-decl-noun	NOUN	Case=Ins;Number=Sing				хуям
хуй	хуй	be-decl-noun	NOUN	Case=Acc;Number=Sing				хуй
хуй	хуйі	be-decl-noun	NOUN	Case=Acc;Number=Plur				хуйі
хуй	хуем	be-decl-noun	NOUN	Case=Ins;Number=Sing				хуем
хуй	хуямі	be-decl-noun	NOUN	Case=Ins;Number=Plur				хуямі
хуй	хуйі	be-decl-noun	NOUN	Case=Loc;Number=Sing				хуйі
хуй	хуях	be-decl-noun	NOUN	Case=Loc;Number=Plur				хуях
пень	пень	be-decl-noun	NOUN	Case=Nom;Number=Sing				пень
пень	пні	be-decl-noun	NOUN	Case=Nom;Number=Plur				пні
пень	пня	be-decl-noun	NOUN	Case=Acc;Number=Sing				пня
пень	пнёў	be-decl-noun	NOUN	Case=Acc;Number=Plur				пнёў
пень	пню	be-decl-noun	NOUN	Case=Dat;Number=Sing				пню
пень	пням	be-decl-noun	NOUN	Case=Ins;Number=Sing				пням
пень	пень	be-decl-noun	NOUN	Case=Acc;Number=Sing				пень
пень	пні	be-decl-noun	NOUN	Case=Acc;Number=Plur				пні
пень	пнём	be-decl-noun	NOUN	Case=Ins;Number=Sing				пнём
пень	пнямі	be-decl-noun	NOUN	Case=Ins;Number=Plur				пнямі
пень	пні	be-decl-noun	NOUN	Case=Loc;Number=Sing				пні
пень	пнях	be-decl-noun	NOUN	Case=Loc;Number=Plur				пнях
вуліца	вуліца	be-decl-noun	NOUN	Case=Nom;Number=Sing				вуліца
вуліца	вуліцы	be-decl-noun	NOUN	Case=Nom;Number=Plur				вуліцы
вуліца	вуліцы	be-decl-noun	NOUN	Case=Acc;Number=Sing				вуліцы
вуліца	вуліцаў	be-decl-noun	NOUN	Case=Acc;Number=Plur				вуліцаў
вуліца	вуліцы	be-decl-noun	NOUN	Case=Dat;Number=Sing				вуліцы
вуліца	вуліцам	be-decl-noun	NOUN	Case=Ins;Number=Sing				вуліцам
вуліца	вуліцу	be-decl-noun	NOUN	Case=Acc;Number=Sing				вуліцу
вуліца	вуліцы	be-decl-noun	NOUN	Case=Acc;Number=Plur				вуліцы
вуліца	вуліцай	be-decl-noun	NOUN	Case=Ins;Number=Sing				вуліцай
вуліца	вуліцамі	be-decl-noun	NOUN	Case=Ins;Number=Plur				вуліцамі
вуліца	вуліцы	be-decl-noun	NOUN	Case=Loc;Number=Sing				вуліцы
вуліца	вуліцах	be-decl-noun	NOUN	Case=Loc;Number=Plur				вуліцах
сляза	сляза	be-decl-noun	NOUN	Case=Nom;Number=Sing				сляза
сляза	слёзы	be-decl-noun	NOUN	Case=Nom;Number=Plur				слёзы
сляза	слязы	be-decl-noun	NOUN	Case=Acc;Number=Sing				слязы
сляза	слёз	be-decl-noun	NOUN	Case=Acc;Number=Plur				слёз
сляза	слязе	be-decl-noun	NOUN	Case=Dat;Number=Sing				слязе
сляза	слязам	be-decl-noun	NOUN	Case=Ins;Number=Sing				слязам
сляза	слязу	be-decl-noun	NOUN	Case=Acc;Number=Sing				слязу
сляза	слёзы	be-decl-noun	NOUN	Case=Acc;Number=Plur				слёзы
сляза	слязой	be-decl-noun	NOUN	Case=Ins;Number=Sing				слязой
сляза	слязамі	be-decl-noun	NOUN	Case=Ins;Number=Plur				слязамі
сляза	слязе	be-decl-noun	NOUN	Case=Loc;Number=Sing				слязе
сляза	слязах	be-decl-noun	NOUN	Case=Loc;Number=Plur				слязах
пеніс	пеніс	be-decl-noun	NOUN	Case=Nom;Number=Sing				пеніс
пеніс	пенісы	be-decl-noun	NOUN	Case=Nom;Number=Plur				пенісы
пеніс	пеніса	be-decl-noun	NOUN	Case=Acc;Number=Sing				пеніса
пеніс	пенісаў	be-decl-noun	NOUN	Case=Acc;Number=Plur				пенісаў
пеніс	пенісу	be-decl-noun	NOUN	Case=Dat;Number=Sing				пенісу
пеніс	пенісам	be-decl-noun	NOUN	Case=Ins;Number=Sing				пенісам
пеніс	пеніс	be-decl-noun	NOUN	Case=Acc;Number=Sing				пеніс
пеніс	пенісы	be-decl-noun	NOUN	Case=Acc;Number=Plur				пенісы
пеніс	пенісам	be-decl-noun	NOUN	Case=Ins;Number=Sing				пенісам
пеніс	пенісамі	be-decl-noun	NOUN	Case=Ins;Number=Plur				пенісамі
пеніс	пенісе	be-decl-noun	NOUN	Case=Loc;Number=Sing				пенісе
пеніс	пенісах	be-decl-noun	NOUN	Case=Loc;Number=Plur				пенісах
слова	слова	be-decl-noun	NOUN	Case=Nom;Number=Sing				слова
слова	словы	be-decl-noun	NOUN	Case=Nom;Number=Plur				словы
слова	слова	be-decl-noun	NOUN	Case=Acc;Number=Sing				слова
слова	словаў	be-decl-noun	NOUN	Case=Acc;Number=Plur				словаў
слова	слову	be-decl-noun	NOUN	Case=Dat;Number=Sing				слову
слова	словам	be-decl-noun	NOUN	Case=Ins;Number=Sing				словам
слова	слова	be-decl-noun	NOUN	Case=Acc;Number=Sing				слова
слова	словы	be-decl-noun	NOUN	Case=Acc;Number=Plur				словы
слова	словам	be-decl-noun	NOUN	Case=Ins;Number=Sing				словам
слова	словамі	be-decl-noun	NOUN	Case=Ins;Number=Plur				словамі
слова	слове	be-decl-noun	NOUN	Case=Loc;Number=Sing				слове
слова	словах	be-decl-noun	NOUN	Case=Loc;Number=Plur				словах
жыццё	жыццё	be-decl-noun	NOUN	Case=Nom;Number=Sing				жыццё
жыццё	жыцці	be-decl-noun	NOUN	Case=Nom;Number=Plur				жыцці
жыццё	жыцця	be-decl-noun	NOUN	Case=Acc;Number=Sing				жыцця
жыццё	жыццяў	be-decl-noun	NOUN	Case=Acc;Number=Plur				жыццяў
жыццё	жыццю	be-decl-noun	NOUN	Case=Dat;Number=Sing				жыццю
жыццё	жыццям	be-decl-noun	NOUN	Case=Ins;Number=Sing				жыццям
жыццё	жыццё	be-decl-noun	NOUN	Case=Acc;Number=Sing				жыццё
жыццё	жыцці	be-decl-noun	NOUN	Case=Acc;Number=Plur				жыцці
жыццё	жыццём	be-decl-noun	NOUN	Case=Ins;Number=Sing				жыццём
жыццё	жыццямі	be-decl-noun	NOUN	Case=Ins;Number=Plur				жыццямі
жыццё	жыцці	be-decl-noun	NOUN	Case=Loc;Number=Sing				жыцці
жыццё	жыццях	be-decl-noun	NOUN	Case=Loc;Number=Plur				жыццях
жывёла	жывёла	be-decl-noun	NOUN	Case=Nom;Number=Sing				жывёла
жывёла	жывёлы	be-decl-noun	NOUN	Case=Nom;Number=Plur				жывёлы
жывёла	жывёлы	be-decl-noun	NOUN	Case=Acc;Number=Sing				жывёлы
жывёла	жывёл	be-decl-noun	NOUN	Case=Acc;Number=Plur				жывёл
жывёла	жывёле	be-decl-noun	NOUN	Case=Dat;Number=Sing				жывёле
жывёла	жывёлам	be-decl-noun	NOUN	Case=Ins;Number=Sing				жывёлам
жывёла	жывёлу	be-decl-noun	NOUN	Case=Acc;Number=Sing				жывёлу
жывёла	жывёл	be-decl-noun	NOUN	Case=Acc;Number=Plur				жывёл
жывёла	жывёлай	be-decl-noun	NOUN	Case=Ins;Number=Sing				жывёлай
