Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
གནས	གནས	bo-conj	VERB	Tense=Fut				གནས
གནས	གནས	bo-conj	VERB	Tense=Fut				གནས
གནས	གནས	bo-conj	VERB	Tense=Fut				གནས
ཟ	ཟ	bo-conj	VERB	Tense=Fut				ཟ
ཟ	ཟ	bo-conj	VERB	Tense=Fut				ཟ
ཟ	ཟ	bo-conj	VERB	Tense=Fut				ཟ
འཐག	འཐག	bo-conj	VERB	Tense=Fut				འཐག
འཐག	འཐག	bo-conj	VERB	Tense=Fut				འཐག
འཐག	ཐག	bo-conj	VERB	Tense=Fut				ཐག
ཉམས	ཉམས	bo-conj	VERB	Tense=Fut				ཉམས
ཉམས	ཉམས	bo-conj	VERB	Tense=Fut				ཉམས
ཉམས	ཉམས	bo-conj	VERB	Tense=Fut				ཉམས
འབའ	འབའ	bo-conj	VERB	Tense=Fut				འབའ
འབའ	འབའ	bo-conj	VERB	Tense=Fut				འབའ
འབའ	འབའ	bo-conj	VERB	Tense=Fut				འབའ
འཆད	འཆད	bo-conj	VERB	Tense=Fut				འཆད
འཆད	ཆད	bo-conj	VERB	Tense=Fut				ཆད
འཆད	ཆད	bo-conj	VERB	Tense=Fut				ཆད
བཞད	བཞད	bo-conj	VERB	Tense=Fut				བཞད
བཞད	བཞད	bo-conj	VERB	Tense=Fut				བཞད
བཞད	བཞད	bo-conj	VERB	Tense=Fut				བཞད
ན	ན	bo-conj	VERB	Tense=Fut				ན
ན	ན	bo-conj	VERB	Tense=Fut				ན
ན	ན	bo-conj	VERB	Tense=Fut				ན
