Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
око	око	bg-decl-noun	NOUN	Number=Sing;Definite=Ind				око
око	окото	bg-decl-noun	NOUN	Number=Sing;Definite=Def				окото
око	очите	bg-decl-noun	NOUN	Number=Plur;Definite=Def				очите
чай	чай	bg-decl-noun	NOUN	Number=Sing;Definite=Ind				чай
чай	чаят	bg-decl-noun	NOUN	Number=Sing;Definite=Def				чаят
чай	чайовете	bg-decl-noun	NOUN	Number=Plur;Definite=Def				чайовете
господин	господин	bg-decl-noun	NOUN	Number=Sing;Definite=Ind				господин
господин	господинът	bg-decl-noun	NOUN	Number=Sing;Definite=Def				господинът
господин	господата	bg-decl-noun	NOUN	Number=Plur;Definite=Def				господата
цар	цар	bg-decl-noun	NOUN	Number=Sing;Definite=Ind				цар
цар	царят	bg-decl-noun	NOUN	Number=Sing;Definite=Def				царят
цар	царете	bg-decl-noun	NOUN	Number=Plur;Definite=Def				царете
гей	гей	bg-decl-noun	NOUN	Number=Sing;Definite=Ind				гей
гей	геят	bg-decl-noun	NOUN	Number=Sing;Definite=Def				геят
гей	гейовете	bg-decl-noun	NOUN	Number=Plur;Definite=Def				гейовете
слово	слово	bg-noun-2pl	NOUN	Number=Sing;Definite=Ind				слово
слово	словото	bg-noun-2pl	NOUN	Number=Sing;Definite=Def				словото
слово	словата	bg-noun-2pl	NOUN	Number=Plur;Definite=Def				словата
морска звезда	морска звезда	bg-decl-noun	NOUN	Number=Sing;Definite=Ind				морска звезда
морска звезда	морската звезда	bg-decl-noun	NOUN	Number=Sing;Definite=Def				морската звезда
морска звезда	морските звезди	bg-decl-noun	NOUN	Number=Plur;Definite=Def				морските звезди
нога	нога	bg-decl-noun	NOUN	Number=Sing;Definite=Ind				нога
нога	ногата	bg-decl-noun	NOUN	Number=Sing;Definite=Def				ногата
нога	нозете	bg-decl-noun	NOUN	Number=Plur;Definite=Def				нозете
овца	овца	bg-noun-2pl	NOUN	Number=Sing;Definite=Ind				овца
овца	овцата	bg-noun-2pl	NOUN	Number=Sing;Definite=Def				овцата
овца	овцете	bg-noun-2pl	NOUN	Number=Plur;Definite=Def				овцете
отец	отец	bg-decl-noun	NOUN	Number=Sing;Definite=Ind				отец
отец	отецът	bg-decl-noun	NOUN	Number=Sing;Definite=Def				отецът
отец	отците	bg-decl-noun	NOUN	Number=Plur;Definite=Def				отците
номер	номер	bg-decl-noun	NOUN	Number=Sing;Definite=Ind				номер
номер	номерът	bg-decl-noun	NOUN	Number=Sing;Definite=Def				номерът
номер	номерата	bg-decl-noun	NOUN	Number=Plur;Definite=Def				номерата
ухо	ухо	bg-decl-noun	NOUN	Number=Sing;Definite=Ind				ухо
ухо	ухото	bg-decl-noun	NOUN	Number=Sing;Definite=Def				ухото
ухо	ушите	bg-decl-noun	NOUN	Number=Plur;Definite=Def				ушите
кон	кон	bg-decl-noun	NOUN	Number=Sing;Definite=Ind				кон
кон	конят	bg-decl-noun	NOUN	Number=Sing;Definite=Def				конят
кон	конете	bg-decl-noun	NOUN	Number=Plur;Definite=Def				конете
морско свинче	морско свинче	bg-decl-noun	NOUN	Number=Sing;Definite=Ind				морско свинче
морско свинче	морското свинче	bg-decl-noun	NOUN	Number=Sing;Definite=Def				морското свинче
морско свинче	морските свинчета	bg-decl-noun	NOUN	Number=Plur;Definite=Def				морските свинчета
дете	дете	bg-decl-noun	NOUN	Number=Sing;Definite=Ind				дете
дете	детето	bg-decl-noun	NOUN	Number=Sing;Definite=Def				детето
дете	децата	bg-decl-noun	NOUN	Number=Plur;Definite=Def				децата
хуй	хуй	bg-decl-noun	NOUN	Number=Sing;Definite=Ind				хуй
хуй	хуят	bg-decl-noun	NOUN	Number=Sing;Definite=Def				хуят
хуй	хуйовете	bg-decl-noun	NOUN	Number=Plur;Definite=Def				хуйовете
ръка	ръка	bg-decl-noun	NOUN	Number=Sing;Definite=Ind				ръка
ръка	ръката	bg-decl-noun	NOUN	Number=Sing;Definite=Def				ръката
ръка	ръцете	bg-decl-noun	NOUN	Number=Plur;Definite=Def				ръцете
вятър	вятър	bg-decl-noun	NOUN	Number=Sing;Definite=Ind				вятър
вятър	вятърът	bg-decl-noun	NOUN	Number=Sing;Definite=Def				вятърът
вятър	ветровете	bg-decl-noun	NOUN	Number=Plur;Definite=Def				ветровете
грък	грък	bg-decl-noun	NOUN	Number=Sing;Definite=Ind				грък
грък	гъркът	bg-decl-noun	NOUN	Number=Sing;Definite=Def				гъркът
грък	гърците	bg-decl-noun	NOUN	Number=Plur;Definite=Def				гърците
чудо	чудо	bg-decl-noun	NOUN	Number=Sing;Definite=Ind				чудо
чудо	чудото	bg-decl-noun	NOUN	Number=Sing;Definite=Def				чудото
чудо	чудесата	bg-decl-noun	NOUN	Number=Plur;Definite=Def				чудесата
пешка	пешка	bg-decl-noun	NOUN	Number=Sing;Definite=Ind				пешка
пешка	пешката	bg-decl-noun	NOUN	Number=Sing;Definite=Def				пешката
пешка	пешките	bg-decl-noun	NOUN	Number=Plur;Definite=Def				пешките
къща	къща	bg-noun-2pl	NOUN	Number=Sing;Definite=Ind				къща
къща	къщата	bg-noun-2pl	NOUN	Number=Sing;Definite=Def				къщата
къща	къщите	bg-noun-2pl	NOUN	Number=Plur;Definite=Def				къщите
бой	бой	bg-decl-noun	NOUN	Number=Sing;Definite=Ind				бой
бой	боят	bg-decl-noun	NOUN	Number=Sing;Definite=Def				боят
бой	боевете	bg-decl-noun	NOUN	Number=Plur;Definite=Def				боевете
нива	нива	bg-noun-2pl	NOUN	Number=Sing;Definite=Ind				нива
нива	нивата	bg-noun-2pl	NOUN	Number=Sing;Definite=Def				нивата
