Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
мати	матери	cu-decl-noun-r	NOUN	Case=Voc;Number=Dual		ери		мат
мати	матерь	cu-decl-noun-r	NOUN	Case=Acc;Number=Sing		ерь		мат
мати	матере	cu-decl-noun-r	NOUN	Case=Loc;Number=Sing		ере		мат
мати	матероу	cu-decl-noun-r	NOUN	Case=Loc;Number=Dual		ероу		мат
мати	матеръ	cu-decl-noun-r	NOUN	Case=Gen;Number=Plur		еръ		мат
мати	матерьхъ	cu-decl-noun-r	NOUN	Case=Loc;Number=Plur		ерьхъ		мат
мати	матерьма	cu-decl-noun-r	NOUN	Case=Ins;Number=Dual		ерьма		мат
мати	матерьмъ	cu-decl-noun-r	NOUN	Case=Dat;Number=Plur		ерьмъ		мат
мати	матерьѭ	cu-decl-noun-r	NOUN	Case=Ins;Number=Sing		ерьѭ		мат
мати	матерьми	cu-decl-noun-r	NOUN	Case=Ins;Number=Plur		ерьми		мат
слово	слово	cu-decl-noun-s	NOUN	Case=Nom;Number=Sing		о		слов
слово	словесѣ	cu-decl-noun-s	NOUN	Case=Voc;Number=Dual		есѣ		слов
слово	словеса	cu-decl-noun-s	NOUN	Case=Acc;Number=Plur		еса		слов
слово	словесе	cu-decl-noun-s	NOUN	Case=Loc;Number=Sing		есе		слов
слово	словесоу	cu-decl-noun-s	NOUN	Case=Loc;Number=Dual		есоу		слов
слово	словесъ	cu-decl-noun-s	NOUN	Case=Gen;Number=Plur		есъ		слов
слово	словесьхъ	cu-decl-noun-s	NOUN	Case=Loc;Number=Plur		есьхъ		слов
слово	словеси	cu-decl-noun-s	NOUN	Case=Dat;Number=Sing		еси		слов
слово	словесьма	cu-decl-noun-s	NOUN	Case=Ins;Number=Dual		есьма		слов
слово	словесьмъ	cu-decl-noun-s	NOUN	Case=Dat;Number=Plur		есьмъ		слов
слово	словесьмь	cu-decl-noun-s	NOUN	Case=Ins;Number=Sing		есьмь		слов
слово	словесꙑ	cu-decl-noun-s	NOUN	Case=Ins;Number=Plur		есꙑ		слов
зима	зима	cu-decl-noun-a	NOUN	Case=Nom;Number=Sing		а		зим
зима	зимѣ	cu-decl-noun-a	NOUN	Case=Voc;Number=Dual		ѣ		зим
зима	зимꙑ	cu-decl-noun-a	NOUN	Case=Acc;Number=Plur		ꙑ		зим
зима	зимѫ	cu-decl-noun-a	NOUN	Case=Acc;Number=Sing		ѫ		зим
зима	зимоу	cu-decl-noun-a	NOUN	Case=Loc;Number=Dual		оу		зим
зима	зимъ	cu-decl-noun-a	NOUN	Case=Gen;Number=Plur		ъ		зим
зима	зимахъ	cu-decl-noun-a	NOUN	Case=Loc;Number=Plur		ахъ		зим
зима	зимама	cu-decl-noun-a	NOUN	Case=Ins;Number=Dual		ама		зим
зима	зимамъ	cu-decl-noun-a	NOUN	Case=Dat;Number=Plur		амъ		зим
зима	зимоѭ	cu-decl-noun-a	NOUN	Case=Ins;Number=Sing		оѭ		зим
зима	зимами	cu-decl-noun-a	NOUN	Case=Ins;Number=Plur		ами		зим
зима	зимо	cu-decl-noun-a	NOUN	Case=Voc;Number=Sing		о		зим
хвала	хвала	cu-decl-noun-a	NOUN	Case=Nom;Number=Sing		а		хвал
хвала	хвалѣ	cu-decl-noun-a	NOUN	Case=Voc;Number=Dual		ѣ		хвал
хвала	хвалꙑ	cu-decl-noun-a	NOUN	Case=Acc;Number=Plur		ꙑ		хвал
хвала	хвалѫ	cu-decl-noun-a	NOUN	Case=Acc;Number=Sing		ѫ		хвал
хвала	хвалоу	cu-decl-noun-a	NOUN	Case=Loc;Number=Dual		оу		хвал
хвала	хвалъ	cu-decl-noun-a	NOUN	Case=Gen;Number=Plur		ъ		хвал
хвала	хвалахъ	cu-decl-noun-a	NOUN	Case=Loc;Number=Plur		ахъ		хвал
хвала	хвалама	cu-decl-noun-a	NOUN	Case=Ins;Number=Dual		ама		хвал
хвала	хваламъ	cu-decl-noun-a	NOUN	Case=Dat;Number=Plur		амъ		хвал
хвала	хвалоѭ	cu-decl-noun-a	NOUN	Case=Ins;Number=Sing		оѭ		хвал
хвала	хвалами	cu-decl-noun-a	NOUN	Case=Ins;Number=Plur		ами		хвал
хвала	хвало	cu-decl-noun-a	NOUN	Case=Voc;Number=Sing		о		хвал
дрѣво	дрѣво	cu-decl-noun-s	NOUN	Case=Nom;Number=Sing		о		дрѣв
дрѣво	дрѣвесѣ	cu-decl-noun-s	NOUN	Case=Voc;Number=Dual		есѣ		дрѣв
дрѣво	дрѣвеса	cu-decl-noun-s	NOUN	Case=Acc;Number=Plur		еса		дрѣв
дрѣво	дрѣвесе	cu-decl-noun-s	NOUN	Case=Loc;Number=Sing		есе		дрѣв
дрѣво	дрѣвесоу	cu-decl-noun-s	NOUN	Case=Loc;Number=Dual		есоу		дрѣв
дрѣво	дрѣвесъ	cu-decl-noun-s	NOUN	Case=Gen;Number=Plur		есъ		дрѣв
дрѣво	дрѣвесьхъ	cu-decl-noun-s	NOUN	Case=Loc;Number=Plur		есьхъ		дрѣв
дрѣво	дрѣвеси	cu-decl-noun-s	NOUN	Case=Dat;Number=Sing		еси		дрѣв
дрѣво	дрѣвесьма	cu-decl-noun-s	NOUN	Case=Ins;Number=Dual		есьма		дрѣв
дрѣво	дрѣвесьмъ	cu-decl-noun-s	NOUN	Case=Dat;Number=Plur		есьмъ		дрѣв
дрѣво	дрѣвесьмь	cu-decl-noun-s	NOUN	Case=Ins;Number=Sing		есьмь		дрѣв
дрѣво	дрѣвесꙑ	cu-decl-noun-s	NOUN	Case=Ins;Number=Plur		есꙑ		дрѣв
врѣмѧ	врѣменѣ	cu-decl-noun-n-n	NOUN	Case=Voc;Number=Dual		ѣ		врѣмен
врѣмѧ	врѣмена	cu-decl-noun-n-n	NOUN	Case=Acc;Number=Plur		а		врѣмен
врѣмѧ	врѣмене	cu-decl-noun-n-n	NOUN	Case=Loc;Number=Sing		е		врѣмен
врѣмѧ	врѣменоу	cu-decl-noun-n-n	NOUN	Case=Loc;Number=Dual		оу		врѣмен
врѣмѧ	врѣменъ	cu-decl-noun-n-n	NOUN	Case=Gen;Number=Plur		ъ		врѣмен
врѣмѧ	врѣменьхъ	cu-decl-noun-n-n	NOUN	Case=Loc;Number=Plur		ьхъ		врѣмен
врѣмѧ	врѣмени	cu-decl-noun-n-n	NOUN	Case=Voc;Number=Dual		и		врѣмен
врѣмѧ	врѣменьма	cu-decl-noun-n-n	NOUN	Case=Ins;Number=Dual		ьма		врѣмен
врѣмѧ	врѣменьмъ	cu-decl-noun-n-n	NOUN	Case=Dat;Number=Plur		ьмъ		врѣмен
врѣмѧ	врѣменьмь	cu-decl-noun-n-n	NOUN	Case=Ins;Number=Sing		ьмь		врѣмен
врѣмѧ	врѣменъі	cu-decl-noun-n-n	NOUN	Case=Ins;Number=Plur		ъі		врѣмен
врагъ	врагъ	cu-decl-noun-o-m	NOUN	Case=Nom;Number=Sing		ъ		враг
врагъ	врага	cu-decl-noun-o-m	NOUN	Case=Voc;Number=Dual		а		враг
врагъ	враги	cu-decl-noun-o-m	NOUN	Case=Nom;Number=Plur		и		враг
врагъ	врагꙑ	cu-decl-noun-o-m	NOUN	Case=Acc;Number=Plur		ꙑ		враг
врагъ	врагоу	cu-decl-noun-o-m	NOUN	Case=Loc;Number=Dual		оу		враг
врагъ	врагѣ	cu-decl-noun-o-m	NOUN	Case=Loc;Number=Sing		ѣ		враг
врагъ	врагѣхъ	cu-decl-noun-o-m	NOUN	Case=Loc;Number=Plur		ѣхъ		враг
врагъ	врагома	cu-decl-noun-o-m	NOUN	Case=Ins;Number=Dual		ома		враг
врагъ	врагомъ	cu-decl-noun-o-m	NOUN	Case=Dat;Number=Plur		омъ		враг
врагъ	врагомь	cu-decl-noun-o-m	NOUN	Case=Ins;Number=Sing		омь		враг
врагъ	враге	cu-decl-noun-o-m	NOUN	Case=Voc;Number=Sing		е		враг
глава	глава	cu-decl-noun-a	NOUN	Case=Nom;Number=Sing		а		глав
глава	главѣ	cu-decl-noun-a	NOUN	Case=Voc;Number=Dual		ѣ		глав
глава	главꙑ	cu-decl-noun-a	NOUN	Case=Acc;Number=Plur		ꙑ		глав
глава	главѫ	cu-decl-noun-a	NOUN	Case=Acc;Number=Sing		ѫ		глав
глава	главоу	cu-decl-noun-a	NOUN	Case=Loc;Number=Dual		оу		глав
глава	главъ	cu-decl-noun-a	NOUN	Case=Gen;Number=Plur		ъ		глав
глава	главахъ	cu-decl-noun-a	NOUN	Case=Loc;Number=Plur		ахъ		глав
глава	главама	cu-decl-noun-a	NOUN	Case=Ins;Number=Dual		ама		глав
глава	главамъ	cu-decl-noun-a	NOUN	Case=Dat;Number=Plur		амъ		глав
глава	главоѭ	cu-decl-noun-a	NOUN	Case=Ins;Number=Sing		оѭ		глав
глава	главами	cu-decl-noun-a	NOUN	Case=Ins;Number=Plur		ами		глав
глава	главо	cu-decl-noun-a	NOUN	Case=Voc;Number=Sing		о		глав
дѣло	дѣло	cu-decl-noun-s	NOUN	Case=Nom;Number=Sing		о		дѣл
дѣло	дѣлесѣ	cu-decl-noun-s	NOUN	Case=Voc;Number=Dual		есѣ		дѣл
дѣло	дѣлеса	cu-decl-noun-s	NOUN	Case=Acc;Number=Plur		еса		дѣл
дѣло	дѣлесе	cu-decl-noun-s	NOUN	Case=Loc;Number=Sing		есе		дѣл
дѣло	дѣлесоу	cu-decl-noun-s	NOUN	Case=Loc;Number=Dual		есоу		дѣл
дѣло	дѣлесъ	cu-decl-noun-s	NOUN	Case=Gen;Number=Plur		есъ		дѣл
дѣло	дѣлесьхъ	cu-decl-noun-s	NOUN	Case=Loc;Number=Plur		есьхъ		дѣл
дѣло	дѣлеси	cu-decl-noun-s	NOUN	Case=Dat;Number=Sing		еси		дѣл
дѣло	дѣлесьма	cu-decl-noun-s	NOUN	Case=Ins;Number=Dual		есьма		дѣл
дѣло	дѣлесьмъ	cu-decl-noun-s	NOUN	Case=Dat;Number=Plur		есьмъ		дѣл
