Language	ISO 639-3	Words	Lemmas
Adyghe	ady	56	4
Old English	ang	56833	4332
Arabic	ara	36	6
Asturian	ast	30141	373
Belarusian	bel	378	35
Tibetan	bod	24	8
Bulgarian	bul	344	108
Catalan	cat	2042	28
Czech	ces	32	3
Church Slavic	chu	1252	124
Welsh	cym	25423	401
Danish	dan	12040	5999
German	deu	47388	5234
Lower Sorbian	dsb	18844	914
Modern Greek	ell	4	1
English	eng	132	27
Estonian	est	85200	1878
Basque	eus	78	2
Faroese	fao	41816	3446
Persian	fas	10668	94
Finnish	fin	3046391	94609
Middle French	frm	632	34
Old French	fro	15	3
Irish	gle	48055	10118
Middle High German	gmh	84	9
Middle Low German	gml	495	40
Gothic	got	13447	1052
Ancient Greek	grc	366	72
Hindi	hin	188	96
Hungarian	hun	467958	24099
Armenian	hye	3715	317
Icelandic	isl	488	88
Ingrian	izh	19712	64
Kalaallisut	kal	544	34
Kannada	kan	9	3
Georgian	kat	73833	3978
Kazakh	kaz	1281	183
Kabardian	kbd	56	4
Khakas	kjh	24	6
Latin	lat	187389	13451
Latvian	lav	88841	8061
Lithuanian	lit	29932	1497
Livonian languages	liv	412	289
Macedonian	mkd	39805	4881
Maltese	mlt	64	36
Neapolitan	nap	108	36
Low German	nds	1478	238
Dutch	nld	19816	4710
Occitan	oci	808	404
Old Saxon	osx	15167	838
Polish	pol	142805	4878
Portuguese	por	1059	353
Pashto	pus	3227	469
Romanian	ron	7879	1507
Old Irish	sga	752	88
Slovenian	slv	113	15
Northern Sami	sme	45693	3460
Spanish	spa	712070	7277
Albanian	sqi	7307	207
Swedish	swe	14891	1761
Classic Syriac	syc	58676	1692
Turkmen	tuk	1092	91
Turkish	tur	2823	883
Ukrainian	ukr	42	3
Urdu	urd	722	223
Veps	vep	12300	820
Votic	vot	528	66
Classical Armenian	xcl	4981	566
TOTAL		5410804	216626
