Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
antonym	antonym	da-noun-infl	NOUN	Definite=Ind;Case=Nom;Number=Sing				antonym
antonym	antonyms	da-noun-infl	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		antonym
denotation	denotation	da-decl	NOUN	Definite=Ind;Case=Nom;Number=Sing				denotation
denotation	denotations	da-decl	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		denotation
synonym	synonym	da-decl	NOUN	Definite=Ind;Case=Nom;Number=Sing				synonym
synonym	synonyms	da-decl	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		synonym
synonym	synonym	da-noun-infl	NOUN	Definite=Ind;Case=Nom;Number=Sing				synonym
synonym	synonyms	da-noun-infl	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		synonym
hyponym	hyponym	da-decl	NOUN	Definite=Ind;Case=Nom;Number=Sing				hyponym
hyponym	hyponyms	da-decl	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		hyponym
abort	abort	da-noun-infl	NOUN	Definite=Ind;Case=Nom;Number=Sing				abort
abort	aborts	da-noun-infl	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		abort
millennium	millennium	da-noun-infl	NOUN	Definite=Ind;Case=Nom;Number=Sing				millennium
millennium	millenniums	da-noun-infl	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		millennium
the	the	da-decl	NOUN	Definite=Ind;Case=Nom;Number=Sing				the
the	thes	da-decl	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		the
spring	spring	da-noun-infl	NOUN	Definite=Ind;Case=Nom;Number=Sing				spring
spring	springs	da-noun-infl	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		spring
van	van	da-noun-infl	NOUN	Definite=Ind;Case=Nom;Number=Sing				van
van	vans	da-noun-infl	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		van
te	te	da-noun-infl	NOUN	Definite=Ind;Case=Nom;Number=Sing				te
te	tes	da-noun-infl	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		te
google	google	da-conj-reg	VERB	Voice=Act;VerbForm=Inf				google
google	google	da-conj-reg	VERB	Voice=Act;VerbForm=Inf				google
planet	planet	da-noun-infl	NOUN	Definite=Ind;Case=Nom;Number=Sing				planet
planet	planets	da-noun-infl	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		planet
sky	sky	da-noun-infl	NOUN	Definite=Ind;Case=Nom;Number=Sing				sky
sky	skys	da-noun-infl	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		sky
point	point	da-decl	NOUN	Definite=Ind;Case=Nom;Number=Sing				point
point	points	da-decl	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		point
man	man	da-noun-infl	NOUN	Definite=Ind;Case=Nom;Number=Sing				man
man	mans	da-noun-infl	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		man
fart	fart	da-noun-infl	NOUN	Definite=Ind;Case=Nom;Number=Sing				fart
fart	farts	da-noun-infl	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		fart
port	port	da-noun-infl	NOUN	Definite=Ind;Case=Nom;Number=Sing				port
port	ports	da-noun-infl	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		port
hund	hund	da-noun-infl	NOUN	Definite=Ind;Case=Nom;Number=Sing				hund
hund	hunds	da-noun-infl	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		hund
onsdag	onsdag	da-noun-infl	NOUN	Definite=Ind;Case=Nom;Number=Sing				onsdag
onsdag	onsdags	da-noun-infl	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		onsdag
billion	billion	da-decl	NOUN	Definite=Ind;Case=Nom;Number=Sing				billion
billion	billions	da-decl	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		billion
and	and	da-noun-infl	NOUN	Definite=Ind;Case=Nom;Number=Sing				and
and	ands	da-noun-infl	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		and
euro	euro	da-noun-infl	NOUN	Definite=Ind;Case=Nom;Number=Sing				euro
euro	euros	da-noun-infl	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		euro
bank	bank	da-noun-infl	NOUN	Definite=Ind;Case=Nom;Number=Sing				bank
