Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
sehen	sehen	de-conj-strong	VERB	Mood=Sub;Tense=Pres;Person=3;Number=Plur		en		seh
sehen	sehend	de-conj-strong	VERB	Tense=Pres		end		seh
sehen	gesehen	de-conj-strong	VERB	Mood=Sub;Tense=Past;Person=3;Number=Plur				gesehen
sehen	sehen	de-conj-strong	VERB	Mood=Sub;Tense=Pres;Person=3;Number=Plur		en		seh
sehen	sehend	de-conj-strong	VERB	Tense=Pres		end		seh
sehen	gesehen	de-conj-strong	VERB	Tense=Past				gesehen
sehen	seh	de-conj-strong	VERB	Mood=Jus;Person=2;Number=Sing		 		se
sehen	seht	de-conj-strong	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing		t 		se
befallen	befallen	de-conj-strong	VERB	Mood=Sub;Tense=Pres;Person=3;Number=Plur		en		befall
befallen	befallend	de-conj-strong	VERB	Tense=Pres		end		befall
befallen	befallen	de-conj-strong	VERB	Mood=Sub;Tense=Past;Person=3;Number=Plur				befallen
befallen	befallen	de-conj-strong	VERB	Mood=Sub;Tense=Pres;Person=3;Number=Plur		en		befall
befallen	befallend	de-conj-strong	VERB	Tense=Pres		end		befall
befallen	befallen	de-conj-strong	VERB	Tense=Past				befallen
befallen	befall	de-conj-strong	VERB	Mood=Jus;Person=2;Number=Sing		 		befal
befallen	befallt	de-conj-strong	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing		t 		befal
bitten	bitten	de-conj-strong	VERB	Mood=Sub;Tense=Pres;Person=3;Number=Plur		en		bitt
bitten	bittend	de-conj-strong	VERB	Tense=Pres		end		bitt
bitten	gebeten	de-conj-strong	VERB	Mood=Sub;Tense=Past;Person=3;Number=Plur				gebeten
bitten	bitten	de-conj-strong	VERB	Mood=Sub;Tense=Pres;Person=3;Number=Plur		en		bitt
bitten	bittend	de-conj-strong	VERB	Tense=Pres		end		bitt
bitten	gebeten	de-conj-strong	VERB	Tense=Past				gebeten
bitten	bitt	de-conj-strong	VERB	Mood=Jus;Person=2;Number=Sing		 		bit
bitten	bittt	de-conj-strong	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing		t 		bit
fallen	fallen	de-conj-strong	VERB	Mood=Sub;Tense=Pres;Person=3;Number=Plur		en		fall
fallen	fallend	de-conj-strong	VERB	Tense=Pres		end		fall
fallen	gefallen	de-conj-strong	VERB	Mood=Sub;Tense=Past;Person=3;Number=Plur				gefallen
fallen	fallen	de-conj-strong	VERB	Mood=Sub;Tense=Pres;Person=3;Number=Plur		en		fall
fallen	fallend	de-conj-strong	VERB	Tense=Pres		end		fall
fallen	gefallen	de-conj-strong	VERB	Tense=Past				gefallen
fallen	fall	de-conj-strong	VERB	Mood=Jus;Person=2;Number=Sing		 		fal
fallen	fallt	de-conj-strong	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing		t 		fal
geben	geben	de-conj-strong	VERB	Mood=Sub;Tense=Pres;Person=3;Number=Plur		en		geb
geben	gebend	de-conj-strong	VERB	Tense=Pres		end		geb
geben	gegeben	de-conj-strong	VERB	Mood=Sub;Tense=Past;Person=3;Number=Plur				gegeben
geben	geben	de-conj-strong	VERB	Mood=Sub;Tense=Pres;Person=3;Number=Plur		en		geb
