Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
ten	ta	dsb-decl-det-50	NOUN	Case=Nom;Number=Sing		a		t
ten	to	dsb-decl-det-50	NOUN	Case=Gen;Number=Sing		o		t
ten	tej	dsb-decl-det-50	NOUN	Case=Par;Number=Sing		ej		t
ten	te	dsb-decl-det-50	NOUN	Case=Gen;Number=Sing		e		t
ten	togo	dsb-decl-det-50	NOUN	Case=Nom;Number=Sing		ogo		t
ten	teje	dsb-decl-det-50	NOUN	Case=Nom;Number=Sing		eje		t
ten	teju	dsb-decl-det-50	NOUN	Case=Gen;Number=Sing		eju		t
ten	tych	dsb-decl-det-50	NOUN	Case=Par;Number=Sing		ych		t
ten	tomu	dsb-decl-det-50	NOUN	Case=Ine;Number=Sing		omu		t
ten	tej	dsb-decl-det-50	NOUN	Case=Ela;Number=Sing		ej		t
ten	tyma	dsb-decl-det-50	NOUN	Case=Ade;Number=Sing		yma		t
ten	tym	dsb-decl-det-50	NOUN	Case=Abl;Number=Sing		ym		t
ten	togo	dsb-decl-det-50	NOUN	Case=All;Number=Sing		ogo		t
ten	tu	dsb-decl-det-50	NOUN	Case=Ess;Number=Sing		u		t
ten	to	dsb-decl-det-50	NOUN	Case=Tra;Number=Sing		o		t
ten	tej	dsb-decl-det-50	NOUN	Case=Abe;Number=Sing		ej		t
banana	banana	dsb-decl-noun-1	NOUN	Case=Gen;Number=Sing		a		banan
banana	bananje	dsb-decl-noun-1	NOUN	Case=Gen;Number=Plur		je		banan
banana	bananowu	dsb-decl-noun-1	NOUN	Case=Gen;Number=Sing		owu		banan
banana	bananow	dsb-decl-noun-1	NOUN	Case=Gen;Number=Plur		ow		banan
banana	bananje	dsb-decl-noun-1	NOUN	Case=Gen;Number=Sing		je		banan
banana	bananoma	dsb-decl-noun-1	NOUN	Case=Gen;Number=Plur		oma		banan
banana	bananoma	dsb-decl-noun-1	NOUN	Case=Gen;Number=Sing		oma		banan
banana	banana	dsb-decl-noun-1	NOUN	Case=Nom;Number=Sing		a		banan
banana	bananje	dsb-decl-noun-1	NOUN	Case=Nom;Number=Dual		je		banan
banana	banany	dsb-decl-noun-1	NOUN	Case=Nom;Number=Plur		y		banan
banana	bananowu	dsb-decl-noun-1	NOUN	Case=Gen;Number=Dual		owu		banan
banana	bananoma	dsb-decl-noun-1	NOUN	Case=Ins;Number=Dual		oma		banan
banana	bananam	dsb-decl-noun-1	NOUN	Case=Dat;Number=Plur		am		banan
banana	bananu	dsb-decl-noun-1	NOUN	Case=Ins;Number=Sing		u		banan
banana	bananami	dsb-decl-noun-1	NOUN	Case=Ins;Number=Plur		ami		banan
banana	bananach	dsb-decl-noun-1	NOUN	Case=Loc;Number=Plur		ach		banan
sol	soy	dsb-decl-noun-7	NOUN	Case=Voc;Number=Plur		y		so
sol	soy	dsb-decl-noun-7	NOUN	Case=Gen;Number=Sing		y		so
sol	soy	dsb-decl-noun-7	NOUN	Case=Gen;Number=Plur		y		so
sol	soow	dsb-decl-noun-7	NOUN	Case=Dat;Number=Sing		ow		so
sol	soy	dsb-decl-noun-7	NOUN	Case=Dat;Number=Plur		y		so
sol	sooma	dsb-decl-noun-7	NOUN	Case=Gen;Number=Sing		oma		so
sol	soam	dsb-decl-noun-7	NOUN	Case=Gen;Number=Plur		am		so
sol	soy	dsb-decl-noun-7	NOUN	Case=Ins;Number=Sing		y		so
sol	soy	dsb-decl-noun-7	NOUN	Case=Ins;Number=Plur		y		so
sol	sou	dsb-decl-noun-7	NOUN	Case=Nom;Number=Sing		u		so
sol	sooma	dsb-decl-noun-7	NOUN	Case=Loc;Number=Plur		oma		so
sol	soami	dsb-decl-noun-7	NOUN	Case=Nom;Number=Sing		ami		so
wiki	wiki	dsb-decl-noun-45	NOUN	Definite=Ind;Case=Nom;Number=Sing				wiki
wiki	wikow	dsb-decl-noun-45	NOUN	Definite=Def;Case=Nom;Number=Sing		ow		wik
wiki	wikam	dsb-decl-noun-45	NOUN	Definite=Ind;Case=Nom;Number=Plur		am		wik
wiki	wiki	dsb-decl-noun-45	NOUN	Definite=Def;Case=Nom;Number=Plur				wiki
