Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
love	love	en-conj	VERB	VerbForm=Inf				love
love	loving	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		lov
love	loved	en-conj	VERB	Tense=Past;VerbForm=Part		ed		lov
win	win	en-conj	VERB	VerbForm=Inf				win
win	winning	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		win
win	won	en-conj	VERB	Tense=Past;VerbForm=Part				won
write	write	en-conj	VERB	VerbForm=Inf				write
write	writing	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		writ
write	written	en-conj	VERB	Tense=Past;VerbForm=Part		en		writ
see	see	en-conj	VERB	VerbForm=Inf				see
see	seeing	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		see
see	seen	en-conj	VERB	Tense=Past;VerbForm=Part		en		see
talk	talk	en-conj	VERB	VerbForm=Inf				talk
talk	talking	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		talk
talk	talked	en-conj	VERB	Tense=Past;VerbForm=Part		ed		talk
breathe	breathe	en-conj	VERB	VerbForm=Inf				breathe
breathe	breathing	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		breath
breathe	breathed	en-conj	VERB	Tense=Past;VerbForm=Part		ed		breath
lose	lose	en-conj	VERB	VerbForm=Inf				lose
lose	losing	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		los
lose	lost	en-conj	VERB	Tense=Past;VerbForm=Part				lost
do	do	en-conj	VERB	VerbForm=Inf				do
do	doing	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		did
do	done	en-conj	VERB	Tense=Past;VerbForm=Part		ed		done
break	break	en-conj	VERB	VerbForm=Inf				break
break	breaking	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		break
break	broken	en-conj	VERB	Tense=Past;VerbForm=Part				broken
go	go	en-conj	VERB	VerbForm=Inf				go
go	going	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		go
go	went	en-conj	VERB	Tense=Past;VerbForm=Part				went
have	have	en-conj	VERB	VerbForm=Inf				have
have	having	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		hav
have	had	en-conj	VERB	Tense=Past;VerbForm=Part				had
hold	hold	en-conj	VERB	VerbForm=Inf				hold
hold	holding	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		hold
hold	held	en-conj	VERB	Tense=Past;VerbForm=Part				held
leave	leave	en-conj	VERB	VerbForm=Inf				leave
leave	leaving	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		leave
leave	left	en-conj	VERB	Tense=Past;VerbForm=Part				left
make	make	en-conj	VERB	VerbForm=Inf				make
make	making	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		make
make	made	en-conj	VERB	Tense=Past;VerbForm=Part				made
quit	quit	en-conj	VERB	VerbForm=Inf				quit
quit	quitting	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		quit
quit	quit	en-conj	VERB	Tense=Past;VerbForm=Part				quit
strive	strive	en-conj	VERB	VerbForm=Inf				strive
strive	striving	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		strive
strive	strived	en-conj	VERB	Tense=Past;VerbForm=Part		ed		strive
dry	dry	en-conj	VERB	VerbForm=Inf				dry
dry	drying	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		dry
dry	dried	en-conj	VERB	Tense=Past;VerbForm=Part		ed		dri
hallo	hallo	en-conj	VERB	VerbForm=Inf				hallo
hallo	halloing	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		hallo
hallo	halloed	en-conj	VERB	Tense=Past;VerbForm=Part		ed		hallo
leer	leer	en-conj	VERB	VerbForm=Inf				leer
leer	leering	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		leer
leer	leered	en-conj	VERB	Tense=Past;VerbForm=Part		ed		leer
enter	enter	en-conj	VERB	VerbForm=Inf				enter
enter	entering	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		enter
enter	entered	en-conj	VERB	Tense=Past;VerbForm=Part		ed		enter
hate	hate	en-conj	VERB	VerbForm=Inf				hate
hate	hating	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		hat
frolic	frolic	en-conj	VERB	VerbForm=Inf				frolic
frolic	frolicking	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		frolic
frolic	frolicked	en-conj	VERB	Tense=Past;VerbForm=Part		ed		frolic
prefer	prefer	en-conj	VERB	VerbForm=Inf				prefer
prefer	preferring	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		prefer
prefer	preferred	en-conj	VERB	Tense=Past;VerbForm=Part		ed		prefer
chum	chum	en-conj	VERB	VerbForm=Inf				chum
chum	chumming	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		chum
chum	chummed	en-conj	VERB	Tense=Past;VerbForm=Part		ed		chum
shend	shend	en-conj	VERB	VerbForm=Inf				shend
shend	shending	en-conj	VERB	Tense=Pres;VerbForm=Part		ing		shend
shend	shent	en-conj	VERB	Tense=Past;VerbForm=Part				shent
