Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
atxeki	zentxezkidaten	eu-conj-nornori-irreg	VERB	Mood=Ind	z	daten		entxezki
atxeki	zetxezkidan	eu-conj-nornori-irreg	VERB	Mood=Ind	z	dan		etxezki
atxeki	gentxezkian	eu-conj-nornori-irreg	VERB	Mood=Ind	g	an		entxezki
atxeki	zetxezkian	eu-conj-nornori-irreg	VERB	Mood=Ind	z	an		etxezki
atxeki	gentxezkion	eu-conj-nornori-irreg	VERB	Mood=Ind	g	on		entxezki
atxeki	zentxezkion	eu-conj-nornori-irreg	VERB	Mood=Ind	z	on		entxezki
atxeki	zentxezkioten	eu-conj-nornori-irreg	VERB	Mood=Ind	z	oten		entxezki
atxeki	zetxezkion	eu-conj-nornori-irreg	VERB	Mood=Ind	z	on		etxezki
atxeki	zentxezkigun	eu-conj-nornori-irreg	VERB	Mood=Ind	z	gun		entxezki
atxeki	zentxezkiguten	eu-conj-nornori-irreg	VERB	Mood=Ind	z	guten		entxezki
atxeki	zetxezkigun	eu-conj-nornori-irreg	VERB	Mood=Ind	z	gun		etxezki
atxeki	gentxezkizun	eu-conj-nornori-irreg	VERB	Mood=Ind	g	zun		entxezki
atxeki	zetxezkizun	eu-conj-nornori-irreg	VERB	Mood=Ind	z	zun		etxezki
atxeki	gentxezkizuen	eu-conj-nornori-irreg	VERB	Mood=Ind	g	zuen		entxezki
atxeki	zetxezkizuen	eu-conj-nornori-irreg	VERB	Mood=Ind	z	zuen		etxezki
atxeki	gentxezkien	eu-conj-nornori-irreg	VERB	Mood=Ind	g	en		entxezki
atxeki	zentxezkien	eu-conj-nornori-irreg	VERB	Mood=Ind	z	en		entxezki
atxeki	zentxezkieten	eu-conj-nornori-irreg	VERB	Mood=Ind	z	eten		entxezki
atxeki	zetxezkien	eu-conj-nornori-irreg	VERB	Mood=Ind	z	en		etxezki
atxeki	zentxezkidake	eu-conj-nornori-irreg	VERB	Mood=Pot	z	dake		entxezki
atxeki	zentxezkidakete	eu-conj-nornori-irreg	VERB	Mood=Pot	z	dakete		entxezki
atxeki	letxezkidake	eu-conj-nornori-irreg	VERB	Mood=Pot	l	dake		etxezki
atxeki	gentxezkiake	eu-conj-nornori-irreg	VERB	Mood=Pot	g	ake		entxezki
atxeki	letxezkiake	eu-conj-nornori-irreg	VERB	Mood=Pot	l	ake		etxezki
atxeki	gentxezkioke	eu-conj-nornori-irreg	VERB	Mood=Pot	g	oke		entxezki
atxeki	zentxezkioke	eu-conj-nornori-irreg	VERB	Mood=Pot	z	oke		entxezki
atxeki	zentxezkiokete	eu-conj-nornori-irreg	VERB	Mood=Pot	z	okete		entxezki
atxeki	letxezkioke	eu-conj-nornori-irreg	VERB	Mood=Pot	l	oke		etxezki
atxeki	zentxezkiguke	eu-conj-nornori-irreg	VERB	Mood=Pot	z	guke		entxezki
atxeki	zentxezkigukete	eu-conj-nornori-irreg	VERB	Mood=Pot	z	gukete		entxezki
