Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
de	de	fo-decl-noun-n4	NOUN	Definite=Ind;Case=Nom;Number=Sing				de
de	deið	fo-decl-noun-n4	NOUN	Definite=Def;Case=Nom;Number=Sing		ið		de
de	deini	fo-decl-noun-n4	NOUN	Definite=Def;Case=Nom;Number=Plur		ini		de
de	dei	fo-decl-noun-n4	NOUN	Definite=Ind;Case=Dat;Number=Sing		i		de
de	denum	fo-decl-noun-n4	NOUN	Definite=Def;Case=Dat;Number=Sing		num		de
de	deum	fo-decl-noun-n4	NOUN	Definite=Ind;Case=Dat;Number=Plur		um		de
de	deunum	fo-decl-noun-n4	NOUN	Definite=Def;Case=Dat;Number=Plur		unum		de
de	des	fo-decl-noun-n4	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		de
de	desins	fo-decl-noun-n4	NOUN	Definite=Def;Case=Gen;Number=Sing		sins		de
de	dea	fo-decl-noun-n4	NOUN	Definite=Ind;Case=Gen;Number=Plur		a		de
de	deanna	fo-decl-noun-n4	NOUN	Definite=Def;Case=Gen;Number=Plur		anna		de
te	te	fo-decl-noun-n4-s	NOUN	Definite=Ind;Case=Nom;Number=Sing				te
te	teið	fo-decl-noun-n4-s	NOUN	Definite=Ind;Case=Nom;Number=Plur		ið		te
te	tei	fo-decl-noun-n4-s	NOUN	Definite=Ind;Case=Dat;Number=Sing		i		te
te	tenum	fo-decl-noun-n4-s	NOUN	Definite=Ind;Case=Dat;Number=Plur		num		te
te	tes	fo-decl-noun-n4-s	NOUN	Definite=Ind;Case=Gen;Number=Sing		s		te
te	tesins	fo-decl-noun-n4-s	NOUN	Definite=Ind;Case=Gen;Number=Plur		sins		te
i	i	fo-decl-noun-n4	NOUN	Definite=Ind;Case=Nom;Number=Sing				i
i	iið	fo-decl-noun-n4	NOUN	Definite=Def;Case=Nom;Number=Sing		ið		i
i	iini	fo-decl-noun-n4	NOUN	Definite=Def;Case=Nom;Number=Plur		ini		i
i	ii	fo-decl-noun-n4	NOUN	Definite=Ind;Case=Dat;Number=Sing		i		i
