Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
dancer	avoir dancé	frm-conj-cer	VERB	Definite=Ind;Case=Nom;Number=Sing	avoir 	cé		dan
dancer	en dançant	frm-conj-cer	VERB	Definite=Ind;Case=Nom;Number=Plur	en 	çant		dan
dancer	dançant	frm-conj-cer	VERB	Definite=Def;Case=Nom;Number=Sing		çant		dan
dancer	dancé	frm-conj-cer	VERB	Definite=Def;Case=Nom;Number=Plur		cé		dan
dancer	dance	frm-conj-cer	VERB	Definite=Ind;Case=Dat;Number=Plur		ce		dan
dancer	dances	frm-conj-cer	VERB	Definite=Def;Case=Dat;Number=Plur		ces		dan
dancer	dance	frm-conj-cer	VERB	Definite=Ind;Case=Nom;Number=Sing		ce		dan
dancer	dançons	frm-conj-cer	VERB	Definite=Def;Case=Gen;Number=Sing		çons		dan
dancer	dancez	frm-conj-cer	VERB	Definite=Ind;Case=Gen;Number=Plur		cez		dan
dancer	dancent	frm-conj-cer	VERB	Definite=Def;Case=Gen;Number=Plur		cent		dan
finir	avoir fini	frm-conj-ir	VERB	Case=Nom;Number=Sing;Gender=Masc;Polarity=Pos	avoir 	i		fin
finir	en finissant	frm-conj-ir	VERB	Case=Voc;Number=Plur;Gender=Fem;Polarity=Pos	en 	issant		fin
finir	finissant	frm-conj-ir	VERB	Case=Voc;Number=Plur;Gender=Fem;Polarity=Pos		issant		fin
finir	fini	frm-conj-ir	VERB	Case=Dat;Number=Plur;Gender=Masc;Polarity=Pos		i		fin
finir	finis	frm-conj-ir	VERB	Case=Acc;Number=Sing;Gender=Masc;Polarity=Pos		is		fin
finir	finis	frm-conj-ir	VERB	Case=Acc;Number=Plur;Gender=Masc;Polarity=Pos		is		fin
finir	finit	frm-conj-ir	VERB	Case=Acc;Number=Sing;Gender=Fem;Polarity=Pos		it		fin
finir	finissons	frm-conj-ir	VERB	Case=Acc;Number=Plur;Gender=Fem;Polarity=Pos		issons		fin
finir	finissez	frm-conj-ir	VERB	Number=Sing;Gender=Masc;Polarity=Pos		issez		fin
finir	finissent	frm-conj-ir	VERB	Number=Plur;Gender=Masc;Polarity=Pos		issent		fin
finir	finissois	frm-conj-ir	VERB	Number=Sing;Gender=Fem;Polarity=Pos		issois		fin
finir	finissoys	frm-conj-ir	VERB	Number=Plur;Gender=Fem;Polarity=Pos		issoys		fin
finir	finissois	frm-conj-ir	VERB	Number=Sing;Gender=Masc;Polarity=Pos		issois		fin
finir	finissoys	frm-conj-ir	VERB	Number=Plur;Gender=Masc;Polarity=Pos		issoys		fin
finir	finissoit	frm-conj-ir	VERB	Number=Sing;Gender=Fem;Polarity=Pos		issoit		fin
finir	finissoyy	frm-conj-ir	VERB	Number=Plur;Gender=Fem;Polarity=Pos		issoyy		fin
finir	finissions	frm-conj-ir	VERB	Case=Nom;Number=Sing;Gender=Masc;Polarity=Pos		issions		fin
finir	finissiez	frm-conj-ir	VERB	Case=Nom;Number=Plur;Gender=Masc;Polarity=Pos		issiez		fin
finir	finissoient	frm-conj-ir	VERB	Case=Nom;Number=Sing;Gender=Fem;Polarity=Pos		issoient		fin
finir	finissoyent	frm-conj-ir	VERB	Case=Voc;Number=Plur;Gender=Fem;Polarity=Pos		issoyent		fin
finir	finistes	frm-conj-ir	VERB	Case=Nom;Number=Sing;Gender=Masc;Case=Cmp		istes		fin
finir	finirent	frm-conj-ir	VERB	Case=Nom;Number=Plur;Gender=Masc;Case=Cmp		irent		fin
finir	finirai	frm-conj-ir	VERB	Case=Nom;Number=Sing;Gender=Fem;Case=Cmp		irai		fin
finir	finiray	frm-conj-ir	VERB	Case=Gen;Number=Sing;Gender=Fem;Case=Cmp		iray		fin
finir	finiras	frm-conj-ir	VERB	Case=Gen;Number=Sing;Gender=Masc;Case=Cmp		iras		fin
finir	finira	frm-conj-ir	VERB	Case=Gen;Number=Plur;Gender=Fem;Case=Cmp		ira		fin
finir	finirons	frm-conj-ir	VERB	Case=Gen;Number=Sing;Gender=Fem;Case=Cmp		irons		fin
finir	finiront	frm-conj-ir	VERB	Case=Dat;Number=Sing;Gender=Masc;Case=Cmp		iront		fin
finir	finirois	frm-conj-ir	VERB	Case=Dat;Number=Plur;Gender=Masc;Case=Cmp		irois		fin
finir	finiroys	frm-conj-ir	VERB	Case=Dat;Number=Sing;Gender=Fem;Case=Cmp		iroys		fin
finir	finirois	frm-conj-ir	VERB	Case=Dat;Number=Plur;Gender=Fem;Case=Cmp		irois		fin
finir	finiroys	frm-conj-ir	VERB	Case=Acc;Number=Sing;Gender=Masc;Case=Cmp		iroys		fin
finir	finiroit	frm-conj-ir	VERB	Case=Acc;Number=Plur;Gender=Masc;Case=Cmp		iroit		fin
finir	finiroyt	frm-conj-ir	VERB	Case=Acc;Number=Sing;Gender=Fem;Case=Cmp		iroyt		fin
finir	finirions	frm-conj-ir	VERB	Case=Acc;Number=Plur;Gender=Fem;Case=Cmp		irions		fin
finir	finiriez	frm-conj-ir	VERB	Number=Sing;Gender=Masc;Case=Cmp		iriez		fin
finir	finiroient	frm-conj-ir	VERB	Number=Plur;Gender=Masc;Case=Cmp		iroient		fin
finir	finiroyent	frm-conj-ir	VERB	Number=Sing;Gender=Fem;Case=Cmp		iroyent		fin
finir	finisse	frm-conj-ir	VERB	Number=Plur;Gender=Fem;Case=Cmp		isse		fin
finir	finisses	frm-conj-ir	VERB	Number=Sing;Gender=Masc;Case=Cmp		isses		fin
finir	finisse	frm-conj-ir	VERB	Number=Plur;Gender=Masc;Case=Cmp		isse		fin
finir	finissions	frm-conj-ir	VERB	Number=Sing;Gender=Fem;Case=Cmp		issions		fin
finir	finissiez	frm-conj-ir	VERB	Number=Plur;Gender=Fem;Case=Cmp		issiez		fin
finir	finissent	frm-conj-ir	VERB	Number=Sing;Gender=Fem		issent		fin
finir	finisse	frm-conj-ir	VERB	Number=Sing;Gender=Fem		isse		fin
finir	finisses	frm-conj-ir	VERB	Number=Sing;Gender=Fem		isses		fin
finir	finissions	frm-conj-ir	VERB	Case=Acc;Number=Plur;Gender=Fem		issions		fin
finir	finissiez	frm-conj-ir	VERB	Case=Nom;Number=Plur;Gender=Masc		issiez		fin
finir	finis	frm-conj-ir	VERB	Case=Gen;Number=Sing;Gender=Fem		is		fin
finir	finissons	frm-conj-ir	VERB	Case=Gen;Number=Sing;Gender=Masc		issons		fin
finir	finissez	frm-conj-ir	VERB	Case=Gen;Number=Plur;Gender=Fem		issez		fin
commencer	avoir commencé	frm-conj-cer	VERB	Definite=Ind;Case=Nom;Number=Sing	avoir 	cé		commen
commencer	en commençant	frm-conj-cer	VERB	Definite=Ind;Case=Nom;Number=Plur	en 	çant		commen
commencer	commençant	frm-conj-cer	VERB	Definite=Def;Case=Nom;Number=Sing		çant		commen
commencer	commencé	frm-conj-cer	VERB	Definite=Def;Case=Nom;Number=Plur		cé		commen
commencer	commence	frm-conj-cer	VERB	Definite=Ind;Case=Dat;Number=Plur		ce		commen
commencer	commences	frm-conj-cer	VERB	Definite=Def;Case=Dat;Number=Plur		ces		commen
commencer	commence	frm-conj-cer	VERB	Definite=Ind;Case=Nom;Number=Sing		ce		commen
commencer	commençons	frm-conj-cer	VERB	Definite=Def;Case=Gen;Number=Sing		çons		commen
commencer	commencez	frm-conj-cer	VERB	Definite=Ind;Case=Gen;Number=Plur		cez		commen
commencer	commencent	frm-conj-cer	VERB	Definite=Def;Case=Gen;Number=Plur		cent		commen
fluir	avoir flui	frm-conj-ir	VERB	Case=Nom;Number=Sing;Gender=Masc;Polarity=Pos	avoir 	i		flu
fluir	en fluissant	frm-conj-ir	VERB	Case=Voc;Number=Plur;Gender=Fem;Polarity=Pos	en 	issant		flu
fluir	fluissant	frm-conj-ir	VERB	Case=Voc;Number=Plur;Gender=Fem;Polarity=Pos		issant		flu
fluir	flui	frm-conj-ir	VERB	Case=Dat;Number=Plur;Gender=Masc;Polarity=Pos		i		flu
fluir	fluis	frm-conj-ir	VERB	Case=Acc;Number=Sing;Gender=Masc;Polarity=Pos		is		flu
fluir	fluis	frm-conj-ir	VERB	Case=Acc;Number=Plur;Gender=Masc;Polarity=Pos		is		flu
fluir	fluit	frm-conj-ir	VERB	Case=Acc;Number=Sing;Gender=Fem;Polarity=Pos		it		flu
fluir	fluissons	frm-conj-ir	VERB	Case=Acc;Number=Plur;Gender=Fem;Polarity=Pos		issons		flu
fluir	fluissez	frm-conj-ir	VERB	Number=Sing;Gender=Masc;Polarity=Pos		issez		flu
fluir	fluissent	frm-conj-ir	VERB	Number=Plur;Gender=Masc;Polarity=Pos		issent		flu
fluir	fluissois	frm-conj-ir	VERB	Number=Sing;Gender=Fem;Polarity=Pos		issois		flu
fluir	fluissoys	frm-conj-ir	VERB	Number=Plur;Gender=Fem;Polarity=Pos		issoys		flu
fluir	fluissois	frm-conj-ir	VERB	Number=Sing;Gender=Masc;Polarity=Pos		issois		flu
fluir	fluissoys	frm-conj-ir	VERB	Number=Plur;Gender=Masc;Polarity=Pos		issoys		flu
fluir	fluissoit	frm-conj-ir	VERB	Number=Sing;Gender=Fem;Polarity=Pos		issoit		flu
fluir	fluissoyy	frm-conj-ir	VERB	Number=Plur;Gender=Fem;Polarity=Pos		issoyy		flu
fluir	fluissions	frm-conj-ir	VERB	Case=Nom;Number=Sing;Gender=Masc;Polarity=Pos		issions		flu
fluir	fluissiez	frm-conj-ir	VERB	Case=Nom;Number=Plur;Gender=Masc;Polarity=Pos		issiez		flu
fluir	fluissoient	frm-conj-ir	VERB	Case=Nom;Number=Sing;Gender=Fem;Polarity=Pos		issoient		flu
fluir	fluissoyent	frm-conj-ir	VERB	Case=Voc;Number=Plur;Gender=Fem;Polarity=Pos		issoyent		flu
fluir	fluistes	frm-conj-ir	VERB	Case=Nom;Number=Sing;Gender=Masc;Case=Cmp		istes		flu
fluir	fluirent	frm-conj-ir	VERB	Case=Nom;Number=Plur;Gender=Masc;Case=Cmp		irent		flu
fluir	fluirai	frm-conj-ir	VERB	Case=Nom;Number=Sing;Gender=Fem;Case=Cmp		irai		flu
fluir	fluiray	frm-conj-ir	VERB	Case=Gen;Number=Sing;Gender=Fem;Case=Cmp		iray		flu
fluir	fluiras	frm-conj-ir	VERB	Case=Gen;Number=Sing;Gender=Masc;Case=Cmp		iras		flu
fluir	fluira	frm-conj-ir	VERB	Case=Gen;Number=Plur;Gender=Fem;Case=Cmp		ira		flu
fluir	fluirons	frm-conj-ir	VERB	Case=Gen;Number=Sing;Gender=Fem;Case=Cmp		irons		flu
fluir	fluiront	frm-conj-ir	VERB	Case=Dat;Number=Sing;Gender=Masc;Case=Cmp		iront		flu
fluir	fluirois	frm-conj-ir	VERB	Case=Dat;Number=Plur;Gender=Masc;Case=Cmp		irois		flu
fluir	fluiroys	frm-conj-ir	VERB	Case=Dat;Number=Sing;Gender=Fem;Case=Cmp		iroys		flu
