Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
cat	cat	ga-decl-m1	NOUN	Case=Gen;Number=Plur				cat
cat	cait	ga-decl-m1	NOUN	Case=Gen;Number=Sing				cait
cat	a cait	ga-decl-m1	NOUN	Case=Voc;Number=Sing	a 			
cat	a cata	ga-decl-m1	NOUN	Case=Voc;Number=Plur	a 	a		cat
ab	ab	ga-decl-m3	NOUN	Case=Dat;Number=Sing				ab
ab	aba	ga-decl-m3	NOUN	Case=Gen;Number=Sing				aba
ab	a ab	ga-decl-m3	NOUN	Case=Voc;Number=Sing	a 			
port	port	ga-decl-m1	NOUN	Case=Gen;Number=Plur				port
port	poirt	ga-decl-m1	NOUN	Case=Gen;Number=Sing				poirt
port	a poirt	ga-decl-m1	NOUN	Case=Voc;Number=Sing	a 			
port	a porta	ga-decl-m1	NOUN	Case=Voc;Number=Plur	a 	a		port
os	os	ga-decl-m1	NOUN	Case=Gen;Number=Plur				os
os	ois	ga-decl-m1	NOUN	Case=Gen;Number=Sing				ois
os	a ois	ga-decl-m1	NOUN	Case=Voc;Number=Sing	a 			
os	a osa	ga-decl-m1	NOUN	Case=Voc;Number=Plur	a 	a		os
gas	gas	ga-decl-m1	NOUN	Case=Gen;Number=Plur				gas
gas	gais	ga-decl-m1	NOUN	Case=Gen;Number=Sing				gais
gas	a gais	ga-decl-m1	NOUN	Case=Voc;Number=Sing	a 			
gas	a gasa	ga-decl-m1	NOUN	Case=Voc;Number=Plur	a 	a		gas
angla	angla	ga-decl-m3-nopl	NOUN	Case=Dat;Number=Sing				angla
angla	a angla	ga-decl-m3-nopl	NOUN	Case=Voc;Number=Sing	a 			
angla	a	ga-decl-m3-nopl	NOUN	Case=Gen;Number=Sing				a
eo	eo	ga-decl-m4-nopl	NOUN	Case=Gen;Number=Sing				eo
Burma	Burma	ga-decl-m4-nopl	NOUN	Case=Gen;Number=Sing				Burma
banana	banana	ga-decl-m4	NOUN	Case=Gen;Number=Sing				banana
banana	bananaí	ga-decl-m4	NOUN	Case=Gen;Number=Plur				bananaí
dollar	dollar	ga-decl-m1	NOUN	Case=Gen;Number=Plur				dollar
dollar	dollair	ga-decl-m1	NOUN	Case=Gen;Number=Sing				dollair
dollar	a dollair	ga-decl-m1	NOUN	Case=Voc;Number=Sing	a 			
dollar	a dollara	ga-decl-m1	NOUN	Case=Voc;Number=Plur	a 	a		dollar
dual	dual	ga-decl-m1	NOUN	Case=Gen;Number=Plur				dual
dual	duail	ga-decl-m1	NOUN	Case=Gen;Number=Sing				duail
dual	a duail	ga-decl-m1	NOUN	Case=Voc;Number=Sing	a 			
dual	a duala	ga-decl-m1	NOUN	Case=Voc;Number=Plur	a 	a		dual
pit	pit	ga-decl-f2	NOUN	Case=Gen;Number=Plur				pit
pit	pita	ga-decl-f2	NOUN	Case=Nom;Number=Plur		a		pit
pit	pite	ga-decl-f2	NOUN	Case=Gen;Number=Sing				pite
pit	pit	ga-decl-f2	NOUN	Case=Dat;Number=Sing				pit
pit	a pit	ga-decl-f2	NOUN	Case=Voc;Number=Sing	a 			
at	at	ga-decl-m1	NOUN	Case=Gen;Number=Plur				at
at	ait	ga-decl-m1	NOUN	Case=Gen;Number=Sing				ait
at	a ait	ga-decl-m1	NOUN	Case=Voc;Number=Sing	a 			
at	a ata	ga-decl-m1	NOUN	Case=Voc;Number=Plur	a 	a		at
alpaca	alpaca	ga-decl-m4	NOUN	Case=Gen;Number=Sing				alpaca
alpaca	alpacaí	ga-decl-m4	NOUN	Case=Gen;Number=Plur				alpacaí
mill	mill	ga-decl-f2	NOUN	Case=Gen;Number=Plur				mill
mill	milla	ga-decl-f2	NOUN	Case=Nom;Number=Plur		a		mill
mill	mille	ga-decl-f2	NOUN	Case=Gen;Number=Sing				mille
mill	mill	ga-decl-f2	NOUN	Case=Dat;Number=Sing				mill
mill	a mill	ga-decl-f2	NOUN	Case=Voc;Number=Sing	a 			
arm	arm	ga-decl-m1	NOUN	Case=Gen;Number=Plur				arm
