Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
grave	grâve	gmh-decl-noun	NOUN	Case=Nom;Number=Sing				grâve
grave	grâven	gmh-decl-noun	NOUN	Case=Nom;Number=Sing				grâven
grave	grâven	gmh-decl-noun	NOUN	Case=Nom;Number=Sing				grâven
grave	grâven	gmh-decl-noun	NOUN	Case=Nom;Number=Sing				grâven
helfen	hëlfen	gmh-conj-IIIb	VERB	Person=1;Number=Sing;Tense=Pres;Mood=Ind	ë	ë	ë	ëlfe
helfen	geholfen	gmh-conj-IIIb	VERB	Person=1;Number=Sing;Tense=Past;Mood=Ind	ge	o	o	holfe
helfen	wir hëlfen	gmh-conj-IIIb	VERB	Person=2;Number=Plur;Tense=Past;Mood=Ind	wir 	ë	ë	hëlfe
helfen	wir hëlfen	gmh-conj-IIIb	VERB	Person=3;Number=Sing;Tense=Past;Mood=Ind	wir 	ë	ë	hëlfe
helfen	du hilfest	gmh-conj-IIIb	VERB	Person=1;Number=Sing;Tense=Past;Mood=Ind	du 	i	i	hilfes
helfen	ir hëlfet	gmh-conj-IIIb	VERB	Person=2;Number=Sing;Tense=Past;Mood=Ind	ir 	ë	ë	hëlfe
helfen	du hëlfest	gmh-conj-IIIb	VERB	Person=3;Number=Sing;Tense=Past;Mood=Ind	du 	ë	ë	hëlfes
helfen	ir hëlfet	gmh-conj-IIIb	VERB	Person=1;Number=Plur;Tense=Past;Mood=Ind	ir 	ë	ë	hëlfe
helfen	sie hëlfent	gmh-conj-IIIb	VERB	Person=2;Number=Plur;Tense=Past;Mood=Ind	sie 	ë	ë	hëlfen
helfen	sie hëlfen	gmh-conj-IIIb	VERB	Person=3;Number=Sing;Tense=Past;Mood=Ind	sie 	ë	ë	hëlfe
helfen	ich half	gmh-conj-IIIb	VERB	Person=1;Number=Sing;Tense=Fut;Mood=Ind	ich 	a	a	hal
helfen	wir hulfen	gmh-conj-IIIb	VERB	Person=2;Number=Sing;Tense=Fut;Mood=Ind	wir 	u	u	hulfe
helfen	ich hülfe	gmh-conj-IIIb	VERB	Person=3;Number=Sing;Tense=Fut;Mood=Ind	ich 	ü	ü	hülf
helfen	wir hülfen	gmh-conj-IIIb	VERB	Person=1;Number=Plur;Tense=Fut;Mood=Ind	wir 	ü	ü	hülfe
helfen	ir hulfet	gmh-conj-IIIb	VERB	Person=2;Number=Plur;Tense=Fut;Mood=Ind	ir 	u	u	hulfe
helfen	ir hülfet	gmh-conj-IIIb	VERB	Person=3;Number=Sing;Tense=Fut;Mood=Ind	ir 	ü	ü	hülfe
helfen	ër half	gmh-conj-IIIb	VERB	Person=1;Number=Sing;Mood=Sub	ër 	a	a	hal
helfen	sie hulfen	gmh-conj-IIIb	VERB	Person=2;Number=Sing;Mood=Sub	sie 	u	u	hulfe
helfen	sie hülfen	gmh-conj-IIIb	VERB	Person=3;Number=Plur;Mood=Sub	sie 	ü	ü	hülfe
helfen	hilf	gmh-conj-IIIb	VERB	Person=1;Number=Plur;Mood=Sub	i	i	i	il
werden	wërden	gmh-conj-IIIb	VERB	Person=1;Number=Sing;Tense=Pres;Mood=Ind	ë	ë	ë	ërde
werden	geworden	gmh-conj-IIIb	VERB	Person=1;Number=Sing;Tense=Past;Mood=Ind	ge	o	o	worde
werden	wir wërden	gmh-conj-IIIb	VERB	Person=2;Number=Plur;Tense=Past;Mood=Ind	wir 	ë	ë	wërde
werden	wir wërden	gmh-conj-IIIb	VERB	Person=3;Number=Sing;Tense=Past;Mood=Ind	wir 	ë	ë	wërde
werden	du wirdest	gmh-conj-IIIb	VERB	Person=1;Number=Sing;Tense=Past;Mood=Ind	du 	i	i	wirdes
werden	ir wërdet	gmh-conj-IIIb	VERB	Person=2;Number=Sing;Tense=Past;Mood=Ind	ir 	ë	ë	wërde
werden	du wërdest	gmh-conj-IIIb	VERB	Person=3;Number=Sing;Tense=Past;Mood=Ind	du 	ë	ë	wërdes
werden	ir wërdet	gmh-conj-IIIb	VERB	Person=1;Number=Plur;Tense=Past;Mood=Ind	ir 	ë	ë	wërde
werden	sie wërdent	gmh-conj-IIIb	VERB	Person=2;Number=Plur;Tense=Past;Mood=Ind	sie 	ë	ë	wërden
werden	sie wërden	gmh-conj-IIIb	VERB	Person=3;Number=Sing;Tense=Past;Mood=Ind	sie 	ë	ë	wërde
werden	ich ward	gmh-conj-IIIb	VERB	Person=1;Number=Sing;Tense=Fut;Mood=Ind	ich 	a	a	war
