Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
𐌼𐌰𐌸𐌰	𐌼𐌰𐌸𐌰	got-decl-noun-an-m	NOUN	Number=Sing;Definite=Ind		𐌰		𐌼𐌰𐌸
𐌼𐌰𐌸𐌰	𐌼𐌰𐌸a	got-decl-noun-an-m	NOUN	Number=Plur;Case=Voc		a		𐌼𐌰𐌸
𐌼𐌰𐌸𐌰	𐌼𐌰𐌸𐌰𐌽𐍃	got-decl-noun-an-m	NOUN	Number=Sing;Definite=Def		𐌰𐌽𐍃		𐌼𐌰𐌸
𐌼𐌰𐌸𐌰	𐌼𐌰𐌸ans	got-decl-noun-an-m	NOUN	Number=Plur;Definite=Def		ans		𐌼𐌰𐌸
𐌼𐌰𐌸𐌰	𐌼𐌰𐌸𐌰	got-decl-noun-an-m	NOUN	Number=Sing;Definite=Def		𐌰		𐌼𐌰𐌸
𐌼𐌰𐌸𐌰	𐌼𐌰𐌸a	got-decl-noun-an-m	NOUN	Number=Plur;Definite=Def		a		𐌼𐌰𐌸
𐌼𐌰𐌸𐌰	𐌼𐌰𐌸𐌰𐌽	got-decl-noun-an-m	NOUN	Number=Sing;Case=Voc		𐌰𐌽		𐌼𐌰𐌸
𐌼𐌰𐌸𐌰	𐌼𐌰𐌸an	got-decl-noun-an-m	NOUN	Number=Plur;Case=Voc		an		𐌼𐌰𐌸
𐌷𐌿𐌽𐌳𐍃	𐌷𐌿𐌽𐌳𐍉𐍃	got-decl-noun-a-m	NOUN	Voice=Act;Tense=Pres;Polarity=Pos;Mood=Ind;Person=1;Number=Sing		𐍉𐍃		𐌷𐌿𐌽𐌳
𐌷𐌿𐌽𐌳𐍃	𐌷𐌿𐌽𐌳ōs	got-decl-noun-a-m	NOUN	Voice=Act;Tense=Pres;Polarity=Neg;Mood=Ind;Person=1;Number=Sing		ōs		𐌷𐌿𐌽𐌳
𐌷𐌿𐌽𐌳𐍃	𐌷𐌿𐌽𐌳𐍉𐍃	got-decl-noun-a-m	NOUN	Voice=Act;Tense=Pres;Polarity=Pos;Mood=Ind;Person=2;Number=Sing		𐍉𐍃		𐌷𐌿𐌽𐌳
𐌷𐌿𐌽𐌳𐍃	𐌷𐌿𐌽𐌳ōs	got-decl-noun-a-m	NOUN	Voice=Act;Tense=Pres;Polarity=Neg;Mood=Ind;Person=2;Number=Sing		ōs		𐌷𐌿𐌽𐌳
𐌷𐌿𐌽𐌳𐍃	𐌷𐌿𐌽𐌳	got-decl-noun-a-m	NOUN	Voice=Act;Tense=Pres;Polarity=Pos;Mood=Ind;Person=3;Number=Sing				𐌷𐌿𐌽𐌳
𐌷𐌿𐌽𐌳𐍃	𐌷𐌿𐌽𐌳𐌰𐌽𐍃	got-decl-noun-a-m	NOUN	Voice=Act;Tense=Pres;Polarity=Pos;Mood=Ind;Person=3;Number=Sing		𐌰𐌽𐍃		𐌷𐌿𐌽𐌳
𐌷𐌿𐌽𐌳𐍃	𐌷𐌿𐌽𐌳ans	got-decl-noun-a-m	NOUN	Voice=Act;Tense=Pres;Polarity=Neg;Mood=Ind;Person=3;Number=Sing		ans		𐌷𐌿𐌽𐌳
𐌷𐌿𐌽𐌳𐍃	𐌷𐌿𐌽𐌳𐌴	got-decl-noun-a-m	NOUN	Voice=Act;Tense=Pres;Polarity=Pos;Mood=Ind;Person=1;Number=Plur		𐌴		𐌷𐌿𐌽𐌳
𐌷𐌿𐌽𐌳𐍃	𐌷𐌿𐌽𐌳ē	got-decl-noun-a-m	NOUN	Voice=Act;Tense=Pres;Polarity=Neg;Mood=Ind;Person=1;Number=Plur		ē		𐌷𐌿𐌽𐌳
𐌷𐌿𐌽𐌳𐍃	𐌷𐌿𐌽𐌳𐌰𐌼	got-decl-noun-a-m	NOUN	Voice=Act;Tense=Pres;Polarity=Pos;Mood=Ind;Person=2;Number=Plur		𐌰𐌼		𐌷𐌿𐌽𐌳
