Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
καθαρίζω	κᾰθᾰρῐζω	grc-conj-ίζω	VERB	Case=Voc;Number=Sing		ῐ		κᾰθᾰρῐζ
καθαρίζω	κᾰθᾰρῐζεις	grc-conj-ίζω	VERB	Number=Plur;Definite=Def		ῐ		κᾰθᾰρῐζει
καθαρίζω	κᾰθᾰρῐζῃ	grc-conj-ίζω	VERB	Case=Voc;Number=Sing		ῐ		κᾰθᾰρῐζ
διαλογίζομαι	δῐᾰλογῐζω	grc-conj-ίζω	VERB	Case=Voc;Number=Sing		ῐ		δῐᾰλογῐζ
διαλογίζομαι	δῐᾰλογῐζεις	grc-conj-ίζω	VERB	Number=Plur;Definite=Def		ῐ		δῐᾰλογῐζει
διαλογίζομαι	δῐᾰλογῐζῃ	grc-conj-ίζω	VERB	Case=Voc;Number=Sing		ῐ		δῐᾰλογῐζ
λογίζομαι	λογῐζω	grc-conj-ίζω	VERB	Case=Voc;Number=Sing		ῐ		λογῐζ
λογίζομαι	λογῐζεις	grc-conj-ίζω	VERB	Number=Plur;Definite=Def		ῐ		λογῐζει
λογίζομαι	λογῐζῃ	grc-conj-ίζω	VERB	Case=Voc;Number=Sing		ῐ		λογῐζ
ψηφίζω	ψηφῐζω	grc-conj-ίζω	VERB	Case=Voc;Number=Sing		ῐ		ψηφῐζ
ψηφίζω	ψηφῐζεις	grc-conj-ίζω	VERB	Number=Plur;Definite=Def		ῐ		ψηφῐζει
ψηφίζω	ψηφῐζῃ	grc-conj-ίζω	VERB	Case=Voc;Number=Sing		ῐ		ψηφῐζ
Σάϊς	Σάϊς	grc-decl-3rd-weak-ι-prx-diae	NOUN	VerbForm=Inf		ϊς		Σά
Σάϊς	Σάεων	grc-decl-3rd-weak-ι-prx-diae	NOUN	Tense=Pres		εων		Σά
Σάϊς	Σάει	grc-decl-3rd-weak-ι-prx-diae	NOUN	Tense=Past		ει		Σά
φενακίζω	φενᾱκῐζω	grc-conj-ίζω	VERB	Case=Voc;Number=Sing		ῐ		φενᾱκῐζ
φενακίζω	φενᾱκῐζεις	grc-conj-ίζω	VERB	Number=Plur;Definite=Def		ῐ		φενᾱκῐζει
φενακίζω	φενᾱκῐζῃ	grc-conj-ίζω	VERB	Case=Voc;Number=Sing		ῐ		φενᾱκῐζ
ἐξαφανίζω	ἐξαφανῐζω	grc-conj-ίζω	VERB	Case=Voc;Number=Sing		ῐ		ἐξαφανῐζ
ἐξαφανίζω	ἐξαφανῐζεις	grc-conj-ίζω	VERB	Number=Plur;Definite=Def		ῐ		ἐξαφανῐζει
ἐξαφανίζω	ἐξαφανῐζῃ	grc-conj-ίζω	VERB	Case=Voc;Number=Sing		ῐ		ἐξαφανῐζ
συγχρονίζω	σῠγχρονῐζω	grc-conj-ίζω	VERB	Case=Voc;Number=Sing		ῐ		σῠγχρονῐζ
συγχρονίζω	σῠγχρονῐζεις	grc-conj-ίζω	VERB	Number=Plur;Definite=Def		ῐ		σῠγχρονῐζει
