Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
आना	आए	hi-conj-v	VERB	AUX;Gender=Masc;Number=Plur;Aspect=Perf		ए		आ
उतरना	उतर	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				उतर
उतरना	उतर	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				उतर
कहना	कह	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				कह
कहना	कह	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				कह
रहना	रह	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				रह
रहना	रह	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				रह
उगना	उग	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				उग
उगना	उग	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				उग
गरजना	गरज	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				गरज
गरजना	गरज	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				गरज
चमकना	चमक	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				चमक
चमकना	चमक	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				चमक
उठना	उठ	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				उठ
उठना	उठ	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				उठ
भरना	भर	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				भर
भरना	भर	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				भर
चलना	चल	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				चल
चलना	चल	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				चल
समझना	समझ	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				समझ
समझना	समझ	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				समझ
मरना	मर	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				मर
मरना	मर	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				मर
जलना	जल	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				जल
जलना	जल	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				जल
लगना	लग	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				लग
लगना	लग	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				लग
घटना	घट	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				घट
घटना	घट	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				घट
सकना	सक	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				सक
सकना	सक	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				सक
सहमना	सहम	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				सहम
सहमना	सहम	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				सहम
डरना	डर	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				डर
डरना	डर	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				डर
बचना	बच	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				बच
बचना	बच	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				बच
जगना	जग	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				जग
जगना	जग	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				जग
बहना	बह	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				बह
बहना	बह	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				बह
बकना	बक	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				बक
बकना	बक	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				बक
चरना	चर	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				चर
चरना	चर	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				चर
रसना	रस	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				रस
रसना	रस	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				रस
रखना	रख	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				रख
रखना	रख	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				रख
जमना	जम	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				जम
जमना	जम	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				जम
पकना	पकए	hi-conj-v	VERB	AUX;Gender=Masc;Number=Plur;Aspect=Perf		ए		पक
ठगना	ठग	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				ठग
ठगना	ठग	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				ठग
रचना	रच	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				रच
रचना	रच	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				रच
बनना	बन	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				बन
बनना	बन	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				बन
उबलना	उबल	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				उबल
उबलना	उबल	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				उबल
बरसना	बरस	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				बरस
बरसना	बरस	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				बरस
अटकना	अटक	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				अटक
अटकना	अटक	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				अटक
कसना	कस	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				कस
कसना	कस	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				कस
हटना	हट	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				हट
हटना	हट	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				हट
टपकना	टपक	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				टपक
टपकना	टपक	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				टपक
तरसना	तरस	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				तरस
तरसना	तरस	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				तरस
हगना	हग	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				हग
हगना	हग	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				हग
जपना	जप	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				जप
जपना	जप	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				जप
पटना	पट	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				पट
पटना	पट	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				पट
उछलना	उछल	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				उछल
उछलना	उछल	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				उछल
लटकना	लटक	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				लटक
लटकना	लटक	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				लटक
फटना	फट	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				फट
फटना	फट	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				फट
पहनना	पहन	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				पहन
पहनना	पहन	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				पहन
पलटना	पलट	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				पलट
पलटना	पलट	hi-conj	VERB	Person=2;Number=Sing;Mood=Jus;Polite=Infm				पलट
