Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
մուկ	մկներ	hy-noun-ան-եր	NOUN	Case=Nom;Number=Plur		ներ		մկ
մուկ	մկան	hy-noun-ան-եր	NOUN	Case=Dat;Number=Sing		ան		մկ
մուկ	մկների	hy-noun-ան-եր	NOUN	Case=Dat;Number=Plur		ների		մկ
մուկ	մկներից	hy-noun-ան-եր	NOUN	Number=Plur		ներից		մկ
մուկ	մկներով	hy-noun-ան-եր	NOUN	Number=Plur		ներով		մկ
մուկ	մկներում	hy-noun-ան-եր	NOUN	Number=Plur		ներում		մկ
մուկ	մկները	hy-noun-ան-եր	NOUN	Case=Nom;Number=Plur;Definite=Def		ները		մկ
մուկ	մկանը	hy-noun-ան-եր	NOUN	Case=Dat;Number=Sing;Definite=Def		անը		մկ
մուկ	մկներին	hy-noun-ան-եր	NOUN	Case=Dat;Number=Plur;Definite=Def		ներին		մկ
մուկ	մկներս	hy-noun-ան-եր	NOUN	Case=Nom;Number=Plur		ներս		մկ
մուկ	մկանս	hy-noun-ան-եր	NOUN	Case=Dat;Number=Sing		անս		մկ
մուկ	մկներիս	hy-noun-ան-եր	NOUN	Case=Dat;Number=Plur		ներիս		մկ
մուկ	մկներիցս	hy-noun-ան-եր	NOUN	Number=Plur		ներիցս		մկ
մուկ	մկներովս	hy-noun-ան-եր	NOUN	Number=Plur		ներովս		մկ
մուկ	մկներումս	hy-noun-ան-եր	NOUN	Number=Plur		ներումս		մկ
մուկ	մկներդ	hy-noun-ան-եր	NOUN	Case=Nom;Number=Plur		ներդ		մկ
մուկ	մկանդ	hy-noun-ան-եր	NOUN	Case=Dat;Number=Sing		անդ		մկ
մուկ	մկներիդ	hy-noun-ան-եր	NOUN	Case=Dat;Number=Plur		ներիդ		մկ
մուկ	մկներիցդ	hy-noun-ան-եր	NOUN	Number=Plur		ներիցդ		մկ
մուկ	մկներովդ	hy-noun-ան-եր	NOUN	Number=Plur		ներովդ		մկ
մուկ	մկներումդ	hy-noun-ան-եր	NOUN	Number=Plur		ներումդ		մկ
մուկ	մկներից	hy-noun-ան-եր	NOUN	Case=Abl;Number=Plur		ներից		մկ
մուկ	մկներով	hy-noun-ան-եր	NOUN	Case=Ins;Number=Plur		ներով		մկ
մուկ	մկներիցս	hy-noun-ան-եր	NOUN	Case=Abl;Number=Plur		ներիցս		մկ
մուկ	մկներովս	hy-noun-ան-եր	NOUN	Case=Ins;Number=Plur		ներովս		մկ
մուկ	մկներիցդ	hy-noun-ան-եր	NOUN	Case=Abl;Number=Plur		ներիցդ		մկ
մուկ	մկներովդ	hy-noun-ան-եր	NOUN	Case=Ins;Number=Plur		ներովդ		մկ
ձուկ	ձկներ	hy-noun-ան-եր	NOUN	Case=Nom;Number=Plur		ներ		ձկ
ձուկ	ձկան	hy-noun-ան-եր	NOUN	Case=Dat;Number=Sing		ան		ձկ
ձուկ	ձկների	hy-noun-ան-եր	NOUN	Case=Dat;Number=Plur		ների		ձկ
ձուկ	ձկներից	hy-noun-ան-եր	NOUN	Number=Plur		ներից		ձկ
ձուկ	ձկներով	hy-noun-ան-եր	NOUN	Number=Plur		ներով		ձկ
ձուկ	ձկներում	hy-noun-ան-եր	NOUN	Number=Plur		ներում		ձկ
ձուկ	ձկները	hy-noun-ան-եր	NOUN	Case=Nom;Number=Plur;Definite=Def		ները		ձկ
ձուկ	ձկանը	hy-noun-ան-եր	NOUN	Case=Dat;Number=Sing;Definite=Def		անը		ձկ
ձուկ	ձկներին	hy-noun-ան-եր	NOUN	Case=Dat;Number=Plur;Definite=Def		ներին		ձկ
ձուկ	ձկներս	hy-noun-ան-եր	NOUN	Case=Nom;Number=Plur		ներս		ձկ
ձուկ	ձկանս	hy-noun-ան-եր	NOUN	Case=Dat;Number=Sing		անս		ձկ
ձուկ	ձկներիս	hy-noun-ան-եր	NOUN	Case=Dat;Number=Plur		ներիս		ձկ
ձուկ	ձկներիցս	hy-noun-ան-եր	NOUN	Number=Plur		ներիցս		ձկ
ձուկ	ձկներովս	hy-noun-ան-եր	NOUN	Number=Plur		ներովս		ձկ
ձուկ	ձկներումս	hy-noun-ան-եր	NOUN	Number=Plur		ներումս		ձկ
ձուկ	ձկներդ	hy-noun-ան-եր	NOUN	Case=Nom;Number=Plur		ներդ		ձկ
ձուկ	ձկանդ	hy-noun-ան-եր	NOUN	Case=Dat;Number=Sing		անդ		ձկ
ձուկ	ձկներիդ	hy-noun-ան-եր	NOUN	Case=Dat;Number=Plur		ներիդ		ձկ
ձուկ	ձկներիցդ	hy-noun-ան-եր	NOUN	Number=Plur		ներիցդ		ձկ
ձուկ	ձկներովդ	hy-noun-ան-եր	NOUN	Number=Plur		ներովդ		ձկ
ձուկ	ձկներումդ	hy-noun-ան-եր	NOUN	Number=Plur		ներումդ		ձկ
ձուկ	ձկներից	hy-noun-ան-եր	NOUN	Case=Abl;Number=Plur		ներից		ձկ
ձուկ	ձկներով	hy-noun-ան-եր	NOUN	Case=Ins;Number=Plur		ներով		ձկ
ձուկ	ձկներիցս	hy-noun-ան-եր	NOUN	Case=Abl;Number=Plur		ներիցս		ձկ
ձուկ	ձկներովս	hy-noun-ան-եր	NOUN	Case=Ins;Number=Plur		ներովս		ձկ
ձուկ	ձկներիցդ	hy-noun-ան-եր	NOUN	Case=Abl;Number=Plur		ներիցդ		ձկ
ձուկ	ձկներովդ	hy-noun-ան-եր	NOUN	Case=Ins;Number=Plur		ներովդ		ձկ
ծունկ	ծնկներ	hy-noun-ան-եր	NOUN	Case=Nom;Number=Plur		ներ		ծնկ
ծունկ	ծնկան	hy-noun-ան-եր	NOUN	Case=Dat;Number=Sing		ան		ծնկ
ծունկ	ծնկների	hy-noun-ան-եր	NOUN	Case=Dat;Number=Plur		ների		ծնկ
ծունկ	ծնկներից	hy-noun-ան-եր	NOUN	Number=Plur		ներից		ծնկ
ծունկ	ծնկներով	hy-noun-ան-եր	NOUN	Number=Plur		ներով		ծնկ
ծունկ	ծնկներում	hy-noun-ան-եր	NOUN	Number=Plur		ներում		ծնկ
ծունկ	ծնկները	hy-noun-ան-եր	NOUN	Case=Nom;Number=Plur;Definite=Def		ները		ծնկ
ծունկ	ծնկանը	hy-noun-ան-եր	NOUN	Case=Dat;Number=Sing;Definite=Def		անը		ծնկ
