Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
geta	etandi	is-conj-s5	VERB	Tense=Pres		andi		et
geta	et	is-conj-s5	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing				et
geta	etið	is-conj-s5	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Plur		ið		et
meta	etandi	is-conj-s5	VERB	Tense=Pres		andi		et
meta	et	is-conj-s5	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing				et
meta	etið	is-conj-s5	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Plur		ið		et
reka	ekandi	is-conj-s5	VERB	Tense=Pres		andi		ek
reka	ek	is-conj-s5	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing				ek
reka	ekið	is-conj-s5	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Plur		ið		ek
áríðandi	áríðandi	Icelandic adjectival declension indeclinable	ADJ	Definite=Ind;Case=Nom;Number=Sing				áríðandi
áríðandi	áríðandi	Icelandic adjectival declension indeclinable	ADJ	Definite=Def;Case=Nom;Number=Plur				áríðandi
áríðandi	áríðandi	Icelandic adjectival declension indeclinable	ADJ	Definite=Ind;Case=Gen;Number=Sing				áríðandi
áríðandi	áríðandi	Icelandic adjectival declension indeclinable	ADJ	Definite=Def;Case=Gen;Number=Plur				áríðandi
biðja	iðandi	is-conj-s5	VERB	Tense=Pres		andi		ið
biðja	ið	is-conj-s5	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing				ið
biðja	iðið	is-conj-s5	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Plur		ið		ið
bíða	biðið	is-conj-s1	VERB		i	i	i	iði
bíða	bíð	is-conj-s1	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing	í	í	í	í
bíða	bíðið	is-conj-s1	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Plur	í	í	í	íði
bíða	bíðandi	is-conj-s1	VERB	Tense=Pres	í	í	í	íðand
bíða	bíð	is-conj-s1	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing	í	í	í	í
bíða	bíðið	is-conj-s1	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Plur	í	í	í	íði
drepa	epandi	is-conj-s5	VERB	Tense=Pres		andi		ep
drepa	ep	is-conj-s5	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing				ep
drepa	epið	is-conj-s5	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Plur		ið		ep
fljúga	flogið	is-conj-s2	VERB		o	o	o	logi
fljúga	fljúgandi	is-conj-s2	VERB	Tense=Pres		andi		fljúg
fljúga	fljúg	is-conj-s2	VERB	Mood=Jus;Person=2;Number=Sing				fljúg
fljúga	fljúgið	is-conj-s2	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Plur		ið		fljúg
fljúga	fljúgandi	is-conj-s2	VERB	Tense=Pres		andi		fljúg
fljúga	fljúg	is-conj-s2	VERB	Mood=Jus;Person=2;Number=Sing				fljúg
fljúga	fljúgið	is-conj-s2	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Plur		ið		fljúg
frjósa	frosið	is-conj-s2	VERB		o	o	o	rosi
frjósa	frjósandi	is-conj-s2	VERB	Tense=Pres		andi		frjós
frjósa	frjós	is-conj-s2	VERB	Mood=Jus;Person=2;Number=Sing				frjós
frjósa	frjósið	is-conj-s2	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Plur		ið		frjós
frjósa	frjósandi	is-conj-s2	VERB	Tense=Pres		andi		frjós
frjósa	frjós	is-conj-s2	VERB	Mood=Jus;Person=2;Number=Sing				frjós
frjósa	frjósið	is-conj-s2	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Plur		ið		frjós
gefa	efandi	is-conj-s5	VERB	Tense=Pres		andi		ef
gefa	ef	is-conj-s5	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing				ef
gefa	efið	is-conj-s5	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Plur		ið		ef
gildandi	gildandi	Icelandic adjectival declension indeclinable	ADJ	Definite=Ind;Case=Nom;Number=Sing				gildandi
gildandi	gildandi	Icelandic adjectival declension indeclinable	ADJ	Definite=Def;Case=Nom;Number=Plur				gildandi
gildandi	gildandi	Icelandic adjectival declension indeclinable	ADJ	Definite=Ind;Case=Gen;Number=Sing				gildandi
gildandi	gildandi	Icelandic adjectival declension indeclinable	ADJ	Definite=Def;Case=Gen;Number=Plur				gildandi
lesa	esandi	is-conj-s5	VERB	Tense=Pres		andi		es
lesa	es	is-conj-s5	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing				es
lesa	esið	is-conj-s5	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Plur		ið		es
liggja	iggandi	is-conj-s5	VERB	Tense=Pres		andi		igg
liggja	igg	is-conj-s5	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing				igg
liggja	iggið	is-conj-s5	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Plur		ið		igg
líða	liðið	is-conj-s1	VERB		i	i	i	iði
líða	líð	is-conj-s1	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing	í	í	í	í
líða	líðið	is-conj-s1	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Plur	í	í	í	íði
líða	líðandi	is-conj-s1	VERB	Tense=Pres	í	í	í	íðand
