Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
luu	luu	izh-decl	NOUN	Number=Sing;Case=Nom				luu
luu	luut	izh-decl	NOUN	Number=Plur;Case=Nom				luut
luu	luun	izh-decl	NOUN	Number=Sing;Case=Gen				luun
luu	luijjen	izh-decl	NOUN	Number=Plur;Case=Gen				luijjen
luu	luuta	izh-decl	NOUN	Number=Sing;Case=Par				luuta
luu	luita	izh-decl	NOUN	Number=Plur;Case=Par				luita
luu	luuhu	izh-decl	NOUN	Number=Sing;Case=Ill				luuhu
luu	luihe	izh-decl	NOUN	Number=Plur;Case=Ill				luihe
luu	luuz	izh-decl	NOUN	Number=Sing;Case=Ine				luuz
luu	luiz	izh-decl	NOUN	Number=Plur;Case=Ine				luiz
luu	luust	izh-decl	NOUN	Number=Sing;Case=Ela				luust
luu	luist	izh-decl	NOUN	Number=Plur;Case=Ela				luist
luu	luulle	izh-decl	NOUN	Number=Sing;Case=All				luulle
luu	luille	izh-decl	NOUN	Number=Plur;Case=All				luille
luu	luul	izh-decl	NOUN	Number=Sing;Case=Ade				luul
luu	luil	izh-decl	NOUN	Number=Plur;Case=Ade				luil
luu	luult	izh-decl	NOUN	Number=Sing;Case=Abl				luult
luu	luilt	izh-decl	NOUN	Number=Plur;Case=Abl				luilt
luu	luuks	izh-decl	NOUN	Number=Sing;Case=Tra				luuks
luu	luiks	izh-decl	NOUN	Number=Plur;Case=Tra				luiks
luu	luun	izh-decl	NOUN	Number=Sing;Case=Loc				luun
luu	luin	izh-decl	NOUN	Number=Plur;Case=Gen				luin
luu	luu	izh-decl	NOUN	Number=Sing;Case=Nom				luu
luu	luut	izh-decl	NOUN	Number=Plur;Case=Nom				luut
luu	luun	izh-decl	NOUN	Number=Sing;Case=Gen				luun
luu	luijjen	izh-decl	NOUN	Number=Plur;Case=Gen				luijjen
luu	luuta	izh-decl	NOUN	Number=Sing;Case=Par				luuta
luu	luita	izh-decl	NOUN	Number=Plur;Case=Par				luita
luu	luuhu	izh-decl	NOUN	Number=Sing;Case=Ill				luuhu
luu	luihe	izh-decl	NOUN	Number=Plur;Case=Ill				luihe
luu	luuz	izh-decl	NOUN	Number=Sing;Case=Ine				luuz
luu	luiz	izh-decl	NOUN	Number=Plur;Case=Ine				luiz
luu	luust	izh-decl	NOUN	Number=Sing;Case=Ela				luust
luu	luist	izh-decl	NOUN	Number=Plur;Case=Ela				luist
luu	luulle	izh-decl	NOUN	Number=Sing;Case=All				luulle
luu	luille	izh-decl	NOUN	Number=Plur;Case=All				luille
luu	luul	izh-decl	NOUN	Number=Sing;Case=Ade				luul
luu	luil	izh-decl	NOUN	Number=Plur;Case=Ade				luil
luu	luult	izh-decl	NOUN	Number=Sing;Case=Abl				luult
luu	luilt	izh-decl	NOUN	Number=Plur;Case=Abl				luilt
luu	luuks	izh-decl	NOUN	Number=Sing;Case=Tra				luuks
luu	luiks	izh-decl	NOUN	Number=Plur;Case=Tra				luiks
luu	luun	izh-decl	NOUN	Number=Sing;Case=Loc				luun
luu	luin	izh-decl	NOUN	Number=Plur;Case=Gen				luin
luu	luu	izh-decl	NOUN	Number=Sing;Case=Nom				luu
luu	luut	izh-decl	NOUN	Number=Plur;Case=Nom				luut
luu	luu	izh-decl	NOUN	Number=Sing;Case=Nom				luu
luu	luut	izh-decl	NOUN	Number=Plur;Case=Nom				luut
luu	luun	izh-decl	NOUN	Number=Sing;Case=Gen				luun
luu	luijjen	izh-decl	NOUN	Number=Plur;Case=Gen				luijjen
luu	luuta	izh-decl	NOUN	Number=Sing;Case=Par				luuta
luu	luita	izh-decl	NOUN	Number=Plur;Case=Par				luita
luu	luuhu	izh-decl	NOUN	Number=Sing;Case=Ill				luuhu
luu	luihe	izh-decl	NOUN	Number=Plur;Case=Ill				luihe
luu	luuz	izh-decl	NOUN	Number=Sing;Case=Ine				luuz
luu	luiz	izh-decl	NOUN	Number=Plur;Case=Ine				luiz
luu	luust	izh-decl	NOUN	Number=Sing;Case=Ela				luust
luu	luist	izh-decl	NOUN	Number=Plur;Case=Ela				luist
luu	luulle	izh-decl	NOUN	Number=Sing;Case=All				luulle
luu	luille	izh-decl	NOUN	Number=Plur;Case=All				luille
luu	luul	izh-decl	NOUN	Number=Sing;Case=Ade				luul
luu	luil	izh-decl	NOUN	Number=Plur;Case=Ade				luil
luu	luult	izh-decl	NOUN	Number=Sing;Case=Abl				luult
luu	luilt	izh-decl	NOUN	Number=Plur;Case=Abl				luilt
luu	luuks	izh-decl	NOUN	Number=Sing;Case=Tra				luuks
luu	luiks	izh-decl	NOUN	Number=Plur;Case=Tra				luiks
luu	luun	izh-decl	NOUN	Number=Sing;Case=Loc				luun
luu	luin	izh-decl	NOUN	Number=Plur;Case=Gen				luin
