Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
ini	ini	kl-decl	NOUN	Number=Sing;Case=Abs				ini
ini	init	kl-decl	NOUN	Number=Plur;Case=Erg				init
ini	inip	kl-decl	NOUN	Number=Sing;Case=Erg				inip
ini	init	kl-decl	NOUN	Number=Plur;Case=Erg				init
ini	inimut	kl-decl	NOUN	Number=Sing				inimut
ini	ininut	kl-decl	NOUN	Number=Plur				ininut
ini	inimit	kl-decl	NOUN	Number=Sing				inimit
ini	ininiit	kl-decl	NOUN	Number=Plur				ininiit
ini	inikkut	kl-decl	NOUN	Number=Sing				inikkut
ini	initigut	kl-decl	NOUN	Number=Plur				initigut
ini	inimi	kl-decl	NOUN	Number=Sing				inimi
ini	inini	kl-decl	NOUN	Number=Plur				inini
ini	inimik	kl-decl	NOUN	Number=Sing;Case=Ins				inimik
ini	ininik	kl-decl	NOUN	Number=Plur;Case=Ins				ininik
ini	initut	kl-decl	NOUN	Number=Sing;Case=Equ				initut
ini	initut	kl-decl	NOUN	Number=Sing;Case=Equ				initut
panna	panna	kl-decl	NOUN	Number=Sing;Case=Abs				panna
panna	pakku	kl-decl	NOUN	Number=Plur;Case=Erg				pakku
panna	passuma	kl-decl	NOUN	Number=Sing;Case=Erg				passuma
panna	pakkua	kl-decl	NOUN	Number=Plur;Case=Erg				pakkua
panna	passumunnga	kl-decl	NOUN	Number=Sing				passumunnga
panna	pakkununnga	kl-decl	NOUN	Number=Plur				pakkununnga
panna	passumannga	kl-decl	NOUN	Number=Sing				passumannga
panna	pakkunannga	kl-decl	NOUN	Number=Plur				pakkunannga
panna	passumuuna	kl-decl	NOUN	Number=Sing				passumuuna
panna	pakkunuuna	kl-decl	NOUN	Number=Plur				pakkunuuna
panna	passumani	kl-decl	NOUN	Number=Sing				passumani
panna	pakkunani	kl-decl	NOUN	Number=Plur				pakkunani
panna	passuminnga	kl-decl	NOUN	Number=Sing;Case=Ins				passuminnga
panna	pakkuninnga	kl-decl	NOUN	Number=Plur;Case=Ins				pakkuninnga
panna	passumatut	kl-decl	NOUN	Number=Sing;Case=Equ				passumatut
panna	pakkunatut	kl-decl	NOUN	Number=Sing;Case=Equ				pakkunatut
una	una	kl-decl	NOUN	Number=Sing;Case=Abs				una
una	uku	kl-decl	NOUN	Number=Plur;Case=Erg				uku
una	uuma	kl-decl	NOUN	Number=Sing;Case=Erg				uuma
una	ukua	kl-decl	NOUN	Number=Plur;Case=Erg				ukua
una	uumunnga	kl-decl	NOUN	Number=Sing				uumunnga
una	ukununnga	kl-decl	NOUN	Number=Plur				ukununnga
una	uumannga	kl-decl	NOUN	Number=Sing				uumannga
una	ukunannga	kl-decl	NOUN	Number=Plur				ukunannga
una	uumuuna	kl-decl	NOUN	Number=Sing				uumuuna
una	ukunuuna	kl-decl	NOUN	Number=Plur				ukunuuna
una	uumani	kl-decl	NOUN	Number=Sing				uumani
una	ukunani	kl-decl	NOUN	Number=Plur				ukunani
una	uuminnga	kl-decl	NOUN	Number=Sing;Case=Ins				uuminnga
una	ukuninnga	kl-decl	NOUN	Number=Plur;Case=Ins				ukuninnga
una	uumatut	kl-decl	NOUN	Number=Sing;Case=Equ				uumatut
una	ukunatut	kl-decl	NOUN	Number=Sing;Case=Equ				ukunatut
ataata	ataata	kl-decl	NOUN	Number=Sing;Case=Abs				ataata
ataata	ataatat	kl-decl	NOUN	Number=Plur;Case=Erg				ataatat
ataata	ataatap	kl-decl	NOUN	Number=Sing;Case=Erg				ataatap
ataata	ataatat	kl-decl	NOUN	Number=Plur;Case=Erg				ataatat
ataata	ataatamut	kl-decl	NOUN	Number=Sing				ataatamut
ataata	ataatanut	kl-decl	NOUN	Number=Plur				ataatanut
ataata	ataatamit	kl-decl	NOUN	Number=Sing				ataatamit
ataata	ataataniit	kl-decl	NOUN	Number=Plur				ataataniit
ataata	ataatakkut	kl-decl	NOUN	Number=Sing				ataatakkut
ataata	ataatatigut	kl-decl	NOUN	Number=Plur				ataatatigut
ataata	ataatami	kl-decl	NOUN	Number=Sing				ataatami
ataata	ataatani	kl-decl	NOUN	Number=Plur				ataatani
ataata	ataatamik	kl-decl	NOUN	Number=Sing;Case=Ins				ataatamik
