Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
гитара	гитара	kk-decl-noun	NOUN	Case=Nom;Number=Sing				гитара
гитара	гитараның	kk-decl-noun	NOUN	Case=Gen;Number=Sing				гитараның
гитара	гитараға	kk-decl-noun	NOUN	Case=Dat;Number=Sing				гитараға
гитара	гитараны	kk-decl-noun	NOUN	Case=Acc;Number=Sing				гитараны
гитара	гитарада	kk-decl-noun	NOUN	Number=Sing				гитарада
гитара	гитарадан	kk-decl-noun	NOUN	Number=Sing				гитарадан
гитара	гитарамен	kk-decl-noun	NOUN	Number=Sing				гитарамен
республика	республика	kk-decl-noun	NOUN	Case=Nom;Number=Sing				республика
республика	республиканың	kk-decl-noun	NOUN	Case=Gen;Number=Sing				республиканың
республика	республикаға	kk-decl-noun	NOUN	Case=Dat;Number=Sing				республикаға
республика	республиканы	kk-decl-noun	NOUN	Case=Acc;Number=Sing				республиканы
республика	республикада	kk-decl-noun	NOUN	Number=Sing				республикада
республика	республикадан	kk-decl-noun	NOUN	Number=Sing				республикадан
республика	республикамен	kk-decl-noun	NOUN	Number=Sing				республикамен
грамматика	грамматика	kk-decl-noun	NOUN	Case=Nom;Number=Sing				грамматика
грамматика	грамматиканың	kk-decl-noun	NOUN	Case=Gen;Number=Sing				грамматиканың
грамматика	грамматикаға	kk-decl-noun	NOUN	Case=Dat;Number=Sing				грамматикаға
грамматика	грамматиканы	kk-decl-noun	NOUN	Case=Acc;Number=Sing				грамматиканы
грамматика	грамматикада	kk-decl-noun	NOUN	Number=Sing				грамматикада
грамматика	грамматикадан	kk-decl-noun	NOUN	Number=Sing				грамматикадан
грамматика	грамматикамен	kk-decl-noun	NOUN	Number=Sing				грамматикамен
автономия	автономия	kk-decl-noun	NOUN	Case=Nom;Number=Sing				автономия
автономия	автономияның	kk-decl-noun	NOUN	Case=Gen;Number=Sing				автономияның
автономия	автономияға	kk-decl-noun	NOUN	Case=Dat;Number=Sing				автономияға
автономия	автономияды	kk-decl-noun	NOUN	Case=Acc;Number=Sing				автономияды
автономия	автономияда	kk-decl-noun	NOUN	Number=Sing				автономияда
автономия	автономиядан	kk-decl-noun	NOUN	Number=Sing				автономиядан
автономия	автономиямен	kk-decl-noun	NOUN	Number=Sing				автономиямен
акула	акула	kk-decl-noun	NOUN	Case=Nom;Number=Sing				акула
акула	акуланың	kk-decl-noun	NOUN	Case=Gen;Number=Sing				акуланың
акула	акулаға	kk-decl-noun	NOUN	Case=Dat;Number=Sing				акулаға
акула	акуланы	kk-decl-noun	NOUN	Case=Acc;Number=Sing				акуланы
акула	акулада	kk-decl-noun	NOUN	Number=Sing				акулада
акула	акуладан	kk-decl-noun	NOUN	Number=Sing				акуладан
акула	акуламен	kk-decl-noun	NOUN	Number=Sing				акуламен
киви	киви	kk-decl-noun	NOUN	Case=Nom;Number=Sing				киви
киви	кивинің	kk-decl-noun	NOUN	Case=Gen;Number=Sing				кивинің
киви	кивиге	kk-decl-noun	NOUN	Case=Dat;Number=Sing				кивиге
киви	кивині	kk-decl-noun	NOUN	Case=Acc;Number=Sing				кивині
киви	кивиде	kk-decl-noun	NOUN	Number=Sing				кивиде
киви	кивиден	kk-decl-noun	NOUN	Number=Sing				кивиден
киви	кивимен	kk-decl-noun	NOUN	Number=Sing				кивимен
ядро	ядро	kk-decl-noun	NOUN	Case=Nom;Number=Sing				ядро
ядро	ядроның	kk-decl-noun	NOUN	Case=Gen;Number=Sing				ядроның
ядро	ядроға	kk-decl-noun	NOUN	Case=Dat;Number=Sing				ядроға
ядро	ядроны	kk-decl-noun	NOUN	Case=Acc;Number=Sing				ядроны
ядро	ядрода	kk-decl-noun	NOUN	Number=Sing				ядрода
ядро	ядродан	kk-decl-noun	NOUN	Number=Sing				ядродан
ядро	ядромен	kk-decl-noun	NOUN	Number=Sing				ядромен
тура	тура	kk-decl-noun	NOUN	Case=Nom;Number=Sing				тура
тура	тураның	kk-decl-noun	NOUN	Case=Gen;Number=Sing				тураның
тура	тураға	kk-decl-noun	NOUN	Case=Dat;Number=Sing				тураға
тура	тураны	kk-decl-noun	NOUN	Case=Acc;Number=Sing				тураны
тура	турада	kk-decl-noun	NOUN	Number=Sing				турада
тура	турадан	kk-decl-noun	NOUN	Number=Sing				турадан
тура	турамен	kk-decl-noun	NOUN	Number=Sing				турамен
пешка	пешка	kk-decl-noun	NOUN	Case=Nom;Number=Sing				пешка
пешка	пешканың	kk-decl-noun	NOUN	Case=Gen;Number=Sing				пешканың
пешка	пешкаға	kk-decl-noun	NOUN	Case=Dat;Number=Sing				пешкаға
пешка	пешканы	kk-decl-noun	NOUN	Case=Acc;Number=Sing				пешканы
пешка	пешкада	kk-decl-noun	NOUN	Number=Sing				пешкада
пешка	пешкадан	kk-decl-noun	NOUN	Number=Sing				пешкадан
пешка	пешкамен	kk-decl-noun	NOUN	Number=Sing				пешкамен
машина	машина	kk-decl-noun	NOUN	Case=Nom;Number=Sing				машина
машина	машинаның	kk-decl-noun	NOUN	Case=Gen;Number=Sing				машинаның
машина	машинаға	kk-decl-noun	NOUN	Case=Dat;Number=Sing				машинаға
машина	машинаны	kk-decl-noun	NOUN	Case=Acc;Number=Sing				машинаны
машина	машинада	kk-decl-noun	NOUN	Number=Sing				машинада
машина	машинадан	kk-decl-noun	NOUN	Number=Sing				машинадан
машина	машинамен	kk-decl-noun	NOUN	Number=Sing				машинамен
скрипка	скрипка	kk-decl-noun	NOUN	Case=Nom;Number=Sing				скрипка
скрипка	скрипканың	kk-decl-noun	NOUN	Case=Gen;Number=Sing				скрипканың
скрипка	скрипкаға	kk-decl-noun	NOUN	Case=Dat;Number=Sing				скрипкаға
скрипка	скрипканы	kk-decl-noun	NOUN	Case=Acc;Number=Sing				скрипканы
скрипка	скрипкада	kk-decl-noun	NOUN	Number=Sing				скрипкада
скрипка	скрипкадан	kk-decl-noun	NOUN	Number=Sing				скрипкадан
скрипка	скрипкамен	kk-decl-noun	NOUN	Number=Sing				скрипкамен
амплитуда	амплитуда	kk-decl-noun	NOUN	Case=Nom;Number=Sing				амплитуда
амплитуда	амплитуданың	kk-decl-noun	NOUN	Case=Gen;Number=Sing				амплитуданың
амплитуда	амплитудаға	kk-decl-noun	NOUN	Case=Dat;Number=Sing				амплитудаға
амплитуда	амплитуданы	kk-decl-noun	NOUN	Case=Acc;Number=Sing				амплитуданы
амплитуда	амплитудада	kk-decl-noun	NOUN	Number=Sing				амплитудада
амплитуда	амплитудадан	kk-decl-noun	NOUN	Number=Sing				амплитудадан
амплитуда	амплитудамен	kk-decl-noun	NOUN	Number=Sing				амплитудамен
молекула	молекула	kk-decl-noun	NOUN	Case=Nom;Number=Sing				молекула
молекула	молекуланың	kk-decl-noun	NOUN	Case=Gen;Number=Sing				молекуланың
молекула	молекулаға	kk-decl-noun	NOUN	Case=Dat;Number=Sing				молекулаға
молекула	молекуланы	kk-decl-noun	NOUN	Case=Acc;Number=Sing				молекуланы
молекула	молекулада	kk-decl-noun	NOUN	Number=Sing				молекулада
молекула	молекуладан	kk-decl-noun	NOUN	Number=Sing				молекуладан
молекула	молекуламен	kk-decl-noun	NOUN	Number=Sing				молекуламен
парашют	парашют	kk-decl-noun	NOUN	Case=Nom;Number=Sing				парашют
парашют	парашюттің	kk-decl-noun	NOUN	Case=Gen;Number=Sing				парашюттің
парашют	парашютке	kk-decl-noun	NOUN	Case=Dat;Number=Sing				парашютке
парашют	парашютті	kk-decl-noun	NOUN	Case=Acc;Number=Sing				парашютті
парашют	парашютте	kk-decl-noun	NOUN	Number=Sing				парашютте
парашют	парашюттан	kk-decl-noun	NOUN	Number=Sing				парашюттан
парашют	парашютмен	kk-decl-noun	NOUN	Number=Sing				парашютмен
балға	балға	kk-decl-noun	NOUN	Case=Nom;Number=Sing				балға
балға	балғаның	kk-decl-noun	NOUN	Case=Gen;Number=Sing				балғаның
балға	балғаға	kk-decl-noun	NOUN	Case=Dat;Number=Sing				балғаға
балға	балғаны	kk-decl-noun	NOUN	Case=Acc;Number=Sing				балғаны
балға	балғада	kk-decl-noun	NOUN	Number=Sing				балғада
балға	балғадан	kk-decl-noun	NOUN	Number=Sing				балғадан
балға	балғамен	kk-decl-noun	NOUN	Number=Sing				балғамен
балта	балта	kk-decl-noun	NOUN	Case=Nom;Number=Sing				балта
балта	балтаның	kk-decl-noun	NOUN	Case=Gen;Number=Sing				балтаның
балта	балтаға	kk-decl-noun	NOUN	Case=Dat;Number=Sing				балтаға
балта	балтаны	kk-decl-noun	NOUN	Case=Acc;Number=Sing				балтаны
балта	балтада	kk-decl-noun	NOUN	Number=Sing				балтада
балта	балтадан	kk-decl-noun	NOUN	Number=Sing				балтадан
балта	балтамен	kk-decl-noun	NOUN	Number=Sing				балтамен
ара	ара	kk-decl-noun	NOUN	Case=Nom;Number=Sing				ара
ара	араның	kk-decl-noun	NOUN	Case=Gen;Number=Sing				араның
ара	араға	kk-decl-noun	NOUN	Case=Dat;Number=Sing				араға
ара	араны	kk-decl-noun	NOUN	Case=Acc;Number=Sing				араны
ара	арада	kk-decl-noun	NOUN	Number=Sing				арада
ара	арадан	kk-decl-noun	NOUN	Number=Sing				арадан
ара	арамен	kk-decl-noun	NOUN	Number=Sing				арамен
галактика	галактика	kk-decl-noun	NOUN	Case=Nom;Number=Sing				галактика
галактика	галактиканың	kk-decl-noun	NOUN	Case=Gen;Number=Sing				галактиканың
галактика	галактикаға	kk-decl-noun	NOUN	Case=Dat;Number=Sing				галактикаға
галактика	галактиканы	kk-decl-noun	NOUN	Case=Acc;Number=Sing				галактиканы
галактика	галактикада	kk-decl-noun	NOUN	Number=Sing				галактикада
галактика	галактикадан	kk-decl-noun	NOUN	Number=Sing				галактикадан
галактика	галактикамен	kk-decl-noun	NOUN	Number=Sing				галактикамен
орбита	орбита	kk-decl-noun	NOUN	Case=Nom;Number=Sing				орбита
орбита	орбитаның	kk-decl-noun	NOUN	Case=Gen;Number=Sing				орбитаның
орбита	орбитаға	kk-decl-noun	NOUN	Case=Dat;Number=Sing				орбитаға
орбита	орбитаны	kk-decl-noun	NOUN	Case=Acc;Number=Sing				орбитаны
орбита	орбитада	kk-decl-noun	NOUN	Number=Sing				орбитада
орбита	орбитадан	kk-decl-noun	NOUN	Number=Sing				орбитадан
орбита	орбитамен	kk-decl-noun	NOUN	Number=Sing				орбитамен
бактерия	бактерия	kk-decl-noun	NOUN	Case=Nom;Number=Sing				бактерия
бактерия	бактерияның	kk-decl-noun	NOUN	Case=Gen;Number=Sing				бактерияның
бактерия	бактерияға	kk-decl-noun	NOUN	Case=Dat;Number=Sing				бактерияға
бактерия	бактерияны	kk-decl-noun	NOUN	Case=Acc;Number=Sing				бактерияны
бактерия	бактерияда	kk-decl-noun	NOUN	Number=Sing				бактерияда
бактерия	бактериядан	kk-decl-noun	NOUN	Number=Sing				бактериядан
бактерия	бактериямен	kk-decl-noun	NOUN	Number=Sing				бактериямен
шимпанзе	шимпанзе	kk-decl-noun	NOUN	Case=Nom;Number=Sing				шимпанзе
шимпанзе	шимпанзенің	kk-decl-noun	NOUN	Case=Gen;Number=Sing				шимпанзенің
шимпанзе	шимпанзеге	kk-decl-noun	NOUN	Case=Dat;Number=Sing				шимпанзеге
шимпанзе	шимпанзені	kk-decl-noun	NOUN	Case=Acc;Number=Sing				шимпанзені
шимпанзе	шимпанзеде	kk-decl-noun	NOUN	Number=Sing				шимпанзеде
шимпанзе	шимпанзеден	kk-decl-noun	NOUN	Number=Sing				шимпанзеден
шимпанзе	шимпанземен	kk-decl-noun	NOUN	Number=Sing				шимпанземен
қала	қала	kk-decl-noun	NOUN	Case=Nom;Number=Sing				қала
қала	қаланың	kk-decl-noun	NOUN	Case=Gen;Number=Sing				қаланың
