Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
син	син	kjh-decl-noun-man	NOUN	VerbForm=Inf				син
син	саға	kjh-decl-noun-man	NOUN					саға
син	синде	kjh-decl-noun-man	NOUN					синде
син	синзер	kjh-decl-noun-man	NOUN					синзер
мин	мин	kjh-decl-noun-man	NOUN	VerbForm=Inf				мин
мин	маға	kjh-decl-noun-man	NOUN					маға
мин	минде	kjh-decl-noun-man	NOUN					минде
мин	минзер	kjh-decl-noun-man	NOUN					минзер
сірер	сірер	kjh-decl-noun-man	NOUN	VerbForm=Inf				сірер
сірер	саға	kjh-decl-noun-man	NOUN					саға
сірер	синде	kjh-decl-noun-man	NOUN					синде
сірер	синзер	kjh-decl-noun-man	NOUN					синзер
піс	піс	kjh-decl-noun-man	NOUN	VerbForm=Inf				піс
піс	маға	kjh-decl-noun-man	NOUN					маға
піс	минде	kjh-decl-noun-man	NOUN					минде
піс	минзер	kjh-decl-noun-man	NOUN					минзер
ол	ол	kjh-decl-noun-man	NOUN	VerbForm=Inf				ол
ол	ағаа	kjh-decl-noun-man	NOUN					ағаа
ол	анда	kjh-decl-noun-man	NOUN					анда
ол	аныңзар	kjh-decl-noun-man	NOUN					аныңзар
пу	пу	kjh-decl-noun-man	NOUN	VerbForm=Inf				пу
пу	пуғаа	kjh-decl-noun-man	NOUN					пуғаа
пу	мында	kjh-decl-noun-man	NOUN					мында
пу	пузар	kjh-decl-noun-man	NOUN					пузар
