Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
Angola	Angola	lt-noun-f-a-unc	NOUN	Number=Sing		a		Angol
Angola	Angolos	lt-noun-f-a-unc	NOUN	Case=Gen;Number=Sing		os		Angol
Angola	Angolai	lt-noun-f-a-unc	NOUN	Case=Dat;Number=Sing		ai		Angol
Angola	Angolą	lt-noun-f-a-unc	NOUN	Case=Acc;Number=Sing		ą		Angol
Angola	Angoloje	lt-noun-f-a-unc	NOUN	Number=Sing		oje		Angol
Angola	Angola	lt-noun-f-a-unc	NOUN	Case=Ins;Number=Sing		a		Angol
Angola	Angoloje	lt-noun-f-a-unc	NOUN	Case=Loc;Number=Sing		oje		Angol
Malta	Malta	lt-noun-f-a-unc	NOUN	Number=Sing		a		Malt
Malta	Maltos	lt-noun-f-a-unc	NOUN	Case=Gen;Number=Sing		os		Malt
Malta	Maltai	lt-noun-f-a-unc	NOUN	Case=Dat;Number=Sing		ai		Malt
Malta	Maltą	lt-noun-f-a-unc	NOUN	Case=Acc;Number=Sing		ą		Malt
Malta	Maltoje	lt-noun-f-a-unc	NOUN	Number=Sing		oje		Malt
Malta	Malta	lt-noun-f-a-unc	NOUN	Case=Ins;Number=Sing		a		Malt
Malta	Maltoje	lt-noun-f-a-unc	NOUN	Case=Loc;Number=Sing		oje		Malt
mama	mamà	lt-noun-f-a-4	NOUN	Case=Nom;Number=Sing		à		mam
mama	mãmos	lt-noun-f-a-4	NOUN	Case=Voc;Number=Plur		os		mãm
mama	mamõs	lt-noun-f-a-4	NOUN	Case=Gen;Number=Sing		õs		mam
mama	mãmai	lt-noun-f-a-4	NOUN	Case=Dat;Number=Sing		ai		mãm
mama	mamóms	lt-noun-f-a-4	NOUN	Case=Dat;Number=Plur		óms		mam
mama	mãmą	lt-noun-f-a-4	NOUN	Case=Acc;Number=Sing		ą		mãm
mama	mamàs	lt-noun-f-a-4	NOUN	Case=Acc;Number=Plur		às		mam
mama	mamomìs	lt-noun-f-a-4	NOUN	Number=Plur		omìs		mam
mama	mamojè	lt-noun-f-a-4	NOUN	Number=Sing		ojè		mam
mama	mamosè	lt-noun-f-a-4	NOUN	Number=Plur		osè		mam
mama	mãma	lt-noun-f-a-4	NOUN	Case=Voc;Number=Sing		a		mãm
mama	mamomìs	lt-noun-f-a-4	NOUN	Case=Ins;Number=Plur		omìs		mam
mama	mamojè	lt-noun-f-a-4	NOUN	Case=Loc;Number=Sing		ojè		mam
mama	mamosè	lt-noun-f-a-4	NOUN	Case=Loc;Number=Plur		osè		mam
Ankara	Ankara	lt-noun-f-a-unc	NOUN	Number=Sing		a		Ankar
Ankara	Ankaros	lt-noun-f-a-unc	NOUN	Case=Gen;Number=Sing		os		Ankar
Ankara	Ankarai	lt-noun-f-a-unc	NOUN	Case=Dat;Number=Sing		ai		Ankar
Ankara	Ankarą	lt-noun-f-a-unc	NOUN	Case=Acc;Number=Sing		ą		Ankar
Ankara	Ankaroje	lt-noun-f-a-unc	NOUN	Number=Sing		oje		Ankar
Ankara	Ankara	lt-noun-f-a-unc	NOUN	Case=Ins;Number=Sing		a		Ankar
Ankara	Ankaroje	lt-noun-f-a-unc	NOUN	Case=Loc;Number=Sing		oje		Ankar
krona	kronà	lt-noun-f-a-2	NOUN	Case=Nom;Number=Sing		à		kron
krona	krònos	lt-noun-f-a-2	NOUN	Case=Voc;Number=Plur		os		kròn
krona	krònų	lt-noun-f-a-2	NOUN	Case=Gen;Number=Plur		ų		kròn
krona	krònai	lt-noun-f-a-2	NOUN	Case=Dat;Number=Sing		ai		kròn
