Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
ab	abst	liv-noun	NOUN	Case=Dat;Number=Sing		st		ab
Portugal	Portugalst	liv-noun	NOUN	Case=Dat;Number=Sing		st		Portugal
Costa Rica	Costa Ricaiž	liv-noun-sieldõ	NOUN	Tense=Pres		iž		Costa Rica
kaffe	kaffest	liv-noun	NOUN	Case=Dat;Number=Sing		st		kaffe
kim	kimm	liv-noun-kim	NOUN	Case=Nom;Number=Sing				kimm
kim	kimmmõd	liv-noun-kim	NOUN	Case=Gen;Number=Sing		õd		kimmm
kim	kimmmõd	liv-noun-kim	NOUN	Case=Ill;Number=Sing		õd		kimmm
kim	kimmmõ	liv-noun-kim	NOUN	Case=Nom;Number=Sing		õ		kimmm
kim	kimmmidi	liv-noun-kim	NOUN	Case=Nom;Number=Sing		idi		kimmm
kim	kimmmõn	liv-noun-kim	NOUN	Case=Gen;Number=Sing		õn		kimmm
kim	kimmmõdõn	liv-noun-kim	NOUN	Case=Gen;Number=Sing		õdõn		kimmm
kim	kimmmiž	liv-noun-kim	NOUN	Case=Ill;Number=Sing		iž		kimmm
kim	kimmmis	liv-noun-kim	NOUN	Case=All;Number=Sing		is		kimmm
kim	kimmstõ	liv-noun-kim	NOUN	Case=Tra;Number=Sing		stõ		kimm
äl	älst	liv-noun	NOUN	Case=Dat;Number=Sing		st		äl
seis	seisst	liv-noun	NOUN	Case=Dat;Number=Sing		st		seis
tas	tass	liv-noun-kim	NOUN	Case=Nom;Number=Sing				tass
tas	tasssõd	liv-noun-kim	NOUN	Case=Gen;Number=Sing		õd		tasss
tas	tasssõd	liv-noun-kim	NOUN	Case=Ill;Number=Sing		õd		tasss
tas	tasssõ	liv-noun-kim	NOUN	Case=Nom;Number=Sing		õ		tasss
tas	tasssidi	liv-noun-kim	NOUN	Case=Nom;Number=Sing		idi		tasss
tas	tasssõn	liv-noun-kim	NOUN	Case=Gen;Number=Sing		õn		tasss
tas	tasssõdõn	liv-noun-kim	NOUN	Case=Gen;Number=Sing		õdõn		tasss
tas	tasssiž	liv-noun-kim	NOUN	Case=Ill;Number=Sing		iž		tasss
tas	tasssis	liv-noun-kim	NOUN	Case=All;Number=Sing		is		tasss
tas	tassstõ	liv-noun-kim	NOUN	Case=Tra;Number=Sing		stõ		tass
tint	tintst	liv-noun	NOUN	Case=Dat;Number=Sing		st		tint
februar	februarst	liv-noun	NOUN	Case=Dat;Number=Sing		st		februar
Island	Islandst	liv-noun	NOUN	Case=Dat;Number=Sing		st		Island
april	aprilst	liv-noun	NOUN	Case=Dat;Number=Sing		st		april
pōr	pōrst	liv-noun	NOUN	Case=Dat;Number=Sing		st		pōr
rō	rōst	liv-noun	NOUN	Case=Dat;Number=Sing		st		rō
kū	kūst	liv-noun	NOUN	Case=Dat;Number=Sing		st		kū
märts	märtsst	liv-noun	NOUN	Case=Dat;Number=Sing		st		märts
lilla	lillaiž	liv-noun-sieldõ	NOUN	Tense=Pres		iž		lilla
alli	allist	liv-noun	NOUN	Case=Dat;Number=Sing		st		alli
