Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
вата	вата	mk-decl-noun-f	NOUN	Number=Sing;Definite=Ind		а		ват
вата	вати	mk-decl-noun-f	NOUN	Number=Plur;Case=Voc		и		ват
вата	ватата	mk-decl-noun-f	NOUN	Number=Sing;Definite=Def		ата		ват
вата	ватите	mk-decl-noun-f	NOUN	Number=Plur;Definite=Def		ите		ват
вата	ватава	mk-decl-noun-f	NOUN	Number=Sing;Definite=Def		ава		ват
вата	вативе	mk-decl-noun-f	NOUN	Number=Plur;Definite=Def		иве		ват
вата	ватана	mk-decl-noun-f	NOUN	Number=Sing;Definite=Def		ана		ват
вата	ватине	mk-decl-noun-f	NOUN	Number=Plur;Definite=Def		ине		ват
вата	вато	mk-decl-noun-f	NOUN	Number=Sing;Case=Voc		о		ват
лисица	лисица	mk-decl-noun-f-e	NOUN	Number=Sing;Definite=Ind		а		лисиц
лисица	лисици	mk-decl-noun-f-e	NOUN	Number=Plur;Case=Voc		и		лисиц
лисица	лисицата	mk-decl-noun-f-e	NOUN	Number=Sing;Definite=Def		ата		лисиц
лисица	лисиците	mk-decl-noun-f-e	NOUN	Number=Plur;Definite=Def		ите		лисиц
лисица	лисицава	mk-decl-noun-f-e	NOUN	Number=Sing;Definite=Def		ава		лисиц
лисица	лисициве	mk-decl-noun-f-e	NOUN	Number=Plur;Definite=Def		иве		лисиц
лисица	лисицана	mk-decl-noun-f-e	NOUN	Number=Sing;Definite=Def		ана		лисиц
лисица	лисицине	mk-decl-noun-f-e	NOUN	Number=Plur;Definite=Def		ине		лисиц
лисица	лисице	mk-decl-noun-f-e	NOUN	Number=Sing;Case=Voc		е		лисиц
птица	птица	mk-decl-noun-f	NOUN	Number=Sing;Definite=Ind		а		птиц
птица	птици	mk-decl-noun-f	NOUN	Number=Plur;Case=Voc		и		птиц
птица	птицата	mk-decl-noun-f	NOUN	Number=Sing;Definite=Def		ата		птиц
птица	птиците	mk-decl-noun-f	NOUN	Number=Plur;Definite=Def		ите		птиц
птица	птицава	mk-decl-noun-f	NOUN	Number=Sing;Definite=Def		ава		птиц
птица	птициве	mk-decl-noun-f	NOUN	Number=Plur;Definite=Def		иве		птиц
птица	птицана	mk-decl-noun-f	NOUN	Number=Sing;Definite=Def		ана		птиц
птица	птицине	mk-decl-noun-f	NOUN	Number=Plur;Definite=Def		ине		птиц
