Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
scarfà	scarfà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		scarf
scarfà	scarfanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		scarf
scarfà	scarfante	nap-conj-à	VERB	Number=Sing		ante		scarf
gruttà	gruttà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		grutt
gruttà	gruttanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		grutt
gruttà	gruttante	nap-conj-à	VERB	Number=Sing		ante		grutt
accirere	accirere	nap-conj-ere	VERB	Case=Nom;Gender=Masc;Number=Sing		ere		accir
accirere	accirenno	nap-conj-ere	VERB	Gender=Fem;Number=Plur		enno		accir
accirere	accirente	nap-conj-ere	VERB	Case=Nom;Gender=Fem;Number=Plur		ente		accir
amà	amà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		am
amà	amanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		am
amà	amante	nap-conj-à	VERB	Number=Sing		ante		am
nzerrà	nzerrà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		nzerr
nzerrà	nzerranno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		nzerr
nzerrà	nzerrante	nap-conj-à	VERB	Number=Sing		ante		nzerr
scamazzà	scamazzà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		scamazz
scamazzà	scamazzanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		scamazz
scamazzà	scamazzante	nap-conj-à	VERB	Number=Sing		ante		scamazz
luttà	luttà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		lutt
luttà	luttanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		lutt
luttà	luttante	nap-conj-à	VERB	Number=Sing		ante		lutt
cucenà	cucenà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		cucen
cucenà	cucenanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		cucen
cucenà	cucenante	nap-conj-à	VERB	Number=Sing		ante		cucen
cumannà	cumannà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		cumann
cumannà	cumannanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		cumann
cumannà	cumannante	nap-conj-à	VERB	Number=Sing		ante		cumann
accavallà	accavallà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		accavall
accavallà	accavallanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		accavall
accavallà	accavallante	nap-conj-à	VERB	Number=Sing		ante		accavall
duminà	duminà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		dumin
duminà	duminanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		dumin
duminà	duminante	nap-conj-à	VERB	Number=Sing		ante		dumin
dummenà	dummenà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		dummen
dummenà	dummenanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		dummen
dummenà	dummenante	nap-conj-à	VERB	Number=Sing		ante		dummen
rialà	rialà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		rial
rialà	rialanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		rial
rialà	rialante	nap-conj-à	VERB	Number=Sing		ante		rial
pulezzà	pulezzà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		pulezz
pulezzà	pulezzanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		pulezz
pulezzà	pulezzante	nap-conj-à	VERB	Number=Sing		ante		pulezz
jastemmà	jastemmà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		jastemm
jastemmà	jastemmanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		jastemm
jastemmà	jastemmante	nap-conj-à	VERB	Number=Sing		ante		jastemm
abbanunà	abbanunà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		abbanun
abbanunà	abbanunanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		abbanun
abbanunà	abbanunante	nap-conj-à	VERB	Number=Sing		ante		abbanun
abbuscà	abbuscà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		abbusc
abbuscà	abbuscanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		abbusc
abbuscà	abbuscante	nap-conj-à	VERB	Number=Sing		ante		abbusc
accapputtà	accapputtà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		accapputt
accapputtà	accapputtanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		accapputt
accapputtà	accapputtante	nap-conj-à	VERB	Number=Sing		ante		accapputt
abballà	abballà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		abball
abballà	abballanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		abball
abballà	abballante	nap-conj-à	VERB	Number=Sing		ante		abball
dimannà	dimannà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		dimann
dimannà	dimannanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		dimann
dimannà	dimannante	nap-conj-à	VERB	Number=Sing		ante		dimann
trasfurmà	trasfurmà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		trasfurm
trasfurmà	trasfurmanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		trasfurm
trasfurmà	trasfurmante	nap-conj-à	VERB	Number=Sing		ante		trasfurm
segliuzzà	segliuzzà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		segliuzz
segliuzzà	segliuzzanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		segliuzz
segliuzzà	segliuzzante	nap-conj-à	VERB	Number=Sing		ante		segliuzz
selluzzà	selluzzà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		selluzz
selluzzà	selluzzanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		selluzz
selluzzà	selluzzante	nap-conj-à	VERB	Number=Sing		ante		selluzz
cuntrullà	cuntrullà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		cuntrull
cuntrullà	cuntrullanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		cuntrull
cuntrullà	cuntrullante	nap-conj-à	VERB	Number=Sing		ante		cuntrull
appurà	appurà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		appur
appurà	appuranno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		appur
appurà	appurante	nap-conj-à	VERB	Number=Sing		ante		appur
nciarmà	nciarmà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		nciarm
nciarmà	nciarmanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		nciarm
nciarmà	nciarmante	nap-conj-à	VERB	Number=Sing		ante		nciarm
nzignà	nzignà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		nzign
nzignà	nzignanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		nzign
nzignà	nzignante	nap-conj-à	VERB	Number=Sing		ante		nzign
mmustà	mmustà	nap-conj-à	VERB	Case=Nom;Number=Sing		à		mmust
mmustà	mmustanno	nap-conj-à	VERB	Case=Dat;Number=Plur		anno		mmust
mmustà	mmustante	nap-conj-à	VERB	Number=Sing		ante		mmust
