Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
small	een Smalls	nds-decl-adj	ADJ	Case=Gen;Number=Sing	een 	s		Small
small	smalle	nds-decl-adj	ADJ	Case=Gen;Number=Sing		e		small
small	small	nds-decl-adj	ADJ	Case=Gen;Number=Sing				small
small	smalle	nds-decl-adj	ADJ	Case=Gen;Number=Plur		e		small
small	den smallen	nds-decl-adj	ADJ	Case=Gen;Number=Sing	den 	en		small
small	dat smalle	nds-decl-adj	ADJ	Case=Gen;Number=Sing	dat 	e		small
small	de smallen	nds-decl-adj	ADJ	Case=Gen;Number=Plur	de 	en		small
small	en small	nds-decl-adj	ADJ	Case=Gen;Number=Sing	en 			
small	smallet	nds-decl-adj	ADJ	Case=Gen;Number=Plur		et		small
small	smallen	nds-decl-adj	ADJ	Case=Gen;Number=Sing		en		small
small	en smallen	nds-decl-adj	ADJ	Case=Gen;Number=Plur	en 	en		small
elk	elk	nds-decl-männich	NOUN	Voice=Act;Tense=Pres;Polarity=Pos;Mood=Ind;Person=1;Number=Sing				elk
elk	elk	nds-decl-männich	NOUN	Voice=Act;Tense=Pres;Polarity=Neg;Mood=Ind;Person=1;Number=Sing				elk
elk	elken	nds-decl-männich	NOUN	Voice=Act;Tense=Pres;Polarity=Pos;Mood=Ind;Person=2;Number=Sing		en		elk
elk	elk	nds-decl-männich	NOUN	Voice=Act;Tense=Pres;Polarity=Neg;Mood=Ind;Person=2;Number=Sing				elk
wassen	wuss	nds-conj-st	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing				wuss
wassen	wasss	nds-conj-st	VERB	Tense=Past		s		wass
wassen	wussen	nds-conj-st	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing		en		wuss
wassen	gewussen	nds-conj-st	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing	ge	en		wuss
fallen	full	nds-conj-st	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing				full
fallen	falls	nds-conj-st	VERB	Tense=Past		s		fall
fallen	fullen	nds-conj-st	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing		en		full
fallen	gefullen	nds-conj-st	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing	ge	en		full
old	een olls	nds-decl-adj	ADJ	Case=Gen;Number=Sing	een 	s		oll
old	olle	nds-decl-adj	ADJ	Case=Gen;Number=Sing		e		oll
old	old	nds-decl-adj	ADJ	Case=Gen;Number=Sing				old
old	olle	nds-decl-adj	ADJ	Case=Gen;Number=Plur		e		oll
old	den ollen	nds-decl-adj	ADJ	Case=Gen;Number=Sing	den 	en		oll
old	dat olle	nds-decl-adj	ADJ	Case=Gen;Number=Sing	dat 	e		oll
old	de ollen	nds-decl-adj	ADJ	Case=Gen;Number=Plur	de 	en		oll
old	en old	nds-decl-adj	ADJ	Case=Gen;Number=Sing	en 			
old	ollet	nds-decl-adj	ADJ	Case=Gen;Number=Plur		et		oll
old	ollen	nds-decl-adj	ADJ	Case=Gen;Number=Sing		en		oll
old	en ollen	nds-decl-adj	ADJ	Case=Gen;Number=Plur	en 	en		oll
slapen	sleep	nds-conj-st	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing				sleep
slapen	slöpps	nds-conj-st	VERB	Tense=Past		s		slöpp
slapen	slapen	nds-conj-st	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing		en		slap
slapen	geslapen	nds-conj-st	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing	ge	en		slap
langsam	een langsams	nds-decl-adj	ADJ	Case=Gen;Number=Sing	een 	s		langsam
langsam	langsame	nds-decl-adj	ADJ	Case=Gen;Number=Sing		e		langsam
langsam	langsam	nds-decl-adj	ADJ	Case=Gen;Number=Sing				langsam
langsam	langsame	nds-decl-adj	ADJ	Case=Gen;Number=Plur		e		langsam
langsam	den langsamen	nds-decl-adj	ADJ	Case=Gen;Number=Sing	den 	en		langsam
langsam	dat langsame	nds-decl-adj	ADJ	Case=Gen;Number=Sing	dat 	e		langsam
langsam	de langsamen	nds-decl-adj	ADJ	Case=Gen;Number=Plur	de 	en		langsam
langsam	en langsam	nds-decl-adj	ADJ	Case=Gen;Number=Sing	en 			
langsam	langsamet	nds-decl-adj	ADJ	Case=Gen;Number=Plur		et		langsam
langsam	langsamen	nds-decl-adj	ADJ	Case=Gen;Number=Sing		en		langsam
langsam	en langsamen	nds-decl-adj	ADJ	Case=Gen;Number=Plur	en 	en		langsam
root	een Roods	nds-decl-adj	ADJ	Case=Gen;Number=Sing	een 	s		Rood
root	rode	nds-decl-adj	ADJ	Case=Gen;Number=Sing		e		rod
root	root	nds-decl-adj	ADJ	Case=Gen;Number=Sing				root
root	rode	nds-decl-adj	ADJ	Case=Gen;Number=Plur		e		rod
root	den roden	nds-decl-adj	ADJ	Case=Gen;Number=Sing	den 	en		rod
root	dat rode	nds-decl-adj	ADJ	Case=Gen;Number=Sing	dat 	e		rod
root	de roden	nds-decl-adj	ADJ	Case=Gen;Number=Plur	de 	en		rod
root	en root	nds-decl-adj	ADJ	Case=Gen;Number=Sing	en 			
root	rodet	nds-decl-adj	ADJ	Case=Gen;Number=Plur		et		rod
root	roden	nds-decl-adj	ADJ	Case=Gen;Number=Sing		en		rod
root	en roden	nds-decl-adj	ADJ	Case=Gen;Number=Plur	en 	en		rod
