Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
abandonar	abandonarem	oc-conj-ar	VERB	Person=1;Number=Plur;Mood=Ind;Tense=Fut		em		abandonar
abandonar	abandonaretz	oc-conj-ar	VERB	Person=2;Number=Plur;Mood=Ind;Tense=Fut		etz		abandonar
cantar	cantarem	oc-conj-ar	VERB	Person=1;Number=Plur;Mood=Ind;Tense=Fut		em		cantar
cantar	cantaretz	oc-conj-ar	VERB	Person=2;Number=Plur;Mood=Ind;Tense=Fut		etz		cantar
agradar	agradarem	oc-conj-ar	VERB	Person=1;Number=Plur;Mood=Ind;Tense=Fut		em		agradar
agradar	agradaretz	oc-conj-ar	VERB	Person=2;Number=Plur;Mood=Ind;Tense=Fut		etz		agradar
mandar	mandarem	oc-conj-ar	VERB	Person=1;Number=Plur;Mood=Ind;Tense=Fut		em		mandar
mandar	mandaretz	oc-conj-ar	VERB	Person=2;Number=Plur;Mood=Ind;Tense=Fut		etz		mandar
pilar	pilarem	oc-conj-ar	VERB	Person=1;Number=Plur;Mood=Ind;Tense=Fut		em		pilar
pilar	pilaretz	oc-conj-ar	VERB	Person=2;Number=Plur;Mood=Ind;Tense=Fut		etz		pilar
regardar	regardarem	oc-conj-ar	VERB	Person=1;Number=Plur;Mood=Ind;Tense=Fut		em		regardar
regardar	regardaretz	oc-conj-ar	VERB	Person=2;Number=Plur;Mood=Ind;Tense=Fut		etz		regardar
plorar	plorarem	oc-conj-ar	VERB	Person=1;Number=Plur;Mood=Ind;Tense=Fut		em		plorar
plorar	ploraretz	oc-conj-ar	VERB	Person=2;Number=Plur;Mood=Ind;Tense=Fut		etz		plorar
pecar	pecarem	oc-conj-ar	VERB	Person=1;Number=Plur;Mood=Ind;Tense=Fut		em		pecar
pecar	pecaretz	oc-conj-ar	VERB	Person=2;Number=Plur;Mood=Ind;Tense=Fut		etz		pecar
utilizar	utilizarem	oc-conj-ar	VERB	Person=1;Number=Plur;Mood=Ind;Tense=Fut		em		utilizar
utilizar	utilizaretz	oc-conj-ar	VERB	Person=2;Number=Plur;Mood=Ind;Tense=Fut		etz		utilizar
usar	usarem	oc-conj-ar	VERB	Person=1;Number=Plur;Mood=Ind;Tense=Fut		em		usar
usar	usaretz	oc-conj-ar	VERB	Person=2;Number=Plur;Mood=Ind;Tense=Fut		etz		usar
acabar	acabarem	oc-conj-ar	VERB	Person=1;Number=Plur;Mood=Ind;Tense=Fut		em		acabar
acabar	acabaretz	oc-conj-ar	VERB	Person=2;Number=Plur;Mood=Ind;Tense=Fut		etz		acabar
jurar	jurarem	oc-conj-ar	VERB	Person=1;Number=Plur;Mood=Ind;Tense=Fut		em		jurar
jurar	juraretz	oc-conj-ar	VERB	Person=2;Number=Plur;Mood=Ind;Tense=Fut		etz		jurar
justificar	justificarem	oc-conj-ar	VERB	Person=1;Number=Plur;Mood=Ind;Tense=Fut		em		justificar
justificar	justificaretz	oc-conj-ar	VERB	Person=2;Number=Plur;Mood=Ind;Tense=Fut		etz		justificar
nadar	nadarem	oc-conj-ar	VERB	Person=1;Number=Plur;Mood=Ind;Tense=Fut		em		nadar
nadar	nadaretz	oc-conj-ar	VERB	Person=2;Number=Plur;Mood=Ind;Tense=Fut		etz		nadar
respirar	respirarem	oc-conj-ar	VERB	Person=1;Number=Plur;Mood=Ind;Tense=Fut		em		respirar
respirar	respiraretz	oc-conj-ar	VERB	Person=2;Number=Plur;Mood=Ind;Tense=Fut		etz		respirar
expulsar	expulsarem	oc-conj-ar	VERB	Person=1;Number=Plur;Mood=Ind;Tense=Fut		em		expulsar
expulsar	expulsaretz	oc-conj-ar	VERB	Person=2;Number=Plur;Mood=Ind;Tense=Fut		etz		expulsar
arribar	arribarem	oc-conj-ar	VERB	Person=1;Number=Plur;Mood=Ind;Tense=Fut		em		arribar
arribar	arribaretz	oc-conj-ar	VERB	Person=2;Number=Plur;Mood=Ind;Tense=Fut		etz		arribar
