Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
word	word	osx-decl-noun-a-n	NOUN	Case=Gen;Number=Plur				word
word	word	osx-decl-noun-a-n	NOUN	Case=Gen;Number=Sing				word
word	word	osx-decl-noun-a-n	NOUN	Case=Voc;Number=Sing				word
word	word	osx-decl-noun-a-n	NOUN	Case=Voc;Number=Plur				word
word	wordes	osx-decl-noun-a-n	NOUN	Case=Gen;Number=Sing		es		word
word	wordō	osx-decl-noun-a-n	NOUN	Case=Gen;Number=Plur		ō		word
word	worde	osx-decl-noun-a-n	NOUN	Case=Gen;Number=Plur		e		word
word	wordun	osx-decl-noun-a-n	NOUN	Case=Gen;Number=Sing		un		word
word	word	osx-decl-noun-a-n	NOUN	Number=Plur;Case=Nom				word
word	wordes	osx-decl-noun-a-n	NOUN	Number=Sing;Case=Gen		es		word
word	wordō	osx-decl-noun-a-n	NOUN	Number=Plur;Case=Gen		ō		word
word	worde	osx-decl-noun-a-n	NOUN	Number=Sing;Case=Dat		e		word
het	het	osx-decl-adj	ADJ	Definite=Ind;Case=Nom;Number=Sing				het
het	hete	osx-decl-adj	ADJ	Definite=Def;Case=Nom;Number=Sing		e		het
het	hetu	osx-decl-adj	ADJ	Definite=Def;Case=Nom;Number=Plur		u		het
het	hetana	osx-decl-adj	ADJ	Definite=Ind;Case=Nom;Number=Sing		ana		het
het	hete	osx-decl-adj	ADJ	Definite=Def;Case=Nom;Number=Plur		e		het
het	heta	osx-decl-adj	ADJ	Definite=Ind;Case=Nom;Number=Sing		a		het
het	hetu	osx-decl-adj	ADJ	Definite=Ind;Case=Dat;Number=Sing		u		het
het	het	osx-decl-adj	ADJ	Definite=Def;Case=Dat;Number=Sing				het
het	hetes	osx-decl-adj	ADJ	Definite=Def;Case=Dat;Number=Plur		es		het
het	hetarō	osx-decl-adj	ADJ	Definite=Ind;Case=Gen;Number=Sing		arō		het
het	hetaro	osx-decl-adj	ADJ	Definite=Def;Case=Gen;Number=Sing		aro		het
het	het	osx-decl-adj	ADJ	Gender=Neut;Number=Sing;Case=Nom				het
het	hete	osx-decl-adj	ADJ	Gender=Masc;Number=Plur;Case=Acc		e		het
het	hetu	osx-decl-adj	ADJ	Gender=Neut;Number=Plur;Case=Nom;VerbForm=Short		u		het
het	hetana	osx-decl-adj	ADJ	Gender=Masc;Number=Sing;Case=Acc		ana		het
het	heta	osx-decl-adj	ADJ	Gender=Neut;Number=Sing;Case=Nom;VerbForm=Short		a		het
het	hetes	osx-decl-adj	ADJ	Gender=Masc;Number=Sing;Case=Gen		es		het
het	hetarō	osx-decl-adj	ADJ	Gender=Neut;Number=Plur;Case=Gen		arō		het
het	hetaro	osx-decl-adj	ADJ	Gender=Fem;Number=Sing;Case=Gen		aro		het
het	hetumu	osx-decl-adj	ADJ	Gender=Masc;Number=Sing;Case=Dat		umu		het
het	hetum	osx-decl-adj	ADJ	Gender=Fem;Number=Plur;Case=Dat;VerbForm=Short		um		het
het	heto	osx-decl-adj	ADJ	Gender=Masc;Number=Sing;Case=Nom;VerbForm=Short		o		het
het	hetun	osx-decl-adj	ADJ	Gender=Neut;Number=Sing;Case=Gen;VerbForm=Short		un		het
het	hetonō	osx-decl-adj	ADJ	Gender=Masc;Number=Plur;Case=Gen;VerbForm=Short		onō		het
is	īs	osx-decl-noun-a-n	NOUN	Case=Gen;Number=Plur				īs
is	īs	osx-decl-noun-a-n	NOUN	Case=Gen;Number=Sing				īs
is	īs	osx-decl-noun-a-n	NOUN	Case=Voc;Number=Sing				īs
is	īs	osx-decl-noun-a-n	NOUN	Case=Voc;Number=Plur				īs
is	īses	osx-decl-noun-a-n	NOUN	Case=Gen;Number=Sing		es		īs
is	īsō	osx-decl-noun-a-n	NOUN	Case=Gen;Number=Plur		ō		īs
is	īse	osx-decl-noun-a-n	NOUN	Case=Gen;Number=Plur		e		īs
