Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
animal	animao	pt-adj-infl	ADJ	Person=1;Number=Sing;Mood=Ind;Tense=Pres		o		anima
animal	animaa	pt-adj-infl	ADJ	Person=3;Number=Sing;Mood=Ind;Tense=Pres		a		anima
animal	animaas	pt-adj-infl	ADJ	Person=2;Number=Sing;Mood=Ind;Tense=Pres		as		anima
regular	regulo	pt-adj-infl	ADJ	Person=1;Number=Sing;Mood=Ind;Tense=Pres		o		regul
regular	regula	pt-adj-infl	ADJ	Person=3;Number=Sing;Mood=Ind;Tense=Pres		a		regul
regular	regulas	pt-adj-infl	ADJ	Person=2;Number=Sing;Mood=Ind;Tense=Pres		as		regul
barato	barato	pt-adj-infl	ADJ	Person=1;Number=Sing;Mood=Ind;Tense=Pres		o		barat
barato	barata	pt-adj-infl	ADJ	Person=3;Number=Sing;Mood=Ind;Tense=Pres		a		barat
barato	baratas	pt-adj-infl	ADJ	Person=2;Number=Sing;Mood=Ind;Tense=Pres		as		barat
mole	molo	pt-adj-infl	ADJ	Person=1;Number=Sing;Mood=Ind;Tense=Pres		o		mol
mole	mola	pt-adj-infl	ADJ	Person=3;Number=Sing;Mood=Ind;Tense=Pres		a		mol
mole	molas	pt-adj-infl	ADJ	Person=2;Number=Sing;Mood=Ind;Tense=Pres		as		mol
sexual	sexuao	pt-adj-infl	ADJ	Person=1;Number=Sing;Mood=Ind;Tense=Pres		o		sexua
sexual	sexuaa	pt-adj-infl	ADJ	Person=3;Number=Sing;Mood=Ind;Tense=Pres		a		sexua
sexual	sexuaas	pt-adj-infl	ADJ	Person=2;Number=Sing;Mood=Ind;Tense=Pres		as		sexua
universal	universao	pt-adj-infl	ADJ	Person=1;Number=Sing;Mood=Ind;Tense=Pres		o		universa
universal	universaa	pt-adj-infl	ADJ	Person=3;Number=Sing;Mood=Ind;Tense=Pres		a		universa
universal	universaas	pt-adj-infl	ADJ	Person=2;Number=Sing;Mood=Ind;Tense=Pres		as		universa
real	reao	pt-adj-infl	ADJ	Person=1;Number=Sing;Mood=Ind;Tense=Pres		o		rea
real	reaa	pt-adj-infl	ADJ	Person=3;Number=Sing;Mood=Ind;Tense=Pres		a		rea
real	reaas	pt-adj-infl	ADJ	Person=2;Number=Sing;Mood=Ind;Tense=Pres		as		rea
forte	forto	pt-adj-infl	ADJ	Person=1;Number=Sing;Mood=Ind;Tense=Pres		o		fort
forte	forta	pt-adj-infl	ADJ	Person=3;Number=Sing;Mood=Ind;Tense=Pres		a		fort
forte	fortas	pt-adj-infl	ADJ	Person=2;Number=Sing;Mood=Ind;Tense=Pres		as		fort
formoso	formoso	pt-adj-infl	ADJ	Person=1;Number=Sing;Mood=Ind;Tense=Pres		o		formos
formoso	formosa	pt-adj-infl	ADJ	Person=3;Number=Sing;Mood=Ind;Tense=Pres		a		formos
formoso	formosas	pt-adj-infl	ADJ	Person=2;Number=Sing;Mood=Ind;Tense=Pres		as		formos
arrogante	arroganto	pt-adj-infl	ADJ	Person=1;Number=Sing;Mood=Ind;Tense=Pres		o		arrogant
arrogante	arroganta	pt-adj-infl	ADJ	Person=3;Number=Sing;Mood=Ind;Tense=Pres		a		arrogant
arrogante	arrogantas	pt-adj-infl	ADJ	Person=2;Number=Sing;Mood=Ind;Tense=Pres		as		arrogant
secreto	secreto	pt-adj-infl	ADJ	Person=1;Number=Sing;Mood=Ind;Tense=Pres		o		secret
secreto	secreta	pt-adj-infl	ADJ	Person=3;Number=Sing;Mood=Ind;Tense=Pres		a		secret
secreto	secretas	pt-adj-infl	ADJ	Person=2;Number=Sing;Mood=Ind;Tense=Pres		as		secret
italiano	italiano	pt-adj-infl	ADJ	Person=1;Number=Sing;Mood=Ind;Tense=Pres		o		italian
italiano	italiana	pt-adj-infl	ADJ	Person=3;Number=Sing;Mood=Ind;Tense=Pres		a		italian
italiano	italianas	pt-adj-infl	ADJ	Person=2;Number=Sing;Mood=Ind;Tense=Pres		as		italian
lento	lento	pt-adj-infl	ADJ	Person=1;Number=Sing;Mood=Ind;Tense=Pres		o		lent
lento	lenta	pt-adj-infl	ADJ	Person=3;Number=Sing;Mood=Ind;Tense=Pres		a		lent
lento	lentas	pt-adj-infl	ADJ	Person=2;Number=Sing;Mood=Ind;Tense=Pres		as		lent
cansado	cansado	pt-adj-infl	ADJ	Person=1;Number=Sing;Mood=Ind;Tense=Pres		o		cansad
cansado	cansada	pt-adj-infl	ADJ	Person=3;Number=Sing;Mood=Ind;Tense=Pres		a		cansad
cansado	cansadas	pt-adj-infl	ADJ	Person=2;Number=Sing;Mood=Ind;Tense=Pres		as		cansad
santo	santo	pt-adj-infl	ADJ	Person=1;Number=Sing;Mood=Ind;Tense=Pres		o		sant
santo	santa	pt-adj-infl	ADJ	Person=3;Number=Sing;Mood=Ind;Tense=Pres		a		sant
santo	santas	pt-adj-infl	ADJ	Person=2;Number=Sing;Mood=Ind;Tense=Pres		as		sant
famoso	famoso	pt-adj-infl	ADJ	Person=1;Number=Sing;Mood=Ind;Tense=Pres		o		famos
famoso	famosa	pt-adj-infl	ADJ	Person=3;Number=Sing;Mood=Ind;Tense=Pres		a		famos
famoso	famosas	pt-adj-infl	ADJ	Person=2;Number=Sing;Mood=Ind;Tense=Pres		as		famos
raro	raro	pt-adj-infl	ADJ	Person=1;Number=Sing;Mood=Ind;Tense=Pres		o		rar
raro	rara	pt-adj-infl	ADJ	Person=3;Number=Sing;Mood=Ind;Tense=Pres		a		rar
raro	raras	pt-adj-infl	ADJ	Person=2;Number=Sing;Mood=Ind;Tense=Pres		as		rar
caro	caro	pt-adj-infl	ADJ	Person=1;Number=Sing;Mood=Ind;Tense=Pres		o		car
caro	cara	pt-adj-infl	ADJ	Person=3;Number=Sing;Mood=Ind;Tense=Pres		a		car
caro	caras	pt-adj-infl	ADJ	Person=2;Number=Sing;Mood=Ind;Tense=Pres		as		car
gato	gato	pt-adj-infl	ADJ	Person=1;Number=Sing;Mood=Ind;Tense=Pres		o		gat
gato	gata	pt-adj-infl	ADJ	Person=3;Number=Sing;Mood=Ind;Tense=Pres		a		gat
gato	gatas	pt-adj-infl	ADJ	Person=2;Number=Sing;Mood=Ind;Tense=Pres		as		gat
alto	alto	pt-adj-infl	ADJ	Person=1;Number=Sing;Mood=Ind;Tense=Pres		o		alt
alto	alta	pt-adj-infl	ADJ	Person=3;Number=Sing;Mood=Ind;Tense=Pres		a		alt
alto	altas	pt-adj-infl	ADJ	Person=2;Number=Sing;Mood=Ind;Tense=Pres		as		alt
bravo	bravo	pt-adj-infl	ADJ	Person=1;Number=Sing;Mood=Ind;Tense=Pres		o		brav
bravo	brava	pt-adj-infl	ADJ	Person=3;Number=Sing;Mood=Ind;Tense=Pres		a		brav
bravo	bravas	pt-adj-infl	ADJ	Person=2;Number=Sing;Mood=Ind;Tense=Pres		as		brav
