Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
Australia	Australie	ro-noun-f-ie	NOUN	Case=Voc;Number=Sing		e		Australi
Australia	Australia	ro-noun-f-ie	NOUN	Number=Plur;Definite=Def		a		Australi
Australia	Australiile	ro-noun-f-ie	NOUN	Number=Plur;Definite=Def		ile		Australi
Australia	Australiei	ro-noun-f-ie	NOUN	Number=Plur;Definite=Def		ei		Australi
Australia	Australiilor	ro-noun-f-ie	NOUN	Number=Plur;Definite=Def		ilor		Australi
Australia	Australia	ro-noun-f-ie	NOUN	Case=Nom;Number=Plur;Definite=Def		a		Australi
Australia	Australiile	ro-noun-f-ie	NOUN	Case=Nom;Number=Plur;Definite=Def		ile		Australi
Moldova	Moldovă	ro-noun-f-ă	NOUN	Case=Voc;Number=Sing		ă		Moldov
Moldova	Moldova	ro-noun-f-ă	NOUN	Number=Plur;Definite=Def		a		Moldov
Moldova	Moldovele	ro-noun-f-ă	NOUN	Number=Plur;Definite=Def		ele		Moldov
Moldova	Moldovei	ro-noun-f-ă	NOUN	Number=Plur;Definite=Def		ei		Moldov
Moldova	Moldovelor	ro-noun-f-ă	NOUN	Number=Plur;Definite=Def		elor		Moldov
Catalonia	Catalonie	ro-noun-f-ie	NOUN	Case=Voc;Number=Sing		e		Cataloni
Catalonia	Catalonia	ro-noun-f-ie	NOUN	Number=Plur;Definite=Def		a		Cataloni
Catalonia	Cataloniile	ro-noun-f-ie	NOUN	Number=Plur;Definite=Def		ile		Cataloni
Catalonia	Cataloniei	ro-noun-f-ie	NOUN	Number=Plur;Definite=Def		ei		Cataloni
Catalonia	Cataloniilor	ro-noun-f-ie	NOUN	Number=Plur;Definite=Def		ilor		Cataloni
Catalonia	Catalonia	ro-noun-f-ie	NOUN	Case=Nom;Number=Plur;Definite=Def		a		Cataloni
Catalonia	Cataloniile	ro-noun-f-ie	NOUN	Case=Nom;Number=Plur;Definite=Def		ile		Cataloni
carne	carne	ro-noun-f-e-uri	NOUN	Case=Voc;Number=Sing		e		carn
carne	carnea	ro-noun-f-e-uri	NOUN	Number=Plur;Definite=Def		ea		carn
carne	carnea	ro-noun-f-e-uri	NOUN	Case=Nom;Number=Plur;Definite=Def		ea		carn
Africa	Africile	ro-noun-f-ă-i	NOUN	Number=Plur;Definite=Def		ile		Afric
Africa	Africilor	ro-noun-f-ă-i	NOUN	Case=Voc;Number=Sing		ilor		Afric
Antarctica	Antarcticile	ro-noun-f-ă-i	NOUN	Number=Plur;Definite=Def		ile		Antarctic
Antarctica	Antarcticilor	ro-noun-f-ă-i	NOUN	Case=Voc;Number=Sing		ilor		Antarctic
Asia	Asie	ro-noun-f-ie	NOUN	Case=Voc;Number=Sing		e		Asi
Asia	Asia	ro-noun-f-ie	NOUN	Number=Plur;Definite=Def		a		Asi
Asia	Asiile	ro-noun-f-ie	NOUN	Number=Plur;Definite=Def		ile		Asi
Asia	Asiei	ro-noun-f-ie	NOUN	Number=Plur;Definite=Def		ei		Asi
Asia	Asiilor	ro-noun-f-ie	NOUN	Number=Plur;Definite=Def		ilor		Asi
Asia	Asia	ro-noun-f-ie	NOUN	Case=Nom;Number=Plur;Definite=Def		a		Asi
Asia	Asiile	ro-noun-f-ie	NOUN	Case=Nom;Number=Plur;Definite=Def		ile		Asi
