Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
guide	guide	sga-decl-ia-fem	NOUN	Number=Sing;Definite=Ind		e		guid
guide	guidi	sga-decl-ia-fem	NOUN	Number=Plur;Case=Voc		i		guid
guide	guidi	sga-decl-ia-fem	NOUN	Number=Sing;Definite=Def		i		guid
guide	guide	sga-decl-ia-fem	NOUN	Number=Plur;Definite=Def		e		guid
guide	guidi	sga-decl-ia-fem	NOUN	Number=Plur;Definite=Def		i		guid
guide	guidi	sga-decl-ia-fem	NOUN	Number=Sing;Case=Voc		i		guid
guide	guide	sga-decl-ia-fem	NOUN	Number=Plur;Case=Voc		e		guid
fine	fine	sga-decl-ia-fem	NOUN	Number=Sing;Definite=Ind		e		fin
fine	fini	sga-decl-ia-fem	NOUN	Number=Plur;Case=Voc		i		fin
fine	fini	sga-decl-ia-fem	NOUN	Number=Sing;Definite=Def		i		fin
fine	fine	sga-decl-ia-fem	NOUN	Number=Plur;Definite=Def		e		fin
fine	fini	sga-decl-ia-fem	NOUN	Number=Plur;Definite=Def		i		fin
fine	fini	sga-decl-ia-fem	NOUN	Number=Sing;Case=Voc		i		fin
fine	fine	sga-decl-ia-fem	NOUN	Number=Plur;Case=Voc		e		fin
aile	aile	sga-decl-adj-io-ia	ADJ	Case=Nom;Number=Sing		e		ail
aile	aili	sga-decl-adj-io-ia	ADJ	Case=Ill;Number=Sing		i		ail
aile	aile	sga-decl-adj-io-ia	ADJ	Case=Gen;Number=Sing		e		ail
aile	aili	sga-decl-adj-io-ia	ADJ	Case=Gen;Number=Sing		i		ail
aile	aili	sga-decl-adj-io-ia	ADJ	Case=Ine;Number=Sing		i		ail
aile	aile	sga-decl-adj-io-ia	ADJ	Case=Ela;Number=Sing		e		ail
aile	ailiu	sga-decl-adj-io-ia	ADJ	Case=Ade;Number=Sing		iu		ail
aile	aili	sga-decl-adj-io-ia	ADJ	Case=Abl;Number=Sing		i		ail
aile	aili	sga-decl-adj-io-ia	ADJ	Case=Ess;Number=Sing		i		ail
-e	e	sga-decl-ia-fem	NOUN	Number=Sing;Definite=Ind		e		
-e	i	sga-decl-ia-fem	NOUN	Number=Plur;Case=Voc		i		
-e	i	sga-decl-ia-fem	NOUN	Number=Sing;Definite=Def		i		
-e	e	sga-decl-ia-fem	NOUN	Number=Plur;Definite=Def		e		
-e	i	sga-decl-ia-fem	NOUN	Number=Plur;Definite=Def		i		
-e	i	sga-decl-ia-fem	NOUN	Number=Sing;Case=Voc		i		
-e	e	sga-decl-ia-fem	NOUN	Number=Plur;Case=Voc		e		
caille	caille	sga-decl-io-neut	NOUN	Case=Nom;Gender=Masc;Number=Sing		e		caill
caille	caille	sga-decl-io-neut	NOUN	Case=Nom;Gender=Fem;Number=Sing		e		caill
caille	caille	sga-decl-io-neut	NOUN	Gender=Neut;Number=Sing		e		caill
caille	caille	sga-decl-io-neut	NOUN	Case=Acc;Gender=Masc;Number=Sing		e		caill
caille	caille	sga-decl-io-neut	NOUN	Case=Gen;Gender=Masc;Number=Plur		e		caill
caille	cailli	sga-decl-io-neut	NOUN	Gender=Neut;Number=Sing		i		caill
caille	caille	sga-decl-io-neut	NOUN	Case=Dat;Gender=Neut;Number=Sing		e		caill
caille	caille	sga-decl-io-neut	NOUN	Case=Dat;Gender=Fem;Number=Sing		e		caill
caille	cailliu	sga-decl-io-neut	NOUN	Case=Dat;Gender=Neut;Number=Sing		iu		caill
caille	caillib	sga-decl-io-neut	NOUN	Case=Nom;Gender=Masc;Number=Plur		ib		caill
caille	caillib	sga-decl-io-neut	NOUN	Case=Gen;Gender=Fem;Number=Sing		ib		caill
ithe	ithe	sga-decl-ia-fem	NOUN	Number=Sing;Definite=Ind		e		ith
ithe	ithi	sga-decl-ia-fem	NOUN	Number=Plur;Case=Voc		i		ith
ithe	ithi	sga-decl-ia-fem	NOUN	Number=Sing;Definite=Def		i		ith
ithe	ithe	sga-decl-ia-fem	NOUN	Number=Plur;Definite=Def		e		ith
ithe	ithi	sga-decl-ia-fem	NOUN	Number=Plur;Definite=Def		i		ith
ithe	ithi	sga-decl-ia-fem	NOUN	Number=Sing;Case=Voc		i		ith
ithe	ithe	sga-decl-ia-fem	NOUN	Number=Plur;Case=Voc		e		ith
bile	bile	sga-decl-io-masc	NOUN	Definite=Ind;Case=Nom;Number=Sing		e		bil
bile	bile	sga-decl-io-masc	NOUN	Definite=Def;Case=Nom;Number=Sing		e		bil
bile	bili	sga-decl-io-masc	NOUN	Definite=Ind;Case=Nom;Number=Plur		i		bil
bile	bili	sga-decl-io-masc	NOUN	Definite=Def;Case=Nom;Number=Plur		i		bil
bile	biliu	sga-decl-io-masc	NOUN	Definite=Def;Case=Acc;Number=Sing		iu		bil
bile	bile	sga-decl-io-masc	NOUN	Definite=Ind;Case=Nom;Number=Plur		e		bil
bile	bile	sga-decl-io-masc	NOUN	Definite=Def;Case=Nom;Number=Plur		e		bil
bile	biliu	sga-decl-io-masc	NOUN	Definite=Ind;Case=Nom;Number=Sing		iu		bil
bile	bili	sga-decl-io-masc	NOUN	Definite=Def;Case=Dat;Number=Sing		i		bil
bile	bile	sga-decl-io-masc	NOUN	Definite=Ind;Case=Dat;Number=Plur		e		bil
bile	bile	sga-decl-io-masc	NOUN	Definite=Def;Case=Dat;Number=Plur		e		bil
bile	biliu	sga-decl-io-masc	NOUN	Definite=Ind;Case=Gen;Number=Sing		iu		bil
bile	bilib	sga-decl-io-masc	NOUN	Definite=Def;Case=Gen;Number=Sing		ib		bil
bile	bilib	sga-decl-io-masc	NOUN	Definite=Ind;Case=Gen;Number=Plur		ib		bil
briste	briste	sga-decl-adj-io-ia	ADJ	Case=Nom;Number=Sing		e		brist
briste	bristi	sga-decl-adj-io-ia	ADJ	Case=Ill;Number=Sing		i		brist
briste	briste	sga-decl-adj-io-ia	ADJ	Case=Gen;Number=Sing		e		brist
briste	bristi	sga-decl-adj-io-ia	ADJ	Case=Gen;Number=Sing		i		brist
briste	bristi	sga-decl-adj-io-ia	ADJ	Case=Ine;Number=Sing		i		brist
briste	briste	sga-decl-adj-io-ia	ADJ	Case=Ela;Number=Sing		e		brist
briste	bristiu	sga-decl-adj-io-ia	ADJ	Case=Ade;Number=Sing		iu		brist
briste	bristi	sga-decl-adj-io-ia	ADJ	Case=Abl;Number=Sing		i		brist
briste	bristi	sga-decl-adj-io-ia	ADJ	Case=Ess;Number=Sing		i		brist
céile	céile	sga-decl-io-masc	NOUN	Definite=Ind;Case=Nom;Number=Sing		e		céil
céile	céile	sga-decl-io-masc	NOUN	Definite=Def;Case=Nom;Number=Sing		e		céil
céile	céili	sga-decl-io-masc	NOUN	Definite=Ind;Case=Nom;Number=Plur		i		céil
céile	céili	sga-decl-io-masc	NOUN	Definite=Def;Case=Nom;Number=Plur		i		céil
céile	céiliu	sga-decl-io-masc	NOUN	Definite=Def;Case=Acc;Number=Sing		iu		céil
céile	céile	sga-decl-io-masc	NOUN	Definite=Ind;Case=Nom;Number=Plur		e		céil
céile	céile	sga-decl-io-masc	NOUN	Definite=Def;Case=Nom;Number=Plur		e		céil
céile	céiliu	sga-decl-io-masc	NOUN	Definite=Ind;Case=Nom;Number=Sing		iu		céil
céile	céili	sga-decl-io-masc	NOUN	Definite=Def;Case=Dat;Number=Sing		i		céil
céile	céile	sga-decl-io-masc	NOUN	Definite=Ind;Case=Dat;Number=Plur		e		céil
céile	céile	sga-decl-io-masc	NOUN	Definite=Def;Case=Dat;Number=Plur		e		céil
céile	céiliu	sga-decl-io-masc	NOUN	Definite=Ind;Case=Gen;Number=Sing		iu		céil
céile	céilib	sga-decl-io-masc	NOUN	Definite=Def;Case=Gen;Number=Sing		ib		céil
céile	céilib	sga-decl-io-masc	NOUN	Definite=Ind;Case=Gen;Number=Plur		ib		céil
cuit	coto	sga-decl-i	NOUN	VerbForm=Inf		o		cot
huile	huile	sga-decl-adj-io-ia	ADJ	Case=Nom;Number=Sing		e		huil
huile	huili	sga-decl-adj-io-ia	ADJ	Case=Ill;Number=Sing		i		huil
huile	huile	sga-decl-adj-io-ia	ADJ	Case=Gen;Number=Sing		e		huil
huile	huili	sga-decl-adj-io-ia	ADJ	Case=Gen;Number=Sing		i		huil
huile	huili	sga-decl-adj-io-ia	ADJ	Case=Ine;Number=Sing		i		huil
huile	huile	sga-decl-adj-io-ia	ADJ	Case=Ela;Number=Sing		e		huil
