Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
seme	seme	sl-decl-noun-n-n	NOUN	Case=Nom;Number=Sing		e		sem
seme	semeni	sl-decl-noun-n-n	NOUN	Case=Nom;Number=Dual		eni		sem
seme	semena	sl-decl-noun-n-n	NOUN	Case=Nom;Number=Plur		ena		sem
seme	semen	sl-decl-noun-n-n	NOUN	Case=Gen;Number=Plur		en		sem
seme	semenu	sl-decl-noun-n-n	NOUN	Case=Loc;Number=Sing		enu		sem
seme	semenoma	sl-decl-noun-n-n	NOUN	Case=Ins;Number=Dual		enoma		sem
seme	semenom	sl-decl-noun-n-n	NOUN	Case=Ins;Number=Sing		enom		sem
seme	semenih	sl-decl-noun-n-n	NOUN	Case=Loc;Number=Plur		enih		sem
pero	peresi	sl-decl-noun-n-s	NOUN	Case=Nom;Number=Dual		esi		per
pero	peresa	sl-decl-noun-n-s	NOUN	Case=Nom;Number=Plur		esa		per
pero	peres	sl-decl-noun-n-s	NOUN	Case=Gen;Number=Plur		es		per
pero	peresu	sl-decl-noun-n-s	NOUN	Case=Loc;Number=Sing		esu		per
pero	peresoma	sl-decl-noun-n-s	NOUN	Case=Ins;Number=Dual		esoma		per
pero	peresom	sl-decl-noun-n-s	NOUN	Case=Ins;Number=Sing		esom		per
pero	peresih	sl-decl-noun-n-s	NOUN	Case=Loc;Number=Plur		esih		per
slovo	slovesi	sl-decl-noun-n-s	NOUN	Case=Nom;Number=Dual		esi		slov
slovo	slovesa	sl-decl-noun-n-s	NOUN	Case=Nom;Number=Plur		esa		slov
slovo	sloves	sl-decl-noun-n-s	NOUN	Case=Gen;Number=Plur		es		slov
slovo	slovesu	sl-decl-noun-n-s	NOUN	Case=Loc;Number=Sing		esu		slov
slovo	slovesoma	sl-decl-noun-n-s	NOUN	Case=Ins;Number=Dual		esoma		slov
slovo	slovesom	sl-decl-noun-n-s	NOUN	Case=Ins;Number=Sing		esom		slov
slovo	slovesih	sl-decl-noun-n-s	NOUN	Case=Loc;Number=Plur		esih		slov
ime	ime	sl-decl-noun-n-n	NOUN	Case=Nom;Number=Sing		e		im
ime	imeni	sl-decl-noun-n-n	NOUN	Case=Nom;Number=Dual		eni		im
ime	imena	sl-decl-noun-n-n	NOUN	Case=Nom;Number=Plur		ena		im
ime	imen	sl-decl-noun-n-n	NOUN	Case=Gen;Number=Plur		en		im
ime	imenu	sl-decl-noun-n-n	NOUN	Case=Loc;Number=Sing		enu		im
ime	imenoma	sl-decl-noun-n-n	NOUN	Case=Ins;Number=Dual		enoma		im
ime	imenom	sl-decl-noun-n-n	NOUN	Case=Ins;Number=Sing		enom		im
ime	imenih	sl-decl-noun-n-n	NOUN	Case=Loc;Number=Plur		enih		im
jagnje	jagnje	sl-decl-noun-n-t	NOUN	Case=Nom;Number=Sing		e		jagnj
jagnje	jagnjeti	sl-decl-noun-n-t	NOUN	Case=Nom;Number=Dual		eti		jagnj
jagnje	jagnjeta	sl-decl-noun-n-t	NOUN	Case=Nom;Number=Plur		eta		jagnj
jagnje	jagnjet	sl-decl-noun-n-t	NOUN	Case=Gen;Number=Plur		et		jagnj
jagnje	jagnjetu	sl-decl-noun-n-t	NOUN	Case=Loc;Number=Sing		etu		jagnj
jagnje	jagnjetoma	sl-decl-noun-n-t	NOUN	Case=Ins;Number=Dual		etoma		jagnj
jagnje	jagnjetom	sl-decl-noun-n-t	NOUN	Case=Ins;Number=Sing		etom		jagnj
jagnje	jagnjetih	sl-decl-noun-n-t	NOUN	Case=Loc;Number=Plur		etih		jagnj
kolo	kolesi	sl-decl-noun-n-s	NOUN	Case=Nom;Number=Dual		esi		kol
kolo	kolesa	sl-decl-noun-n-s	NOUN	Case=Nom;Number=Plur		esa		kol
kolo	koles	sl-decl-noun-n-s	NOUN	Case=Gen;Number=Plur		es		kol
kolo	kolesu	sl-decl-noun-n-s	NOUN	Case=Loc;Number=Sing		esu		kol
kolo	kolesoma	sl-decl-noun-n-s	NOUN	Case=Ins;Number=Dual		esoma		kol
kolo	kolesom	sl-decl-noun-n-s	NOUN	Case=Ins;Number=Sing		esom		kol
kolo	kolesih	sl-decl-noun-n-s	NOUN	Case=Loc;Number=Plur		esih		kol
tele	tele	sl-decl-noun-n-t	NOUN	Case=Nom;Number=Sing		e		tel
tele	teleti	sl-decl-noun-n-t	NOUN	Case=Nom;Number=Dual		eti		tel
tele	teleta	sl-decl-noun-n-t	NOUN	Case=Nom;Number=Plur		eta		tel
tele	telet	sl-decl-noun-n-t	NOUN	Case=Gen;Number=Plur		et		tel
tele	teletu	sl-decl-noun-n-t	NOUN	Case=Loc;Number=Sing		etu		tel
tele	teletoma	sl-decl-noun-n-t	NOUN	Case=Ins;Number=Dual		etoma		tel
tele	teletom	sl-decl-noun-n-t	NOUN	Case=Ins;Number=Sing		etom		tel
tele	teletih	sl-decl-noun-n-t	NOUN	Case=Loc;Number=Plur		etih		tel
telo	telesi	sl-decl-noun-n-s	NOUN	Case=Nom;Number=Dual		esi		tel
telo	telesa	sl-decl-noun-n-s	NOUN	Case=Nom;Number=Plur		esa		tel
telo	teles	sl-decl-noun-n-s	NOUN	Case=Gen;Number=Plur		es		tel
telo	telesu	sl-decl-noun-n-s	NOUN	Case=Loc;Number=Sing		esu		tel
telo	telesoma	sl-decl-noun-n-s	NOUN	Case=Ins;Number=Dual		esoma		tel
telo	telesom	sl-decl-noun-n-s	NOUN	Case=Ins;Number=Sing		esom		tel
telo	telesih	sl-decl-noun-n-s	NOUN	Case=Loc;Number=Plur		esih		tel
vreme	vreme	sl-decl-noun-n-n	NOUN	Case=Nom;Number=Sing		e		vrem
vreme	vremeni	sl-decl-noun-n-n	NOUN	Case=Nom;Number=Dual		eni		vrem
vreme	vremena	sl-decl-noun-n-n	NOUN	Case=Nom;Number=Plur		ena		vrem
vreme	vremen	sl-decl-noun-n-n	NOUN	Case=Gen;Number=Plur		en		vrem
vreme	vremenu	sl-decl-noun-n-n	NOUN	Case=Loc;Number=Sing		enu		vrem
vreme	vremenoma	sl-decl-noun-n-n	NOUN	Case=Ins;Number=Dual		enoma		vrem
vreme	vremenom	sl-decl-noun-n-n	NOUN	Case=Ins;Number=Sing		enom		vrem
vreme	vremenih	sl-decl-noun-n-n	NOUN	Case=Loc;Number=Plur		enih		vrem
prase	prase	sl-decl-noun-n-t	NOUN	Case=Nom;Number=Sing		e		pras
prase	praseti	sl-decl-noun-n-t	NOUN	Case=Nom;Number=Dual		eti		pras
prase	praseta	sl-decl-noun-n-t	NOUN	Case=Nom;Number=Plur		eta		pras
prase	praset	sl-decl-noun-n-t	NOUN	Case=Gen;Number=Plur		et		pras
prase	prasetu	sl-decl-noun-n-t	NOUN	Case=Loc;Number=Sing		etu		pras
prase	prasetoma	sl-decl-noun-n-t	NOUN	Case=Ins;Number=Dual		etoma		pras
prase	prasetom	sl-decl-noun-n-t	NOUN	Case=Ins;Number=Sing		etom		pras
prase	prasetih	sl-decl-noun-n-t	NOUN	Case=Loc;Number=Plur		etih		pras
drevo	drevesi	sl-decl-noun-n-s	NOUN	Case=Nom;Number=Dual		esi		drev
drevo	drevesa	sl-decl-noun-n-s	NOUN	Case=Nom;Number=Plur		esa		drev
drevo	dreves	sl-decl-noun-n-s	NOUN	Case=Gen;Number=Plur		es		drev
drevo	drevesu	sl-decl-noun-n-s	NOUN	Case=Loc;Number=Sing		esu		drev
drevo	drevesoma	sl-decl-noun-n-s	NOUN	Case=Ins;Number=Dual		esoma		drev
drevo	drevesom	sl-decl-noun-n-s	NOUN	Case=Ins;Number=Sing		esom		drev
drevo	drevesih	sl-decl-noun-n-s	NOUN	Case=Loc;Number=Plur		esih		drev
dekle	dekle	sl-decl-noun-n-t	NOUN	Case=Nom;Number=Sing		e		dekl
dekle	dekleti	sl-decl-noun-n-t	NOUN	Case=Nom;Number=Dual		eti		dekl
dekle	dekleta	sl-decl-noun-n-t	NOUN	Case=Nom;Number=Plur		eta		dekl
dekle	deklet	sl-decl-noun-n-t	NOUN	Case=Gen;Number=Plur		et		dekl
dekle	dekletu	sl-decl-noun-n-t	NOUN	Case=Loc;Number=Sing		etu		dekl
dekle	dekletoma	sl-decl-noun-n-t	NOUN	Case=Ins;Number=Dual		etoma		dekl
dekle	dekletom	sl-decl-noun-n-t	NOUN	Case=Ins;Number=Sing		etom		dekl
dekle	dekletih	sl-decl-noun-n-t	NOUN	Case=Loc;Number=Plur		etih		dekl
oje	ojesi	sl-decl-noun-n-s	NOUN	Case=Nom;Number=Dual		esi		oj
oje	ojesa	sl-decl-noun-n-s	NOUN	Case=Nom;Number=Plur		esa		oj
oje	ojes	sl-decl-noun-n-s	NOUN	Case=Gen;Number=Plur		es		oj
oje	ojesu	sl-decl-noun-n-s	NOUN	Case=Loc;Number=Sing		esu		oj
oje	ojesoma	sl-decl-noun-n-s	NOUN	Case=Ins;Number=Dual		esoma		oj
oje	ojesom	sl-decl-noun-n-s	NOUN	Case=Ins;Number=Sing		esom		oj
oje	ojesih	sl-decl-noun-n-s	NOUN	Case=Loc;Number=Plur		esih		oj
črevo	črevesi	sl-decl-noun-n-s	NOUN	Case=Nom;Number=Dual		esi		črev
črevo	črevesa	sl-decl-noun-n-s	NOUN	Case=Nom;Number=Plur		esa		črev
črevo	čreves	sl-decl-noun-n-s	NOUN	Case=Gen;Number=Plur		es		črev
črevo	črevesu	sl-decl-noun-n-s	NOUN	Case=Loc;Number=Sing		esu		črev
črevo	črevesoma	sl-decl-noun-n-s	NOUN	Case=Ins;Number=Dual		esoma		črev
črevo	črevesom	sl-decl-noun-n-s	NOUN	Case=Ins;Number=Sing		esom		črev
črevo	črevesih	sl-decl-noun-n-s	NOUN	Case=Loc;Number=Plur		esih		črev
žrebe	žrebe	sl-decl-noun-n-t	NOUN	Case=Nom;Number=Sing		e		žreb
žrebe	žrebeti	sl-decl-noun-n-t	NOUN	Case=Nom;Number=Dual		eti		žreb
žrebe	žrebeta	sl-decl-noun-n-t	NOUN	Case=Nom;Number=Plur		eta		žreb
žrebe	žrebet	sl-decl-noun-n-t	NOUN	Case=Gen;Number=Plur		et		žreb
žrebe	žrebetu	sl-decl-noun-n-t	NOUN	Case=Loc;Number=Sing		etu		žreb
žrebe	žrebetoma	sl-decl-noun-n-t	NOUN	Case=Ins;Number=Dual		etoma		žreb
žrebe	žrebetom	sl-decl-noun-n-t	NOUN	Case=Ins;Number=Sing		etom		žreb
žrebe	žrebetih	sl-decl-noun-n-t	NOUN	Case=Loc;Number=Plur		etih		žreb
