Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
fe	fej	sq-noun-f	NOUN	Case=Nom;Number=Sing;Definite=Def				fej
fe	feja	sq-noun-f	NOUN	Case=Nom;Number=Sing;Definite=Def				feja
fe	fejt	sq-noun-f	NOUN	Case=Nom;Number=Plur;Definite=Def		t		fej
fe	feje	sq-noun-f	NOUN	Case=Gen;Number=Sing		e		fej
fe	fejve	sq-noun-f	NOUN	Case=Gen;Number=Plur		ve		fej
fe	fejsh	sq-noun-f	NOUN	Number=Plur		sh		fej
mace	mace	sq-noun-f	NOUN	Case=Nom;Number=Sing;Definite=Def				mace
mace	macja	sq-noun-f	NOUN	Case=Nom;Number=Sing;Definite=Def				macja
mace	macet	sq-noun-f	NOUN	Case=Nom;Number=Plur;Definite=Def		t		mace
mace	mace	sq-noun-f	NOUN	Case=Gen;Number=Sing		e		mac
mace	maceve	sq-noun-f	NOUN	Case=Gen;Number=Plur		ve		mace
mace	macesh	sq-noun-f	NOUN	Number=Plur		sh		mace
mas	matur	sq-conj-irr	VERB	AUX		ur		mat
mas	duke matur	sq-conj-irr	VERB	AUX;Tense=Pres	duke 	ur		mat
mas	duke pasë matur	sq-conj-irr	VERB	AUX;Tense=Past	duke pasë 	ur		mat
mas	për të matur	sq-conj-irr	VERB	VerbForm=Inf	për të 	ur		mat
mas	mas	sq-conj-irr	VERB	Person=3;Number=Sing;Mood=Ind;Tense=Pres				mas
mas	masim	sq-conj-irr	VERB	Person=1;Number=Plur;Mood=Ind;Tense=Pres		im		mas
mas	masni	sq-conj-irr	VERB	Person=2;Number=Plur;Mood=Ind;Tense=Pres		ni		mas
mas	masin	sq-conj-irr	VERB	Person=3;Number=Plur;Mood=Ind;Tense=Pres		in		mas
mas	masja	sq-conj-irr	VERB	Person=1;Number=Sing;Mood=Ind;Aspect=Imp		ja		mas
mas	masje	sq-conj-irr	VERB	Person=2;Number=Sing;Mood=Ind;Aspect=Imp		je		mas
mas	maste	sq-conj-irr	VERB	Person=3;Number=Sing;Mood=Ind;Aspect=Imp		te		mas
mas	masnim	sq-conj-irr	VERB	Person=1;Number=Plur;Mood=Ind;Aspect=Imp		nim		mas
mas	masnit	sq-conj-irr	VERB	Person=2;Number=Plur;Mood=Ind;Aspect=Imp		nit		mas
mas	masnin	sq-conj-irr	VERB	Person=3;Number=Plur;Mood=Ind;Aspect=Imp		nin		mas
mas	mata	sq-conj-irr	VERB	Person=1;Number=Sing;Mood=Ind;Tense=Past		a		mat
mas	mate	sq-conj-irr	VERB	Person=2;Number=Sing;Mood=Ind;Tense=Past		e		mat
mas	mati	sq-conj-irr	VERB	Person=3;Number=Sing;Mood=Ind;Tense=Past		i		mat
mas	matëm	sq-conj-irr	VERB	Person=1;Number=Plur;Mood=Ind;Tense=Past		ëm		mat
mas	matët	sq-conj-irr	VERB	Person=2;Number=Plur;Mood=Ind;Tense=Past		ët		mat
mas	matën	sq-conj-irr	VERB	Person=3;Number=Plur;Mood=Ind;Tense=Past		ën		mat
mas	kam matur	sq-conj-irr	VERB	Person=1;Number=Sing;Mood=Ind	kam 	ur		mat
mas	ke matur	sq-conj-irr	VERB	Person=2;Number=Sing;Mood=Ind	ke 	ur		mat
mas	ka matur	sq-conj-irr	VERB	Person=3;Number=Sing;Mood=Ind	ka 	ur		mat
mas	kemi matur	sq-conj-irr	VERB	Person=1;Number=Plur;Mood=Ind	kemi 	ur		mat
mas	keni matur	sq-conj-irr	VERB	Person=2;Number=Plur;Mood=Ind	keni 	ur		mat
mas	kanë matur	sq-conj-irr	VERB	Person=3;Number=Plur;Mood=Ind	kanë 	ur		mat
mas	pata matur	sq-conj-irr	VERB	Person=1;Number=Sing;Mood=Ind;Tense=Past	pata 	ur		mat
mas	pate matur	sq-conj-irr	VERB	Person=2;Number=Sing;Mood=Ind;Tense=Past	pate 	ur		mat
mas	pati matur	sq-conj-irr	VERB	Person=3;Number=Sing;Mood=Ind;Tense=Past	pati 	ur		mat
mas	patëm matur	sq-conj-irr	VERB	Person=1;Number=Plur;Mood=Ind;Tense=Past	patëm 	ur		mat
mas	patët matur	sq-conj-irr	VERB	Person=2;Number=Plur;Mood=Ind	patët 	ur		mat
mas	patën matur	sq-conj-irr	VERB	Person=3;Number=Plur;Mood=Ind;Tense=Past	patën 	ur		mat
mas	do të mas	sq-conj-irr	VERB	Person=1;Number=Sing;Mood=Ind;Tense=Fut	do të 			
mas	do të masësh	sq-conj-irr	VERB	Person=2;Number=Sing;Mood=Ind;Tense=Fut	do të 	ësh		mas
mas	do të masë	sq-conj-irr	VERB	Person=3;Number=Sing;Mood=Ind;Tense=Fut	do të 	ë		mas
mas	do të masim	sq-conj-irr	VERB	Person=1;Number=Plur;Mood=Ind;Tense=Fut	do të 	im		mas
mas	do të masni	sq-conj-irr	VERB	Person=2;Number=Plur;Mood=Ind;Tense=Fut	do të 	ni		mas
mas	do të masin	sq-conj-irr	VERB	Person=3;Number=Plur;Mood=Ind;Tense=Fut	do të 	in		mas
mas	do të kem matur	sq-conj-irr	VERB	Person=1;Number=Sing;Mood=Ind;Tense=Fut	do të kem 	ur		mat
mas	do të kesh matur	sq-conj-irr	VERB	Person=2;Number=Sing;Mood=Ind;Tense=Fut	do të kesh 	ur		mat
mas	do të ketë matur	sq-conj-irr	VERB	Person=3;Number=Sing;Mood=Ind;Tense=Fut	do të ketë 	ur		mat
mas	do të kemi matur	sq-conj-irr	VERB	Person=1;Number=Plur;Mood=Ind;Tense=Fut	do të kemi 	ur		mat
mas	do të keni matur	sq-conj-irr	VERB	Person=2;Number=Plur;Mood=Ind;Tense=Fut	do të keni 	ur		mat
mas	do të kenë matur	sq-conj-irr	VERB	Person=3;Number=Plur;Mood=Ind;Tense=Fut	do të kenë 	ur		mat
mas	të mas	sq-conj-irr	VERB	Person=1;Number=Sing;Mood=Sub;Tense=Pres	të 			
mas	të masësh	sq-conj-irr	VERB	Person=2;Number=Sing;Mood=Sub;Tense=Pres	të 	ësh		mas
mas	të masë	sq-conj-irr	VERB	Person=3;Number=Sing;Mood=Sub;Tense=Pres	të 	ë		mas
mas	të masim	sq-conj-irr	VERB	Person=1;Number=Plur;Mood=Sub;Tense=Pres	të 	im		mas
mas	të masni	sq-conj-irr	VERB	Person=2;Number=Plur;Mood=Sub;Tense=Pres	të 	ni		mas
mas	të masin	sq-conj-irr	VERB	Person=3;Number=Plur;Mood=Sub;Tense=Pres	të 	in		mas
mas	të masja	sq-conj-irr	VERB	Person=1;Number=Sing;Mood=Sub;Tense=Past	të 	ja		mas
mas	të masje	sq-conj-irr	VERB	Person=2;Number=Sing;Mood=Sub;Tense=Past	të 	je		mas
mas	të maste	sq-conj-irr	VERB	Person=3;Number=Sing;Mood=Sub;Tense=Past	të 	te		mas
mas	të masnim	sq-conj-irr	VERB	Person=1;Number=Plur;Mood=Sub;Tense=Past	të 	nim		mas
mas	të masnit	sq-conj-irr	VERB	Person=2;Number=Plur;Mood=Sub;Tense=Past	të 	nit		mas
mas	të masnin	sq-conj-irr	VERB	Person=3;Number=Plur;Mood=Sub;Tense=Past	të 	nin		mas
mas	të kem matur	sq-conj-irr	VERB	Person=1;Number=Sing;Mood=Sub	të kem 	ur		mat
mas	të kesh matur	sq-conj-irr	VERB	Person=2;Number=Sing;Mood=Sub	të kesh 	ur		mat
mas	të ketë matur	sq-conj-irr	VERB	Person=3;Number=Sing;Mood=Sub	të ketë 	ur		mat
mas	të kemi matur	sq-conj-irr	VERB	Person=1;Number=Plur;Mood=Sub	të kemi 	ur		mat
mas	të keni matur	sq-conj-irr	VERB	Person=2;Number=Plur;Mood=Sub	të keni 	ur		mat
mas	të kenë matur	sq-conj-irr	VERB	Person=3;Number=Plur;Mood=Sub	të kenë 	ur		mat
mas	të kisha matur	sq-conj-irr	VERB	Person=1;Number=Sing;Mood=Sub;Tense=Past	të kisha 	ur		mat
mas	të kishe matur	sq-conj-irr	VERB	Person=2;Number=Sing;Mood=Sub;Tense=Past	të kishe 	ur		mat
mas	të kishte matur	sq-conj-irr	VERB	Person=3;Number=Sing;Mood=Sub;Tense=Past	të kishte 	ur		mat
mas	të kishim matur	sq-conj-irr	VERB	Person=1;Number=Plur;Mood=Sub;Tense=Past	të kishim 	ur		mat
mas	të kishit matur	sq-conj-irr	VERB	Person=2;Number=Plur;Mood=Sub	të kishit 	ur		mat
mas	të kishin matur	sq-conj-irr	VERB	Person=3;Number=Plur;Mood=Sub;Tense=Past	të kishin 	ur		mat
mas	do të masja	sq-conj-irr	VERB	Person=1;Number=Sing;Mood=Cnd;Tense=Pres	do të 	ja		mas
mas	do të masje	sq-conj-irr	VERB	Person=2;Number=Sing;Mood=Cnd;Tense=Pres	do të 	je		mas
mas	do të maste	sq-conj-irr	VERB	Person=3;Number=Sing;Mood=Cnd;Tense=Pres	do të 	te		mas
mas	do të masnim	sq-conj-irr	VERB	Person=1;Number=Plur;Mood=Cnd;Tense=Pres	do të 	nim		mas
mas	do të masnit	sq-conj-irr	VERB	Person=2;Number=Plur;Mood=Cnd;Tense=Pres	do të 	nit		mas
mas	do të masnin	sq-conj-irr	VERB	Person=3;Number=Plur;Mood=Cnd;Tense=Pres	do të 	nin		mas
mas	do të kisha matur	sq-conj-irr	VERB	Person=1;Number=Sing;Mood=Cnd	do të kisha 	ur		mat
mas	do të kishe matur	sq-conj-irr	VERB	Person=2;Number=Sing;Mood=Cnd	do të kishe 	ur		mat
mas	do të kishte matur	sq-conj-irr	VERB	Person=3;Number=Sing;Mood=Cnd	do të kishte 	ur		mat
mas	do të kishim matur	sq-conj-irr	VERB	Person=1;Number=Plur;Mood=Cnd	do të kishim 	ur		mat
mas	do të kishit matur	sq-conj-irr	VERB	Person=2;Number=Plur;Mood=Cnd	do të kishit 	ur		mat
mas	do të kishin matur	sq-conj-irr	VERB	Person=3;Number=Plur;Mood=Cnd	do të kishin 	ur		mat
mas	massha	sq-conj-irr	VERB	Person=1;Number=Sing;Mood=Opt;Tense=Pres		sha		mas
mas	massh	sq-conj-irr	VERB	Person=2;Number=Sing;Mood=Opt;Tense=Pres		sh		mas
mas	mastë	sq-conj-irr	VERB	Person=3;Number=Sing;Mood=Opt;Tense=Pres		të		mas
mas	masshim	sq-conj-irr	VERB	Person=1;Number=Plur;Mood=Opt;Tense=Pres		shim		mas
mas	masshit	sq-conj-irr	VERB	Person=2;Number=Plur;Mood=Opt;Tense=Pres		shit		mas
mas	masshin	sq-conj-irr	VERB	Person=3;Number=Plur;Mood=Opt;Tense=Pres		shin		mas
mas	paça matur	sq-conj-irr	VERB	Person=1;Number=Sing;Mood=Opt	paça 	ur		mat
