Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
abscissa	abscissa	sv-infl-noun-c-or	NOUN	Definite=Ind;Case=Nom;Number=Sing		a		absciss
abscissa	abscissan	sv-infl-noun-c-or	NOUN	Definite=Def;Case=Nom;Number=Sing		an		absciss
abscissa	abscissor	sv-infl-noun-c-or	NOUN	Definite=Ind;Case=Nom;Number=Plur		or		absciss
abscissa	abscissorna	sv-infl-noun-c-or	NOUN	Definite=Def;Case=Nom;Number=Plur		orna		absciss
abscissa	abscissas	sv-infl-noun-c-or	NOUN	Definite=Ind;Case=Gen;Number=Sing		as		absciss
abscissa	abscissans	sv-infl-noun-c-or	NOUN	Definite=Def;Case=Gen;Number=Sing		ans		absciss
abscissa	abscissors	sv-infl-noun-c-or	NOUN	Definite=Ind;Case=Gen;Number=Plur		ors		absciss
abscissa	abscissornas	sv-infl-noun-c-or	NOUN	Definite=Def;Case=Gen;Number=Plur		ornas		absciss
vecka	vecka	sv-infl-noun-c-or	NOUN	Definite=Ind;Case=Nom;Number=Sing		a		veck
vecka	veckan	sv-infl-noun-c-or	NOUN	Definite=Def;Case=Nom;Number=Sing		an		veck
vecka	veckor	sv-infl-noun-c-or	NOUN	Definite=Ind;Case=Nom;Number=Plur		or		veck
vecka	veckorna	sv-infl-noun-c-or	NOUN	Definite=Def;Case=Nom;Number=Plur		orna		veck
vecka	veckas	sv-infl-noun-c-or	NOUN	Definite=Ind;Case=Gen;Number=Sing		as		veck
vecka	veckans	sv-infl-noun-c-or	NOUN	Definite=Def;Case=Gen;Number=Sing		ans		veck
vecka	veckors	sv-infl-noun-c-or	NOUN	Definite=Ind;Case=Gen;Number=Plur		ors		veck
vecka	veckornas	sv-infl-noun-c-or	NOUN	Definite=Def;Case=Gen;Number=Plur		ornas		veck
aria	aria	sv-infl-noun-c-or	NOUN	Definite=Ind;Case=Nom;Number=Sing		a		ari
aria	arian	sv-infl-noun-c-or	NOUN	Definite=Def;Case=Nom;Number=Sing		an		ari
aria	arior	sv-infl-noun-c-or	NOUN	Definite=Ind;Case=Nom;Number=Plur		or		ari
aria	ariorna	sv-infl-noun-c-or	NOUN	Definite=Def;Case=Nom;Number=Plur		orna		ari
aria	arias	sv-infl-noun-c-or	NOUN	Definite=Ind;Case=Gen;Number=Sing		as		ari
aria	arians	sv-infl-noun-c-or	NOUN	Definite=Def;Case=Gen;Number=Sing		ans		ari
aria	ariors	sv-infl-noun-c-or	NOUN	Definite=Ind;Case=Gen;Number=Plur		ors		ari
aria	ariornas	sv-infl-noun-c-or	NOUN	Definite=Def;Case=Gen;Number=Plur		ornas		ari
zebra	zebra	sv-infl-noun-c-or	NOUN	Definite=Ind;Case=Nom;Number=Sing		a		zebr
zebra	zebran	sv-infl-noun-c-or	NOUN	Definite=Def;Case=Nom;Number=Sing		an		zebr
zebra	zebror	sv-infl-noun-c-or	NOUN	Definite=Ind;Case=Nom;Number=Plur		or		zebr
zebra	zebrorna	sv-infl-noun-c-or	NOUN	Definite=Def;Case=Nom;Number=Plur		orna		zebr
zebra	zebras	sv-infl-noun-c-or	NOUN	Definite=Ind;Case=Gen;Number=Sing		as		zebr
zebra	zebrans	sv-infl-noun-c-or	NOUN	Definite=Def;Case=Gen;Number=Sing		ans		zebr
zebra	zebrors	sv-infl-noun-c-or	NOUN	Definite=Ind;Case=Gen;Number=Plur		ors		zebr
zebra	zebrornas	sv-infl-noun-c-or	NOUN	Definite=Def;Case=Gen;Number=Plur		ornas		zebr
