Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
bit	bit	tk-decl-noun-man	NOUN	Case=Nom;Number=Sing				bit
bit	bitler	tk-decl-noun-man	NOUN	Case=Nom;Number=Plur				bitler
bit	bidi	tk-decl-noun-man	NOUN	Case=Acc;Number=Sing				bidi
bit	bitleri	tk-decl-noun-man	NOUN	Case=Acc;Number=Plur				bitleri
bit	bidiň	tk-decl-noun-man	NOUN	Case=Gen;Number=Sing				bidiň
bit	bitleriň	tk-decl-noun-man	NOUN	Case=Gen;Number=Plur				bitleriň
bit	bide	tk-decl-noun-man	NOUN	Case=Nom;Number=Sing				bide
bit	bitlere	tk-decl-noun-man	NOUN	Case=Dat;Number=Plur				bitlere
bit	bitde	tk-decl-noun-man	NOUN	Number=Sing				bitde
bit	bitlerde	tk-decl-noun-man	NOUN	Number=Plur				bitlerde
bit	bitden	tk-decl-noun-man	NOUN	Number=Sing				bitden
bit	bitlerden	tk-decl-noun-man	NOUN	Number=Plur				bitlerden
it	it	tk-decl-noun-man	NOUN	Case=Nom;Number=Sing				it
it	itler	tk-decl-noun-man	NOUN	Case=Nom;Number=Plur				itler
it	idi	tk-decl-noun-man	NOUN	Case=Acc;Number=Sing				idi
it	itleri	tk-decl-noun-man	NOUN	Case=Acc;Number=Plur				itleri
it	idiň	tk-decl-noun-man	NOUN	Case=Gen;Number=Sing				idiň
it	itleriň	tk-decl-noun-man	NOUN	Case=Gen;Number=Plur				itleriň
it	ide	tk-decl-noun-man	NOUN	Case=Nom;Number=Sing				ide
it	itlere	tk-decl-noun-man	NOUN	Case=Dat;Number=Plur				itlere
it	itde	tk-decl-noun-man	NOUN	Number=Sing				itde
it	itlerde	tk-decl-noun-man	NOUN	Number=Plur				itlerde
it	itden	tk-decl-noun-man	NOUN	Number=Sing				itden
it	itlerden	tk-decl-noun-man	NOUN	Number=Plur				itlerden
at	at	tk-decl-noun-man	NOUN	Case=Nom;Number=Sing				at
at	atlar	tk-decl-noun-man	NOUN	Case=Nom;Number=Plur				atlar
at	ady	tk-decl-noun-man	NOUN	Case=Acc;Number=Sing				ady
at	atlary	tk-decl-noun-man	NOUN	Case=Acc;Number=Plur				atlary
at	adyň	tk-decl-noun-man	NOUN	Case=Gen;Number=Sing				adyň
at	atlaryň	tk-decl-noun-man	NOUN	Case=Gen;Number=Plur				atlaryň
at	ada	tk-decl-noun-man	NOUN	Case=Nom;Number=Sing				ada
at	atlara	tk-decl-noun-man	NOUN	Case=Dat;Number=Plur				atlara
at	atda	tk-decl-noun-man	NOUN	Number=Sing				atda
at	atlarda	tk-decl-noun-man	NOUN	Number=Plur				atlarda
at	atdan	tk-decl-noun-man	NOUN	Number=Sing				atdan
at	atlardan	tk-decl-noun-man	NOUN	Number=Plur				atlardan
men	men	tk-decl-noun-man	NOUN	Case=Nom;Number=Sing				men
men	biz	tk-decl-noun-man	NOUN	Case=Nom;Number=Plur				biz
men	meni	tk-decl-noun-man	NOUN	Case=Acc;Number=Sing				meni
men	bizi	tk-decl-noun-man	NOUN	Case=Acc;Number=Plur				bizi
men	meniň	tk-decl-noun-man	NOUN	Case=Gen;Number=Sing				meniň
men	biziň	tk-decl-noun-man	NOUN	Case=Gen;Number=Plur				biziň
men	maňa	tk-decl-noun-man	NOUN	Case=Nom;Number=Sing				maňa
men	bize	tk-decl-noun-man	NOUN	Case=Dat;Number=Plur				bize
men	mende	tk-decl-noun-man	NOUN	Number=Sing				mende
men	bizde	tk-decl-noun-man	NOUN	Number=Plur				bizde
men	menden	tk-decl-noun-man	NOUN	Number=Sing				menden
men	bizden	tk-decl-noun-man	NOUN	Number=Plur				bizden
dag	dag	tk-decl-noun-man	NOUN	Case=Nom;Number=Sing				dag
dag	daglar	tk-decl-noun-man	NOUN	Case=Nom;Number=Plur				daglar
dag	dagy	tk-decl-noun-man	NOUN	Case=Acc;Number=Sing				dagy
dag	daglary	tk-decl-noun-man	NOUN	Case=Acc;Number=Plur				daglary
dag	dagyň	tk-decl-noun-man	NOUN	Case=Gen;Number=Sing				dagyň
dag	daglaryň	tk-decl-noun-man	NOUN	Case=Gen;Number=Plur				daglaryň
dag	daga	tk-decl-noun-man	NOUN	Case=Nom;Number=Sing				daga
dag	daglara	tk-decl-noun-man	NOUN	Case=Dat;Number=Plur				daglara
dag	dagda	tk-decl-noun-man	NOUN	Number=Sing				dagda
dag	daglarda	tk-decl-noun-man	NOUN	Number=Plur				daglarda
dag	dagdan	tk-decl-noun-man	NOUN	Number=Sing				dagdan
dag	daglardan	tk-decl-noun-man	NOUN	Number=Plur				daglardan
ol	ol	tk-decl-noun-man	NOUN	Case=Nom;Number=Sing				ol
ol	olar	tk-decl-noun-man	NOUN	Case=Nom;Number=Plur				olar
ol	ony	tk-decl-noun-man	NOUN	Case=Acc;Number=Sing				ony
ol	olary	tk-decl-noun-man	NOUN	Case=Acc;Number=Plur				olary
ol	onuň	tk-decl-noun-man	NOUN	Case=Gen;Number=Sing				onuň
ol	olaryň	tk-decl-noun-man	NOUN	Case=Gen;Number=Plur				olaryň
ol	oňa	tk-decl-noun-man	NOUN	Case=Nom;Number=Sing				oňa
ol	olara	tk-decl-noun-man	NOUN	Case=Dat;Number=Plur				olara
ol	onda	tk-decl-noun-man	NOUN	Number=Sing				onda
ol	olarda	tk-decl-noun-man	NOUN	Number=Plur				olarda
ol	ondan	tk-decl-noun-man	NOUN	Number=Sing				ondan
ol	olardan	tk-decl-noun-man	NOUN	Number=Plur				olardan
harp	harp	tk-decl-noun-man	NOUN	Case=Nom;Number=Sing				harp
harp	harplar	tk-decl-noun-man	NOUN	Case=Nom;Number=Plur				harplar
harp	harpy	tk-decl-noun-man	NOUN	Case=Acc;Number=Sing				harpy
harp	harplary	tk-decl-noun-man	NOUN	Case=Acc;Number=Plur				harplary
harp	harpyň	tk-decl-noun-man	NOUN	Case=Gen;Number=Sing				harpyň
harp	harplaryň	tk-decl-noun-man	NOUN	Case=Gen;Number=Plur				harplaryň
harp	harpa	tk-decl-noun-man	NOUN	Case=Nom;Number=Sing				harpa
harp	harplara	tk-decl-noun-man	NOUN	Case=Dat;Number=Plur				harplara
harp	harpda	tk-decl-noun-man	NOUN	Number=Sing				harpda
harp	harplarda	tk-decl-noun-man	NOUN	Number=Plur				harplarda
harp	harpdan	tk-decl-noun-man	NOUN	Number=Sing				harpdan
harp	harplardan	tk-decl-noun-man	NOUN	Number=Plur				harplardan
je	je	tk-decl-noun-man	NOUN	Case=Nom;Number=Sing				je
je	jeler	tk-decl-noun-man	NOUN	Case=Nom;Number=Plur				jeler
je	jeni	tk-decl-noun-man	NOUN	Case=Acc;Number=Sing				jeni
je	jeleri	tk-decl-noun-man	NOUN	Case=Acc;Number=Plur				jeleri
je	jeniň	tk-decl-noun-man	NOUN	Case=Gen;Number=Sing				jeniň
je	jeleriň	tk-decl-noun-man	NOUN	Case=Gen;Number=Plur				jeleriň
je	jä	tk-decl-noun-man	NOUN	Case=Nom;Number=Sing				jä
je	jelere	tk-decl-noun-man	NOUN	Case=Dat;Number=Plur				jelere
je	jede	tk-decl-noun-man	NOUN	Number=Sing				jede
je	jelerde	tk-decl-noun-man	NOUN	Number=Plur				jelerde
je	jeden	tk-decl-noun-man	NOUN	Number=Sing				jeden
je	jelerden	tk-decl-noun-man	NOUN	Number=Plur				jelerden
kit	kit	tk-decl-noun-man	NOUN	Case=Nom;Number=Sing				kit
kit	kitler	tk-decl-noun-man	NOUN	Case=Nom;Number=Plur				kitler
kit	kidi	tk-decl-noun-man	NOUN	Case=Acc;Number=Sing				kidi
kit	kitleri	tk-decl-noun-man	NOUN	Case=Acc;Number=Plur				kitleri
kit	kidiň	tk-decl-noun-man	NOUN	Case=Gen;Number=Sing				kidiň
kit	kitleriň	tk-decl-noun-man	NOUN	Case=Gen;Number=Plur				kitleriň
kit	kide	tk-decl-noun-man	NOUN	Case=Nom;Number=Sing				kide
kit	kitlere	tk-decl-noun-man	NOUN	Case=Dat;Number=Plur				kitlere
