Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
robot	robot	tr-decl-noun	NOUN	Case=Nom;Number=Sing				robot
robot	robotlar	tr-decl-noun	NOUN	Case=Nom;Number=Plur				robotlar
robot	robotu	tr-decl-noun	NOUN	Case=Acc;Number=Sing				robotu
robot	robotları	tr-decl-noun	NOUN	Case=Acc;Number=Plur				robotları
robot	robota	tr-decl-noun	NOUN	Number=Sing				robota
robot	robotlara	tr-decl-noun	NOUN	Case=Dat;Number=Plur				robotlara
robot	robotlarda	tr-decl-noun	NOUN	Number=Plur				robotlarda
robot	robottan	tr-decl-noun	NOUN	Number=Sing				robottan
robot	robotlardan	tr-decl-noun	NOUN	Number=Plur				robotlardan
robot	robotun	tr-decl-noun	NOUN	Case=Gen;Number=Sing				robotun
robot	robotların	tr-decl-noun	NOUN	Case=Gen;Number=Plur				robotların
ben	ben	tr-decl-noun	NOUN	Case=Nom;Number=Sing				ben
ben	biz	tr-decl-noun	NOUN	Case=Nom;Number=Plur				biz
ben	beni	tr-decl-noun	NOUN	Case=Acc;Number=Sing				beni
ben	bizi	tr-decl-noun	NOUN	Case=Acc;Number=Plur				bizi
ben	bana	tr-decl-noun	NOUN	Number=Sing				bana
ben	bize	tr-decl-noun	NOUN	Case=Dat;Number=Plur				bize
ben	bizde	tr-decl-noun	NOUN	Number=Plur				bizde
ben	benden	tr-decl-noun	NOUN	Number=Sing				benden
ben	bizden	tr-decl-noun	NOUN	Number=Plur				bizden
ben	benim	tr-decl-noun	NOUN	Case=Gen;Number=Sing				benim
ben	bizim	tr-decl-noun	NOUN	Case=Gen;Number=Plur				bizim
bu	bu	tr-decl-noun	NOUN	Case=Nom;Number=Sing				bu
bu	bunlar	tr-decl-noun	NOUN	Case=Nom;Number=Plur				bunlar
bu	bunu	tr-decl-noun	NOUN	Case=Acc;Number=Sing				bunu
bu	bunları	tr-decl-noun	NOUN	Case=Acc;Number=Plur				bunları
bu	buna	tr-decl-noun	NOUN	Number=Sing				buna
bu	bunlara	tr-decl-noun	NOUN	Case=Dat;Number=Plur				bunlara
bu	bunlarda	tr-decl-noun	NOUN	Number=Plur				bunlarda
bu	bundan	tr-decl-noun	NOUN	Number=Sing				bundan
bu	bunlardan	tr-decl-noun	NOUN	Number=Plur				bunlardan
bu	bunun	tr-decl-noun	NOUN	Case=Gen;Number=Sing				bunun
bu	bunların	tr-decl-noun	NOUN	Case=Gen;Number=Plur				bunların
politika	politika	tr-decl-noun	NOUN	Case=Nom;Number=Sing				politika
politika	politikalar	tr-decl-noun	NOUN	Case=Nom;Number=Plur				politikalar
politika	politikayı	tr-decl-noun	NOUN	Case=Acc;Number=Sing				politikayı
politika	politikaları	tr-decl-noun	NOUN	Case=Acc;Number=Plur				politikaları
politika	politikaya	tr-decl-noun	NOUN	Number=Sing				politikaya
politika	politikalara	tr-decl-noun	NOUN	Case=Dat;Number=Plur				politikalara
politika	politikalarda	tr-decl-noun	NOUN	Number=Plur				politikalarda
politika	politikadan	tr-decl-noun	NOUN	Number=Sing				politikadan
politika	politikalardan	tr-decl-noun	NOUN	Number=Plur				politikalardan
politika	politikanın	tr-decl-noun	NOUN	Case=Gen;Number=Sing				politikanın
politika	politikaların	tr-decl-noun	NOUN	Case=Gen;Number=Plur				politikaların
abece	abece	tr-decl-noun	NOUN	Case=Nom;Number=Sing				abece
abece	abeceler	tr-decl-noun	NOUN	Case=Nom;Number=Plur				abeceler
abece	abeceyi	tr-decl-noun	NOUN	Case=Acc;Number=Sing				abeceyi
abece	abeceleri	tr-decl-noun	NOUN	Case=Acc;Number=Plur				abeceleri
abece	abeceye	tr-decl-noun	NOUN	Number=Sing				abeceye
abece	abecelere	tr-decl-noun	NOUN	Case=Dat;Number=Plur				abecelere
abece	abecelerde	tr-decl-noun	NOUN	Number=Plur				abecelerde
abece	abeceden	tr-decl-noun	NOUN	Number=Sing				abeceden
