Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
долина	долина	uk-decl-noun	NOUN	Case=Nom;Number=Sing				долина
долина	долини	uk-decl-noun	NOUN	Case=Voc;Number=Plur				долини
долина	долини	uk-decl-noun	NOUN	Case=Voc;Number=Plur				долини
долина	долин	uk-decl-noun	NOUN	Case=Gen;Number=Plur				долин
долина	долині	uk-decl-noun	NOUN	Case=Loc;Number=Sing				долині
долина	долинам	uk-decl-noun	NOUN	Case=Dat;Number=Plur				долинам
долина	долину	uk-decl-noun	NOUN	Case=Acc;Number=Sing				долину
долина	долини	uk-decl-noun	NOUN	Case=Gen;Number=Plur				долини
долина	долиною	uk-decl-noun	NOUN	Case=Ins;Number=Sing				долиною
долина	долинами	uk-decl-noun	NOUN	Case=Ins;Number=Plur				долинами
долина	долині	uk-decl-noun	NOUN	Case=Loc;Number=Sing				долині
долина	долинах	uk-decl-noun	NOUN	Case=Loc;Number=Plur				долинах
долина	долино	uk-decl-noun	NOUN	Case=Voc;Number=Sing				долино
долина	долини	uk-decl-noun	NOUN	Case=Voc;Number=Plur				долини
гринда	гринда	uk-decl-noun	NOUN	Case=Nom;Number=Sing				гринда
гринда	гринди	uk-decl-noun	NOUN	Case=Voc;Number=Plur				гринди
гринда	гринди	uk-decl-noun	NOUN	Case=Voc;Number=Plur				гринди
гринда	гринд	uk-decl-noun	NOUN	Case=Gen;Number=Plur				гринд
гринда	гринді	uk-decl-noun	NOUN	Case=Loc;Number=Sing				гринді
гринда	гриндам	uk-decl-noun	NOUN	Case=Dat;Number=Plur				гриндам
гринда	гринду	uk-decl-noun	NOUN	Case=Acc;Number=Sing				гринду
гринда	гринд	uk-decl-noun	NOUN	Case=Gen;Number=Plur				гринд
гринда	гриндою	uk-decl-noun	NOUN	Case=Ins;Number=Sing				гриндою
гринда	гриндами	uk-decl-noun	NOUN	Case=Ins;Number=Plur				гриндами
гринда	гринді	uk-decl-noun	NOUN	Case=Loc;Number=Sing				гринді
гринда	гриндах	uk-decl-noun	NOUN	Case=Loc;Number=Plur				гриндах
гринда	гриндо	uk-decl-noun	NOUN	Case=Voc;Number=Sing				гриндо
гринда	гринди	uk-decl-noun	NOUN	Case=Voc;Number=Plur				гринди
тінь	тінь	uk-decl-noun	NOUN	Case=Nom;Number=Sing				тінь
тінь	тіні	uk-decl-noun	NOUN	Case=Voc;Number=Plur				тіні
тінь	тіні	uk-decl-noun	NOUN	Case=Voc;Number=Plur				тіні
тінь	тіней	uk-decl-noun	NOUN	Case=Gen;Number=Plur				тіней
тінь	тіні	uk-decl-noun	NOUN	Case=Loc;Number=Sing				тіні
тінь	тіням	uk-decl-noun	NOUN	Case=Dat;Number=Plur				тіням
тінь	тінь	uk-decl-noun	NOUN	Case=Acc;Number=Sing				тінь
тінь	тіні	uk-decl-noun	NOUN	Case=Gen;Number=Plur				тіні
тінь	тінню	uk-decl-noun	NOUN	Case=Ins;Number=Sing				тінню
тінь	тінями	uk-decl-noun	NOUN	Case=Ins;Number=Plur				тінями
тінь	тіні	uk-decl-noun	NOUN	Case=Loc;Number=Sing				тіні
тінь	тінях	uk-decl-noun	NOUN	Case=Loc;Number=Plur				тінях
тінь	тіне	uk-decl-noun	NOUN	Case=Voc;Number=Sing				тіне
тінь	тіні	uk-decl-noun	NOUN	Case=Voc;Number=Plur				тіні
