Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
زبان	زبان	ur-decl-noun	NOUN	Case=Voc;Number=Sing				زبان
زبان	زبانیں	ur-decl-noun	NOUN	Case=Voc;Number=Sing				زبانیں
زبان	زبان	ur-decl-noun	NOUN	Case=Voc;Number=Sing				زبان
زبان	زبانوں	ur-decl-noun	NOUN	Case=Acc;Number=Plur				زبانوں
زبان	زبان	ur-decl-noun	NOUN	Case=Voc;Number=Sing				زبان
زبان	زبانو	ur-decl-noun	NOUN	Case=Voc;Number=Plur				زبانو
چراغ	چراغ	ur-noun-c-c	NOUN	Case=Voc;Number=Sing				چراغ
چراغ	چراغوں	ur-noun-c-c	NOUN	Case=Acc;Number=Plur		وں		چراغ
چراغ	چراغو	ur-noun-c-c	NOUN	Case=Voc;Number=Plur		و		چراغ
نام	نام	ur-noun-c-c	NOUN	Case=Voc;Number=Sing				نام
نام	ناموں	ur-noun-c-c	NOUN	Case=Acc;Number=Plur		وں		نام
نام	نامو	ur-noun-c-c	NOUN	Case=Voc;Number=Plur		و		نام
ڈکار	ڈکار	ur-noun-c-ẽ	NOUN	Case=Voc;Number=Sing				ڈکار
ڈکار	ڈکاریں	ur-noun-c-ẽ	NOUN	Case=Nom;Number=Plur		یں		ڈکار
ڈکار	ڈکاروں	ur-noun-c-ẽ	NOUN	Case=Acc;Number=Plur		وں		ڈکار
ڈکار	ڈکارو	ur-noun-c-ẽ	NOUN	Case=Voc;Number=Plur		و		ڈکار
پھول	پھول	ur-noun-c-c	NOUN	Case=Voc;Number=Sing				پھول
پھول	پھولوں	ur-noun-c-c	NOUN	Case=Acc;Number=Plur		وں		پھول
پھول	پھولو	ur-noun-c-c	NOUN	Case=Voc;Number=Plur		و		پھول
لسان	لسان	ur-decl-noun	NOUN	Case=Voc;Number=Sing				لسان
لسان	لسانیں	ur-decl-noun	NOUN	Case=Voc;Number=Sing				لسانیں
لسان	لسان	ur-decl-noun	NOUN	Case=Voc;Number=Sing				لسان
لسان	لسانوں	ur-decl-noun	NOUN	Case=Acc;Number=Plur				لسانوں
لسان	لسان	ur-decl-noun	NOUN	Case=Voc;Number=Sing				لسان
لسان	لسانو	ur-decl-noun	NOUN	Case=Voc;Number=Plur				لسانو
رنگ	رنگ	ur-noun-c-c	NOUN	Case=Voc;Number=Sing				رنگ
رنگ	رنگوں	ur-noun-c-c	NOUN	Case=Acc;Number=Plur		وں		رنگ
رنگ	رنگو	ur-noun-c-c	NOUN	Case=Voc;Number=Plur		و		رنگ
سوچنا	سوچنا	ur-conj	VERB	VerbForm=Inf;VerbForm=Short		نا		سوچ
سوچنا	سوچنے	ur-conj	VERB	VerbForm=Inf		نے		سوچ
کتاب	کتاب	ur-decl-noun	NOUN	Case=Voc;Number=Sing				کتاب
کتاب	کتابیں	ur-decl-noun	NOUN	Case=Voc;Number=Sing				کتابیں
