Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
verb	verb	vep-decl-stems	NOUN	Case=Nom;Number=Sing				verb
verb	verbann	vep-decl-stems	NOUN	Case=Gen;Number=Sing		n		verban
verb	verbad	vep-decl-stems	NOUN	Case=Par;Number=Sing				verbad
verb	verboidd	vep-decl-stems	NOUN	Case=Ill;Number=Sing		d		verboid
verb	verband	vep-decl-stems	NOUN	Case=Nom;Number=Sing		d		verban
verb	verband	vep-decl-stems	NOUN	Case=Gen;Number=Sing		d		verban
verb	verbann	vep-decl-stems	NOUN	Case=Par;Number=Sing		n		verban
verb	verboidden	vep-decl-stems	NOUN	Case=Ine;Number=Sing		den		verboid
verb	verbad	vep-decl-stems	NOUN	Case=Ela;Number=Sing				verbad
verb	verbann	vep-decl-stems	NOUN	Case=Ade;Number=Sing		n		verban
verb	verboidn	vep-decl-stems	NOUN	Case=Abl;Number=Sing		n		verboid
verb	verbanks	vep-decl-stems	NOUN	Case=All;Number=Sing		ks		verban
verb	verboidks	vep-decl-stems	NOUN	Case=Ess;Number=Sing		ks		verboid
verb	verbans	vep-decl-stems	NOUN	Case=Tra;Number=Sing		s		verban
verb	verboids	vep-decl-stems	NOUN	Case=Abe;Number=Sing		s		verboid
te	te	vep-decl-stems	NOUN	Case=Nom;Number=Sing				te
te	tenn	vep-decl-stems	NOUN	Case=Gen;Number=Sing		n		ten
te	ted	vep-decl-stems	NOUN	Case=Par;Number=Sing				ted
te	teidd	vep-decl-stems	NOUN	Case=Ill;Number=Sing		d		teid
te	tend	vep-decl-stems	NOUN	Case=Nom;Number=Sing		d		ten
te	tend	vep-decl-stems	NOUN	Case=Gen;Number=Sing		d		ten
te	tenn	vep-decl-stems	NOUN	Case=Par;Number=Sing		n		ten
te	teidden	vep-decl-stems	NOUN	Case=Ine;Number=Sing		den		teid
te	ted	vep-decl-stems	NOUN	Case=Ela;Number=Sing				ted
te	tenn	vep-decl-stems	NOUN	Case=Ade;Number=Sing		n		ten
te	teidn	vep-decl-stems	NOUN	Case=Abl;Number=Sing		n		teid
te	tenks	vep-decl-stems	NOUN	Case=All;Number=Sing		ks		ten
te	teidks	vep-decl-stems	NOUN	Case=Ess;Number=Sing		ks		teid
te	tens	vep-decl-stems	NOUN	Case=Tra;Number=Sing		s		ten
te	teids	vep-decl-stems	NOUN	Case=Abe;Number=Sing		s		teid
adverb	adverb	vep-decl-stems	NOUN	Case=Nom;Number=Sing				adverb
adverb	adverbann	vep-decl-stems	NOUN	Case=Gen;Number=Sing		n		adverban
adverb	adverbad	vep-decl-stems	NOUN	Case=Par;Number=Sing				adverbad
adverb	adverboidd	vep-decl-stems	NOUN	Case=Ill;Number=Sing		d		adverboid
adverb	adverband	vep-decl-stems	NOUN	Case=Nom;Number=Sing		d		adverban
adverb	adverband	vep-decl-stems	NOUN	Case=Gen;Number=Sing		d		adverban
adverb	adverbann	vep-decl-stems	NOUN	Case=Par;Number=Sing		n		adverban
adverb	adverboidden	vep-decl-stems	NOUN	Case=Ine;Number=Sing		den		adverboid
adverb	adverbad	vep-decl-stems	NOUN	Case=Ela;Number=Sing				adverbad
adverb	adverbann	vep-decl-stems	NOUN	Case=Ade;Number=Sing		n		adverban
adverb	adverboidn	vep-decl-stems	NOUN	Case=Abl;Number=Sing		n		adverboid
adverb	adverbanks	vep-decl-stems	NOUN	Case=All;Number=Sing		ks		adverban
adverb	adverboidks	vep-decl-stems	NOUN	Case=Ess;Number=Sing		ks		adverboid
adverb	adverbans	vep-decl-stems	NOUN	Case=Tra;Number=Sing		s		adverban
adverb	adverboids	vep-decl-stems	NOUN	Case=Abe;Number=Sing		s		adverboid
radio	radio	vep-decl-stems	NOUN	Case=Nom;Number=Sing				radio
radio	radionn	vep-decl-stems	NOUN	Case=Gen;Number=Sing		n		radion
radio	radiod	vep-decl-stems	NOUN	Case=Par;Number=Sing				radiod
radio	radioidd	vep-decl-stems	NOUN	Case=Ill;Number=Sing		d		radioid
radio	radiond	vep-decl-stems	NOUN	Case=Nom;Number=Sing		d		radion
radio	radiond	vep-decl-stems	NOUN	Case=Gen;Number=Sing		d		radion
radio	radionn	vep-decl-stems	NOUN	Case=Par;Number=Sing		n		radion
radio	radioidden	vep-decl-stems	NOUN	Case=Ine;Number=Sing		den		radioid
radio	radiod	vep-decl-stems	NOUN	Case=Ela;Number=Sing				radiod
radio	radionn	vep-decl-stems	NOUN	Case=Ade;Number=Sing		n		radion
radio	radioidn	vep-decl-stems	NOUN	Case=Abl;Number=Sing		n		radioid
radio	radionks	vep-decl-stems	NOUN	Case=All;Number=Sing		ks		radion
radio	radioidks	vep-decl-stems	NOUN	Case=Ess;Number=Sing		ks		radioid
radio	radions	vep-decl-stems	NOUN	Case=Tra;Number=Sing		s		radion
radio	radioids	vep-decl-stems	NOUN	Case=Abe;Number=Sing		s		radioid
San Marino	San Marino	vep-decl-stems	NOUN	Case=Nom;Number=Sing				San Marino
San Marino	San Marinonn	vep-decl-stems	NOUN	Case=Gen;Number=Sing		n		San Marinon
San Marino	San Marinod	vep-decl-stems	NOUN	Case=Par;Number=Sing				San Marinod
San Marino	San Marinod	vep-decl-stems	NOUN	Case=Ill;Number=Sing		d		San Marino
San Marino	San Marinond	vep-decl-stems	NOUN	Case=Nom;Number=Sing		d		San Marinon
San Marino	San Marinond	vep-decl-stems	NOUN	Case=Gen;Number=Sing		d		San Marinon
San Marino	San Marinonn	vep-decl-stems	NOUN	Case=Par;Number=Sing		n		San Marinon
San Marino	San Marinoden	vep-decl-stems	NOUN	Case=Ine;Number=Sing		den		San Marino
San Marino	San Marinod	vep-decl-stems	NOUN	Case=Ela;Number=Sing				San Marinod
San Marino	San Marinonn	vep-decl-stems	NOUN	Case=Ade;Number=Sing		n		San Marinon
San Marino	San Marinon	vep-decl-stems	NOUN	Case=Abl;Number=Sing		n		San Marino
San Marino	San Marinonks	vep-decl-stems	NOUN	Case=All;Number=Sing		ks		San Marinon
San Marino	San Marinoks	vep-decl-stems	NOUN	Case=Ess;Number=Sing		ks		San Marino
San Marino	San Marinons	vep-decl-stems	NOUN	Case=Tra;Number=Sing		s		San Marinon
San Marino	San Marinos	vep-decl-stems	NOUN	Case=Abe;Number=Sing		s		San Marino
ad	ad	vep-decl-stems	NOUN	Case=Nom;Number=Sing				ad
ad	adunn	vep-decl-stems	NOUN	Case=Gen;Number=Sing		n		adun
ad	adud	vep-decl-stems	NOUN	Case=Par;Number=Sing				adud
ad	aduidd	vep-decl-stems	NOUN	Case=Ill;Number=Sing		d		aduid
ad	adund	vep-decl-stems	NOUN	Case=Nom;Number=Sing		d		adun
ad	adund	vep-decl-stems	NOUN	Case=Gen;Number=Sing		d		adun
ad	adunn	vep-decl-stems	NOUN	Case=Par;Number=Sing		n		adun
ad	aduidden	vep-decl-stems	NOUN	Case=Ine;Number=Sing		den		aduid
ad	adud	vep-decl-stems	NOUN	Case=Ela;Number=Sing				adud
ad	adunn	vep-decl-stems	NOUN	Case=Ade;Number=Sing		n		adun
ad	aduidn	vep-decl-stems	NOUN	Case=Abl;Number=Sing		n		aduid
ad	adunks	vep-decl-stems	NOUN	Case=All;Number=Sing		ks		adun
ad	aduidks	vep-decl-stems	NOUN	Case=Ess;Number=Sing		ks		aduid
ad	aduns	vep-decl-stems	NOUN	Case=Tra;Number=Sing		s		adun
ad	aduids	vep-decl-stems	NOUN	Case=Abe;Number=Sing		s		aduid
pi	pi	vep-decl-stems	NOUN	Case=Nom;Number=Sing				pi
pi	pinn	vep-decl-stems	NOUN	Case=Gen;Number=Sing		n		pin
pi	pid	vep-decl-stems	NOUN	Case=Par;Number=Sing				pid
pi	pidd	vep-decl-stems	NOUN	Case=Ill;Number=Sing		d		pid
pi	pind	vep-decl-stems	NOUN	Case=Nom;Number=Sing		d		pin
pi	pind	vep-decl-stems	NOUN	Case=Gen;Number=Sing		d		pin
pi	pinn	vep-decl-stems	NOUN	Case=Par;Number=Sing		n		pin
pi	pidden	vep-decl-stems	NOUN	Case=Ine;Number=Sing		den		pid
pi	pid	vep-decl-stems	NOUN	Case=Ela;Number=Sing				pid
pi	pinn	vep-decl-stems	NOUN	Case=Ade;Number=Sing		n		pin
pi	pidn	vep-decl-stems	NOUN	Case=Abl;Number=Sing		n		pid
pi	pinks	vep-decl-stems	NOUN	Case=All;Number=Sing		ks		pin
pi	pidks	vep-decl-stems	NOUN	Case=Ess;Number=Sing		ks		pid
pi	pins	vep-decl-stems	NOUN	Case=Tra;Number=Sing		s		pin
pi	pids	vep-decl-stems	NOUN	Case=Abe;Number=Sing		s		pid
so	so	vep-decl-stems	NOUN	Case=Nom;Number=Sing				so
so	sonn	vep-decl-stems	NOUN	Case=Gen;Number=Sing		n		son
so	sod	vep-decl-stems	NOUN	Case=Par;Number=Sing				sod
so	soidd	vep-decl-stems	NOUN	Case=Ill;Number=Sing		d		soid
so	sond	vep-decl-stems	NOUN	Case=Nom;Number=Sing		d		son
so	sond	vep-decl-stems	NOUN	Case=Gen;Number=Sing		d		son
so	sonn	vep-decl-stems	NOUN	Case=Par;Number=Sing		n		son
so	soidden	vep-decl-stems	NOUN	Case=Ine;Number=Sing		den		soid
so	sod	vep-decl-stems	NOUN	Case=Ela;Number=Sing				sod
so	sonn	vep-decl-stems	NOUN	Case=Ade;Number=Sing		n		son
so	soidn	vep-decl-stems	NOUN	Case=Abl;Number=Sing		n		soid
so	sonks	vep-decl-stems	NOUN	Case=All;Number=Sing		ks		son
so	soidks	vep-decl-stems	NOUN	Case=Ess;Number=Sing		ks		soid
so	sons	vep-decl-stems	NOUN	Case=Tra;Number=Sing		s		son
so	soids	vep-decl-stems	NOUN	Case=Abe;Number=Sing		s		soid
kara	karaa	vep-decl-stems	NOUN	Case=Nom;Number=Sing				karaa
kara	karaann	vep-decl-stems	NOUN	Case=Gen;Number=Sing		n		karaan
kara	karaad	vep-decl-stems	NOUN	Case=Par;Number=Sing				karaad
kara	karaoidd	vep-decl-stems	NOUN	Case=Ill;Number=Sing		d		karaoid
kara	karaand	vep-decl-stems	NOUN	Case=Nom;Number=Sing		d		karaan
kara	karaand	vep-decl-stems	NOUN	Case=Gen;Number=Sing		d		karaan
kara	karaann	vep-decl-stems	NOUN	Case=Par;Number=Sing		n		karaan
kara	karaoidden	vep-decl-stems	NOUN	Case=Ine;Number=Sing		den		karaoid
kara	karaad	vep-decl-stems	NOUN	Case=Ela;Number=Sing				karaad
kara	karaann	vep-decl-stems	NOUN	Case=Ade;Number=Sing		n		karaan
kara	karaoidn	vep-decl-stems	NOUN	Case=Abl;Number=Sing		n		karaoid
kara	karaanks	vep-decl-stems	NOUN	Case=All;Number=Sing		ks		karaan
kara	karaoidks	vep-decl-stems	NOUN	Case=Ess;Number=Sing		ks		karaoid
kara	karaans	vep-decl-stems	NOUN	Case=Tra;Number=Sing		s		karaan
kara	karaoids	vep-decl-stems	NOUN	Case=Abe;Number=Sing		s		karaoid
sana	sanaa	vep-decl-stems	NOUN	Case=Nom;Number=Sing				sanaa
sana	sanaann	vep-decl-stems	NOUN	Case=Gen;Number=Sing		n		sanaan
sana	sanaad	vep-decl-stems	NOUN	Case=Par;Number=Sing				sanaad
sana	sanaoidd	vep-decl-stems	NOUN	Case=Ill;Number=Sing		d		sanaoid
sana	sanaand	vep-decl-stems	NOUN	Case=Nom;Number=Sing		d		sanaan
sana	sanaand	vep-decl-stems	NOUN	Case=Gen;Number=Sing		d		sanaan
sana	sanaann	vep-decl-stems	NOUN	Case=Par;Number=Sing		n		sanaan
sana	sanaoidden	vep-decl-stems	NOUN	Case=Ine;Number=Sing		den		sanaoid
sana	sanaad	vep-decl-stems	NOUN	Case=Ela;Number=Sing				sanaad
sana	sanaann	vep-decl-stems	NOUN	Case=Ade;Number=Sing		n		sanaan
sana	sanaoidn	vep-decl-stems	NOUN	Case=Abl;Number=Sing		n		sanaoid
sana	sanaanks	vep-decl-stems	NOUN	Case=All;Number=Sing		ks		sanaan
sana	sanaoidks	vep-decl-stems	NOUN	Case=Ess;Number=Sing		ks		sanaoid
sana	sanaans	vep-decl-stems	NOUN	Case=Tra;Number=Sing		s		sanaan
sana	sanaoids	vep-decl-stems	NOUN	Case=Abe;Number=Sing		s		sanaoid
maid	maid	vep-decl-stems	NOUN	Case=Nom;Number=Sing				maid
maid	maidonn	vep-decl-stems	NOUN	Case=Gen;Number=Sing		n		maidon
maid	maidod	vep-decl-stems	NOUN	Case=Par;Number=Sing				maidod
maid	maidoidd	vep-decl-stems	NOUN	Case=Ill;Number=Sing		d		maidoid
maid	maidond	vep-decl-stems	NOUN	Case=Nom;Number=Sing		d		maidon
maid	maidond	vep-decl-stems	NOUN	Case=Gen;Number=Sing		d		maidon
maid	maidonn	vep-decl-stems	NOUN	Case=Par;Number=Sing		n		maidon
maid	maidoidden	vep-decl-stems	NOUN	Case=Ine;Number=Sing		den		maidoid
maid	maidod	vep-decl-stems	NOUN	Case=Ela;Number=Sing				maidod
maid	maidonn	vep-decl-stems	NOUN	Case=Ade;Number=Sing		n		maidon
maid	maidoidn	vep-decl-stems	NOUN	Case=Abl;Number=Sing		n		maidoid
maid	maidonks	vep-decl-stems	NOUN	Case=All;Number=Sing		ks		maidon
maid	maidoidks	vep-decl-stems	NOUN	Case=Ess;Number=Sing		ks		maidoid
maid	maidons	vep-decl-stems	NOUN	Case=Tra;Number=Sing		s		maidon
maid	maidoids	vep-decl-stems	NOUN	Case=Abe;Number=Sing		s		maidoid
vero	vero	vep-decl-stems	NOUN	Case=Nom;Number=Sing				vero
vero	veronn	vep-decl-stems	NOUN	Case=Gen;Number=Sing		n		veron
vero	verod	vep-decl-stems	NOUN	Case=Par;Number=Sing				verod
vero	veroidd	vep-decl-stems	NOUN	Case=Ill;Number=Sing		d		veroid
vero	verond	vep-decl-stems	NOUN	Case=Nom;Number=Sing		d		veron
vero	verond	vep-decl-stems	NOUN	Case=Gen;Number=Sing		d		veron
vero	veronn	vep-decl-stems	NOUN	Case=Par;Number=Sing		n		veron
vero	veroidden	vep-decl-stems	NOUN	Case=Ine;Number=Sing		den		veroid
vero	verod	vep-decl-stems	NOUN	Case=Ela;Number=Sing				verod
vero	veronn	vep-decl-stems	NOUN	Case=Ade;Number=Sing		n		veron
vero	veroidn	vep-decl-stems	NOUN	Case=Abl;Number=Sing		n		veroid
vero	veronks	vep-decl-stems	NOUN	Case=All;Number=Sing		ks		veron
vero	veroidks	vep-decl-stems	NOUN	Case=Ess;Number=Sing		ks		veroid
vero	verons	vep-decl-stems	NOUN	Case=Tra;Number=Sing		s		veron
vero	veroids	vep-decl-stems	NOUN	Case=Abe;Number=Sing		s		veroid
piano	piano	vep-decl-stems	NOUN	Case=Nom;Number=Sing				piano
piano	pianonn	vep-decl-stems	NOUN	Case=Gen;Number=Sing		n		pianon
piano	pianod	vep-decl-stems	NOUN	Case=Par;Number=Sing				pianod
piano	pianoidd	vep-decl-stems	NOUN	Case=Ill;Number=Sing		d		pianoid
piano	pianond	vep-decl-stems	NOUN	Case=Nom;Number=Sing		d		pianon
piano	pianond	vep-decl-stems	NOUN	Case=Gen;Number=Sing		d		pianon
piano	pianonn	vep-decl-stems	NOUN	Case=Par;Number=Sing		n		pianon
piano	pianoidden	vep-decl-stems	NOUN	Case=Ine;Number=Sing		den		pianoid
piano	pianod	vep-decl-stems	NOUN	Case=Ela;Number=Sing				pianod
piano	pianonn	vep-decl-stems	NOUN	Case=Ade;Number=Sing		n		pianon
piano	pianoidn	vep-decl-stems	NOUN	Case=Abl;Number=Sing		n		pianoid
piano	pianonks	vep-decl-stems	NOUN	Case=All;Number=Sing		ks		pianon
piano	pianoidks	vep-decl-stems	NOUN	Case=Ess;Number=Sing		ks		pianoid
piano	pianons	vep-decl-stems	NOUN	Case=Tra;Number=Sing		s		pianon
piano	pianoids	vep-decl-stems	NOUN	Case=Abe;Number=Sing		s		pianoid
sofa	sofaa	vep-decl-stems	NOUN	Case=Nom;Number=Sing				sofaa
sofa	sofaann	vep-decl-stems	NOUN	Case=Gen;Number=Sing		n		sofaan
sofa	sofaad	vep-decl-stems	NOUN	Case=Par;Number=Sing				sofaad
sofa	sofaidd	vep-decl-stems	NOUN	Case=Ill;Number=Sing		d		sofaid
sofa	sofaand	vep-decl-stems	NOUN	Case=Nom;Number=Sing		d		sofaan
sofa	sofaand	vep-decl-stems	NOUN	Case=Gen;Number=Sing		d		sofaan
sofa	sofaann	vep-decl-stems	NOUN	Case=Par;Number=Sing		n		sofaan
sofa	sofaidden	vep-decl-stems	NOUN	Case=Ine;Number=Sing		den		sofaid
sofa	sofaad	vep-decl-stems	NOUN	Case=Ela;Number=Sing				sofaad
sofa	sofaann	vep-decl-stems	NOUN	Case=Ade;Number=Sing		n		sofaan
sofa	sofaidn	vep-decl-stems	NOUN	Case=Abl;Number=Sing		n		sofaid
sofa	sofaanks	vep-decl-stems	NOUN	Case=All;Number=Sing		ks		sofaan
sofa	sofaidks	vep-decl-stems	NOUN	Case=Ess;Number=Sing		ks		sofaid
sofa	sofaans	vep-decl-stems	NOUN	Case=Tra;Number=Sing		s		sofaan
sofa	sofaids	vep-decl-stems	NOUN	Case=Abe;Number=Sing		s		sofaid
tort	tort	vep-decl-stems	NOUN	Case=Nom;Number=Sing				tort
tort	tortann	vep-decl-stems	NOUN	Case=Gen;Number=Sing		n		tortan
tort	tortad	vep-decl-stems	NOUN	Case=Par;Number=Sing				tortad
tort	tortidd	vep-decl-stems	NOUN	Case=Ill;Number=Sing		d		tortid
tort	tortand	vep-decl-stems	NOUN	Case=Nom;Number=Sing		d		tortan
tort	tortand	vep-decl-stems	NOUN	Case=Gen;Number=Sing		d		tortan
tort	tortann	vep-decl-stems	NOUN	Case=Par;Number=Sing		n		tortan
tort	tortidden	vep-decl-stems	NOUN	Case=Ine;Number=Sing		den		tortid
tort	tortad	vep-decl-stems	NOUN	Case=Ela;Number=Sing				tortad
tort	tortann	vep-decl-stems	NOUN	Case=Ade;Number=Sing		n		tortan
tort	tortidn	vep-decl-stems	NOUN	Case=Abl;Number=Sing		n		tortid
tort	tortanks	vep-decl-stems	NOUN	Case=All;Number=Sing		ks		tortan
tort	tortidks	vep-decl-stems	NOUN	Case=Ess;Number=Sing		ks		tortid
tort	tortans	vep-decl-stems	NOUN	Case=Tra;Number=Sing		s		tortan
tort	tortids	vep-decl-stems	NOUN	Case=Abe;Number=Sing		s		tortid
mela	melaa	vep-decl-stems	NOUN	Case=Nom;Number=Sing				melaa
mela	melaann	vep-decl-stems	NOUN	Case=Gen;Number=Sing		n		melaan
mela	melaad	vep-decl-stems	NOUN	Case=Par;Number=Sing				melaad
mela	melaoidd	vep-decl-stems	NOUN	Case=Ill;Number=Sing		d		melaoid
mela	melaand	vep-decl-stems	NOUN	Case=Nom;Number=Sing		d		melaan
mela	melaand	vep-decl-stems	NOUN	Case=Gen;Number=Sing		d		melaan
