Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
կուրծք	կուրծք	xcl-noun-ի-pl	NOUN	Case=Nom;Number=Plur		ք		կուրծ
կուրծք	կուրծից	xcl-noun-ի-pl	NOUN	Case=Dat;Number=Sing		ից		կուրծ
կուրծք	կուրծից	xcl-noun-ի-pl	NOUN	Case=Dat;Number=Plur		ից		կուրծ
կուրծք	կուրծս	xcl-noun-ի-pl	NOUN	Number=Plur		ս		կուրծ
կուրծք	կուրծիւք	xcl-noun-ի-pl	NOUN	Number=Plur		իւք		կուրծ
կուրծք	կուրծս	xcl-noun-ի-pl	NOUN	Case=Dat;Number=Plur		ս		կուրծ
քեռի	քեռւոյ	xcl-noun-ո-ա	NOUN	Case=Dat;Number=Sing		ւոյ		քեռ
քեռի	քեռեաց	xcl-noun-ո-ա	NOUN	Number=Sing		եաց		քեռ
քեռի	քեռւոյ	xcl-noun-ո-ա	NOUN	Number=Sing		ւոյ		քեռ
քեռի	քեռեաւ	xcl-noun-ո-ա	NOUN	Case=Dat;Number=Sing;Definite=Def		եաւ		քեռ
քեռի	քեռեօք	xcl-noun-ո-ա	NOUN	Case=Dat;Number=Sing		եօք		քեռ
քեռի	քեռի	xcl-noun-ո-ա	NOUN	Number=Sing		ի		քեռ
հարսանիք	հարսանիք	xcl-noun-ո-ա-pl	NOUN	Case=Dat;Number=Sing		իք		հարսան
հարսանիք	հարսանեաց	xcl-noun-ո-ա-pl	NOUN	Number=Sing		եաց		հարսան
հարսանիք	հարսանիս	xcl-noun-ո-ա-pl	NOUN	Number=Sing		իս		հարսան
հարսանիք	հարսանեաւք	xcl-noun-ո-ա-pl	NOUN	Number=Sing		եաւք		հարսան
հարսանիք	հարսանեօք	xcl-noun-ո-ա-pl	NOUN	Case=Dat;Number=Sing;Definite=Def		եօք		հարսան
հարսանիք	հարսանեաւք	xcl-noun-ո-ա-pl	NOUN	Case=Dat;Number=Sing		եաւք		հարսան
հարսանիք	հարսանեօք	xcl-noun-ո-ա-pl	NOUN	Number=Sing		եօք		հարսան
շուն	շունք	xcl-noun-ն	NOUN	Case=Dat;Number=Sing		ունք		շ
շուն	շան	xcl-noun-ն	NOUN	Number=Sing		ան		շ
շուն	շանց	xcl-noun-ն	NOUN	Number=Sing		անց		շ
շուն	շունս	xcl-noun-ն	NOUN	Case=Dat;Number=Sing;Definite=Def		ունս		շ
